Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking', 'snaking']"
showing great reverence for god,worshipful,0,"['reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent', 'reverent']"
an association of criminals,mob,0,"['criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality', 'criminality']"
capable of being perceived especially by sight or hearing,perceivable,0,"['recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable', 'recognizable']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna', 'savanna']"
consumption of alcoholic drinks,intemperance,0,"['alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic', 'alcoholic']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,0,"['calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium', 'calcium']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash', 'ashash']"
a small pitcher for serving cream,creamer,0,"['slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing', 'slicing']"
the handwear used by fielders in playing baseball,mitt,0,"['handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag', 'handbag']"
