Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,0,"['lost', 'lost', 'lost', 'lost', 'lost', 'narcissism', 'narcissism', 'narcissism', 'narcissism', 'narcissism', 'misses', 'misses', 'misses', 'misses', 'misses', 'loses', 'loses', 'loses', 'loses', 'loses', 'abyss', 'abyss', 'abyss', 'abyss', 'abyss', 'apprehensive', 'apprehensive', 'apprehensive', 'apprehensive', 'apprehensive', 'know', 'know', 'know', 'know', 'know', 'apprehension', 'apprehension', 'apprehension', 'apprehension', 'apprehension', 'forgetting', 'forgetting', 'forgetting', 'forgetting', 'forgetting', 'savoring', 'savoring', 'savoring', 'savoring', 'savoring', 'nao', 'nao', 'nao', 'nao', 'nao', 'knowing', 'knowing', 'knowing', 'knowing', 'knowing', 'nay', 'nay', 'nay', 'nay', 'nay', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'nip', 'nip', 'nip', 'nip', 'nip', 'adobe', 'adobe', 'adobe', 'adobe', 'adobe', 'awk', 'awk', 'awk', 'awk', 'awk', 'aint', 'aint', 'aint', 'aint', 'aint', 'nasdaq', 'nasdaq', 'nasdaq', 'nasdaq', 'nasdaq', 'never', 'never', 'never', 'never', 'never']"
a room in a house or building where people study or work,office,0,"['studio', 'studio', 'studio', 'studio', 'studio', 'studyroom', 'studyroom', 'studyroom', 'studyroom', 'studyroom', 'studroom', 'studroom', 'studroom', 'studroom', 'studroom', 'edifice', 'edifice', 'edifice', 'edifice', 'edifice', 'house', 'house', 'house', 'house', 'house', 'room', 'room', 'room', 'room', 'room', 'esplanade', 'esplanade', 'esplanade', 'esplanade', 'esplanade', 'hall', 'hall', 'hall', 'hall', 'hall', 'classroom', 'classroom', 'classroom', 'classroom', 'classroom', 'symposia', 'symposia', 'symposia', 'symposia', 'symposia', 'schoolroom', 'schoolroom', 'schoolroom', 'schoolroom', 'schoolroom', 'auditorium', 'auditorium', 'auditorium', 'auditorium', 'auditorium', 'symphony', 'symphony', 'symphony', 'symphony', 'symphony', 'sacademy', 'sacademy', 'sacademy', 'sacademy', 'sacademy', 'palast', 'palast', 'palast', 'palast', 'palast', 'clubhouse', 'clubhouse', 'clubhouse', 'clubhouse', 'clubhouse', 'nox', 'nox', 'nox', 'nox', 'nox', 'etudimentary', 'etudimentary', 'etudimentary', 'etudimentary', 'etudimentary', 'houseroom', 'houseroom', 'houseroom', 'houseroom', 'houseroom', 'edgypt', 'edgypt', 'edgypt', 'edgypt', 'edgypt']"
something that does not cost a lot of money,cheap,10,"['apocalypse', 'apocalypse', 'apocalypse', 'apocalypse', 'apocalypse', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'unfavorable', 'unfavorable', 'unfavorable', 'unfavorable', 'unfavorable', 'apocalyptic', 'apocalyptic', 'apocalyptic', 'apocalyptic', 'apocalyptic', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'apocalypsis', 'apocalypsis', 'apocalypsis', 'apocalypsis', 'apocalypsis', 'apocalypsy', 'apocalypsy', 'apocalypsy', 'apocalypsy', 'apocalypsy', 'expensive', 'expensive', 'expensive', 'expensive', 'expensive', 'noncosting', 'noncosting', 'noncosting', 'noncosting', 'noncosting', 'apocryphal', 'apocryphal', 'apocryphal', 'apocryphal', 'apocryphal', 'apocalyptus', 'apocalyptus', 'apocalyptus', 'apocalyptus', 'apocalyptus', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'apocalypstic', 'apocalypstic', 'apocalypstic', 'apocalypstic', 'apocalypstic', 'lowback', 'lowback', 'lowback', 'lowback', 'lowback', 'apocalypsing', 'apocalypsing', 'apocalypsing', 'apocalypsing', 'apocalypsing', 'adolfolk', 'adolfolk', 'adolfolk', 'adolfolk', 'adolfolk', 'priceless', 'priceless', 'priceless', 'priceless', 'priceless', 'adobe', 'adobe', 'adobe', 'adobe', 'adobe', 'nihilism', 'nihilism', 'nihilism', 'nihilism', 'nihilism']"
to get or achieve something that you want,obtain,0,"['get', 'get', 'get', 'get', 'get', 'achieve', 'achieve', 'achieve', 'achieve', 'achieve', 'achieving', 'achieving', 'achieving', 'achieving', 'achieving', 'want', 'want', 'want', 'want', 'want', 'obstruct', 'obstruct', 'obstruct', 'obstruct', 'obstruct', 'acquiesce', 'acquiesce', 'acquiesce', 'acquiesce', 'acquiesce', 'obfuscate', 'obfuscate', 'obfuscate', 'obfuscate', 'obfuscate', 'obtuse', 'obtuse', 'obtuse', 'obtuse', 'obtuse', 'achieve', 'achieve', 'achieve', 'achieve', 'achieve', 'aiming', 'aiming', 'aiming', 'aiming', 'aiming', 'acquiescing', 'acquiescing', 'acquiescing', 'acquiescing', 'acquiescing', 'obliterate', 'obliterate', 'obliterate', 'obliterate', 'obliterate', 'bets', 'bets', 'bets', 'bets', 'bets', 'scouts', 'scouts', 'scouts', 'scouts', 'scouts', 'adobe', 'adobe', 'adobe', 'adobe', 'adobe', 'betweet', 'betweet', 'betweet', 'betweet', 'betweet', 'acquate', 'acquate', 'acquate', 'acquate', 'acquate', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'obtained', 'obtained', 'obtained', 'obtained', 'obtained', 'acquit', 'acquit', 'acquit', 'acquit', 'acquit']"
the bottom part of the leg on which people walk,foot,5,"['foot', 'foot', 'foot', 'foot', 'foot', 'heeled', 'heeled', 'heeled', 'heeled', 'heeled', 'footing', 'footing', 'footing', 'footing', 'footing', 'stoop', 'stoop', 'stoop', 'stoop', 'stoop', 'stoops', 'stoops', 'stoops', 'stoops', 'stoops', 'sleeve', 'sleeve', 'sleeve', 'sleeve', 'sleeve', 'hammered', 'hammered', 'hammered', 'hammered', 'hammered', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'footed', 'footed', 'footed', 'footed', 'footed', 'stow', 'stow', 'stow', 'stow', 'stow', 'tibia', 'tibia', 'tibia', 'tibia', 'tibia', 'slat', 'slat', 'slat', 'slat', 'slat', 'sleet', 'sleet', 'sleet', 'sleet', 'sleet', 'thorax', 'thorax', 'thorax', 'thorax', 'thorax', 'footbed', 'footbed', 'footbed', 'footbed', 'footbed', 'slops', 'slops', 'slops', 'slops', 'slops', 'slopped', 'slopped', 'slopped', 'slopped', 'slopped', 'slithering', 'slithering', 'slithering', 'slithering', 'slithering', 'bottoms', 'bottoms', 'bottoms', 'bottoms', 'bottoms', 'tucked', 'tucked', 'tucked', 'tucked', 'tucked']"
something that is a circle but also flat,disc,0,"['circle', 'circle', 'circle', 'circle', 'circle', 'circled', 'circled', 'circled', 'circled', 'circled', 'circling', 'circling', 'circling', 'circling', 'circling', 'crisscrossed', 'crisscrossed', 'crisscrossed', 'crisscrossed', 'crisscrossed', 'circles', 'circles', 'circles', 'circles', 'circles', 'cylindrical', 'cylindrical', 'cylindrical', 'cylindrical', 'cylindrical', 'cylindre', 'cylindre', 'cylindre', 'cylindre', 'cylindre', 'circler', 'circler', 'circler', 'circler', 'circler', 'crisscross', 'crisscross', 'crisscross', 'crisscross', 'crisscross', 'girdle', 'girdle', 'girdle', 'girdle', 'girdle', 'circular', 'circular', 'circular', 'circular', 'circular', 'crimson', 'crimson', 'crimson', 'crimson', 'crimson', 'round', 'round', 'round', 'round', 'round', 'cylindrome', 'cylindrome', 'cylindrome', 'cylindrome', 'cylindrome', 'crisscrossing', 'crisscrossing', 'crisscrossing', 'crisscrossing', 'crisscrossing', 'cleats', 'cleats', 'cleats', 'cleats', 'cleats', 'ring', 'ring', 'ring', 'ring', 'ring', 'rounder', 'rounder', 'rounder', 'rounder', 'rounder', 'clout', 'clout', 'clout', 'clout', 'clout', 'cylindral', 'cylindral', 'cylindral', 'cylindral', 'cylindral']"
to decide who someone is or what something is after thinking about it,identify,0,"['decide', 'decide', 'decide', 'decide', 'decide', 'determine', 'determine', 'determine', 'determine', 'determine', 'deciding', 'deciding', 'deciding', 'deciding', 'deciding', 'determining', 'determining', 'determining', 'determining', 'determining', 'think', 'think', 'think', 'think', 'think', 'sorting', 'sorting', 'sorting', 'sorting', 'sorting', 'rehearse', 'rehearse', 'rehearse', 'rehearse', 'rehearse', 'choose', 'choose', 'choose', 'choose', 'choose', 'resolving', 'resolving', 'resolving', 'resolving', 'resolving', 'rescheduling', 'rescheduling', 'rescheduling', 'rescheduling', 'rescheduling', 'rethinking', 'rethinking', 'rethinking', 'rethinking', 'rethinking', 'reschedule', 'reschedule', 'reschedule', 'reschedule', 'reschedule', 'decide acquiesce', 'decide acquiesce', 'decide acquiesce', 'decide acquiesce', 'decide acquiesce', 'pick', 'pick', 'pick', 'pick', 'pick', 'care if', 'care if', 'care if', 'care if', 'care if', 'decide acquiescing', 'decide acquiescing', 'decide acquiescing', 'decide acquiescing', 'decide acquiescing', 'resuscitated', 'resuscitated', 'resuscitated', 'resuscitated', 'resuscitated', 'resuscitate', 'resuscitate', 'resuscitate', 'resuscitate', 'resuscitate', 'figuring', 'figuring', 'figuring', 'figuring', 'figuring', 'ponder', 'ponder', 'ponder', 'ponder', 'ponder']"
the gesture or gratitude you give after someone does something positive for you,thanks,0,"['gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratification', 'gratification', 'gratification', 'gratification', 'gratification', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'thanksgiving', 'gratefulness', 'gratefulness', 'gratefulness', 'gratefulness', 'gratefulness', 'thanking', 'thanking', 'thanking', 'thanking', 'thanking', 'remembrance', 'remembrance', 'remembrance', 'remembrance', 'remembrance', 'reminiscence', 'reminiscence', 'reminiscence', 'reminiscence', 'reminiscence', 'thankfulness', 'thankfulness', 'thankfulness', 'thankfulness', 'thankfulness', 'acclaim', 'acclaim', 'acclaim', 'acclaim', 'acclaim', 'remorse', 'remorse', 'remorse', 'remorse', 'remorse', 'congratulatory', 'congratulatory', 'congratulatory', 'congratulatory', 'congratulatory', 'apologies', 'apologies', 'apologies', 'apologies', 'apologies', 'positivity', 'positivity', 'positivity', 'positivity', 'positivity', 'positive', 'positive', 'positive', 'positive', 'positive', 'benevolence', 'benevolence', 'benevolence', 'benevolence', 'benevolence', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'congratulation', 'congratulation', 'congratulation', 'congratulation', 'congratulation', 'graces', 'graces', 'graces', 'graces', 'graces', 'kindness', 'kindness', 'kindness', 'kindness', 'kindness', 'thankgiving', 'thankgiving', 'thankgiving', 'thankgiving', 'thankgiving']"
pieces of information that are true,facts,100,"['truth', 'truth', 'truth', 'truth', 'truth', 'truss', 'truss', 'truss', 'truss', 'truss', 'substantiation', 'substantiation', 'substantiation', 'substantiation', 'substantiation', 'true', 'true', 'true', 'true', 'true', 'apprehension', 'apprehension', 'apprehension', 'apprehension', 'apprehension', 'trussed', 'trussed', 'trussed', 'trussed', 'trussed', 'etiquette', 'etiquette', 'etiquette', 'etiquette', 'etiquette', 'proofed', 'proofed', 'proofed', 'proofed', 'proofed', 'adagnostic', 'adagnostic', 'adagnostic', 'adagnostic', 'adagnostic', 'adverbial', 'adverbial', 'adverbial', 'adverbial', 'adverbial', 'proofs', 'proofs', 'proofs', 'proofs', 'proofs', 'rummage', 'rummage', 'rummage', 'rummage', 'rummage', 'evidenced', 'evidenced', 'evidenced', 'evidenced', 'evidenced', 'adagnost', 'adagnost', 'adagnost', 'adagnost', 'adagnost', 'rumor', 'rumor', 'rumor', 'rumor', 'rumor', 'truthful', 'truthful', 'truthful', 'truthful', 'truthful', 'adage', 'adage', 'adage', 'adage', 'adage', 'obliteration', 'obliteration', 'obliteration', 'obliteration', 'obliteration', 'evidence', 'evidence', 'evidence', 'evidence', 'evidence', 'facts', 'facts', 'facts', 'facts', 'facts']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,0,"['appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'ups', 'ups', 'ups', 'ups', 'ups', 'forerunner', 'forerunner', 'forerunner', 'forerunner', 'forerunner', 'swath', 'swath', 'swath', 'swath', 'swath', 'foretaste', 'foretaste', 'foretaste', 'foretaste', 'foretaste', 'adrift', 'adrift', 'adrift', 'adrift', 'adrift', 'forward', 'forward', 'forward', 'forward', 'forward', 'ahead', 'ahead', 'ahead', 'ahead', 'ahead', 'apron', 'apron', 'apron', 'apron', 'apron', 'advancing', 'advancing', 'advancing', 'advancing', 'advancing', 'adaposite', 'adaposite', 'adaposite', 'adaposite', 'adaposite', 'stoop', 'stoop', 'stoop', 'stoop', 'stoop', 'ascendant', 'ascendant', 'ascendant', 'ascendant', 'ascendant', 'swab', 'swab', 'swab', 'swab', 'swab', 'foreseeing', 'foreseeing', 'foreseeing', 'foreseeing', 'foreseeing', 'adagio', 'adagio', 'adagio', 'adagio', 'adagio', 'overturning', 'overturning', 'overturning', 'overturning', 'overturning', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'adolescence', 'apropos', 'apropos', 'apropos', 'apropos', 'apropos', 'adobe', 'adobe', 'adobe', 'adobe', 'adobe']"
cooked bread that is often eaten with butter for breakfast,toast,0,"['sourdough', 'sourdough', 'sourdough', 'sourdough', 'sourdough', 'bourbon', 'bourbon', 'bourbon', 'bourbon', 'bourbon', 'breaded', 'breaded', 'breaded', 'breaded', 'breaded', 'bread', 'bread', 'bread', 'bread', 'bread', 'stewed', 'stewed', 'stewed', 'stewed', 'stewed', 'sourfolk', 'sourfolk', 'sourfolk', 'sourfolk', 'sourfolk', 'daffodil', 'daffodil', 'daffodil', 'daffodil', 'daffodil', 'sourfool', 'sourfool', 'sourfool', 'sourfool', 'sourfool', 'custard', 'custard', 'custard', 'custard', 'custard', 'savoring', 'savoring', 'savoring', 'savoring', 'savoring', 'butterbrok', 'butterbrok', 'butterbrok', 'butterbrok', 'butterbrok', 'apricot', 'apricot', 'apricot', 'apricot', 'apricot', 'butterbroast', 'butterbroast', 'butterbroast', 'butterbroast', 'butterbroast', 'brisket', 'brisket', 'brisket', 'brisket', 'brisket', 'roe', 'roe', 'roe', 'roe', 'roe', 'puffed', 'puffed', 'puffed', 'puffed', 'puffed', 'savor', 'savor', 'savor', 'savor', 'savor', 'tassell', 'tassell', 'tassell', 'tassell', 'tassell', 'tassellet', 'tassellet', 'tassellet', 'tassellet', 'tassellet', 'butterbross', 'butterbross', 'butterbross', 'butterbross', 'butterbross']"
somebody who controls an organisation or group of people,leader,50,"['controller', 'controller', 'controller', 'controller', 'controller', 'manager', 'manager', 'manager', 'manager', 'manager', 'headmaster', 'headmaster', 'headmaster', 'headmaster', 'headmaster', 'federator', 'federator', 'federator', 'federator', 'federator', 'scout', 'scout', 'scout', 'scout', 'scout', 'scouts', 'scouts', 'scouts', 'scouts', 'scouts', 'helmsman', 'helmsman', 'helmsman', 'helmsman', 'helmsman', 'chieftain', 'chieftain', 'chieftain', 'chieftain', 'chieftain', 'controlor', 'controlor', 'controlor', 'controlor', 'controlor', 'leader', 'leader', 'leader', 'leader', 'leader', 'overseer', 'overseer', 'overseer', 'overseer', 'overseer', 'controllor', 'controllor', 'controllor', 'controllor', 'controllor', 'controlman', 'controlman', 'controlman', 'controlman', 'controlman', 'bosses', 'bosses', 'bosses', 'bosses', 'bosses', 'supervisor', 'supervisor', 'supervisor', 'supervisor', 'supervisor', 'stooper', 'stooper', 'stooper', 'stooper', 'stooper', 'federation', 'federation', 'federation', 'federation', 'federation', 'sclerographer', 'sclerographer', 'sclerographer', 'sclerographer', 'sclerographer', 'federant', 'federant', 'federant', 'federant', 'federant', 'chiefsman', 'chiefsman', 'chiefsman', 'chiefsman', 'chiefsman']"
all of the information or facts that somebody might have in their head,knowledge,0,"['headwash', 'headwash', 'headwash', 'headwash', 'headwash', 'head', 'head', 'head', 'head', 'head', 'headpiece', 'headpiece', 'headpiece', 'headpiece', 'headpiece', 'heads', 'heads', 'heads', 'heads', 'heads', 'headshot', 'headshot', 'headshot', 'headshot', 'headshot', 'headwashed', 'headwashed', 'headwashed', 'headwashed', 'headwashed', 'headcount', 'headcount', 'headcount', 'headcount', 'headcount', 'rummage', 'rummage', 'rummage', 'rummage', 'rummage', 'headwashing', 'headwashing', 'headwashing', 'headwashing', 'headwashing', 'capitulation', 'capitulation', 'capitulation', 'capitulation', 'capitulation', 'spouting', 'spouting', 'spouting', 'spouting', 'spouting', 'sneering', 'sneering', 'sneering', 'sneering', 'sneering', 'headstrong', 'headstrong', 'headstrong', 'headstrong', 'headstrong', 'snuff', 'snuff', 'snuff', 'snuff', 'snuff', 'rummaging', 'rummaging', 'rummaging', 'rummaging', 'rummaging', 'snob', 'snob', 'snob', 'snob', 'snob', 'snood', 'snood', 'snood', 'snood', 'snood', 'heading', 'heading', 'heading', 'heading', 'heading', 'snorting', 'snorting', 'snorting', 'snorting', 'snorting', 'snort', 'snort', 'snort', 'snort', 'snort']"
