Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['deceptiveness', 'mastery', 'wiliness', 'deceit', 'craftiness', 'deliberateness', 'cleverness', 'trickery', 'deceptive', 'proficiency', 'impassivity', 'shiftiness', 'preception', 'guardedness', 'duplicity', 'canniness', 'disingenuity', 'shrewdness', 'competence', 'adeptness', 'skills', 'prowess', 'deliberate', 'touchiness', 'demonstrated', 'genuine', 'impassionate', 'spottiness', 'competency', 'perceived', 'flagrancy', 'trickiness', 'success', 'covertness', 'lessoned', 'impassiveness', 'sententiousness', 'markedness', 'knowledge', 'well-disguised', 'inaptitude', 'guileful', 'dishonesty', 'demonstrates', 'decisiveness', 'falling-off', 'betokens', 'motivation', 'determent', 'meticulousness', 'apparent', 'misrecognition', 'deline', 'handiness', 'confidence', 'two-facedness', 'learnedness', 'undoubted', 'farness', 'betokened', 'honesty', 'demonstrability', 'deceptions', 'blatancy', 'marking', 'perceptiveness', 'self-display', 'effect', 'cross-handed', 'sneakiness', 'manipulation', 'demonstrate', 'evident', 'purposeful', 'deceitfulness', 'cross-out', 'betterness', 'shadiness', 'cautiousness', 'devilment', 'valiance', 'well-practiced', 'deftness', 'advantage', 'accomplishment', 'insidiousness', 'look-down', 'misdirection', 'audaciousness', 'passiveness', 'undoubtable', 'rankest', 'dispensability', 'considerable', 'impressiveness', 'demonstrable', 'subterfuge', 'guile', 'brilliance', 'undeniable']"
showing great reverence for god,worshipful,0,"['reverencing', 'deific', 'undoubting', 'laming', 'all-sufficiency', 'tremendous', 'impressiveness', 'reverenced', 'incredible', 'respect', 'feeing', 'supremest', 'stedfast', 'undoubtable', 'mantic', 'betoken', 'supreme', 'impling', 'curiousness', 'remarkable', 'immense', 'pretention', 'reverences', 'betokening', 'supposed', 'outmost', 'divinest', 'goodliness', 'supernal', 'revering', 'meak', 'real', 'gloriousness', 'awesome', 'hugeness', 'portentious', 'manful', 'impassionate', 'impassivity', 'preception', 'illusional', 'unpitying', 'placable', 'prating', 'all-sufficient', 'marvelous', 'greatest', 'proudness', 'extraordinariness', 'undying', 'compassing', 'demonical', 'genuine', 'touchiness', 'godlike', 'devotion', 'warmness', 'revelational', 'propitiating', 'splendid', 'elate', 'deep-felt', 'wonderfulness', 'sacrifical', 'correctitude', 'demonstrating', 'bestower', 'staunchness', 'adorability', 'impassiveness', 'greatness', 'two-face', 'magnificent', 'betterness', 'betokens', 'profoundness', 'terrific', 'loather', 'completest', 'sparest', 'feal', 'unfaltering', 'delightsome', 'terribleness', 'self-abnegating', 'promise-keeping', 'connatural', 'incredulousness', 'well-doing', 'lightsome', 'powerfulness', 'dispirit', 'well-spread', 'wonderful', 'seeling', 'reverent', 'manlike', 'true', 'bestowment', 'fantastic']"
an association of criminals,mob,0,"['associations', 'associationalism', 'criminal', 'associators', 'reassociation', 'associates', 'gangsters', 'associationist', 'associating', 'murderers', 'racketeers', 'criminality', 'gangs', 'lawbreakers', 'gangers', 'criminalistics', 'associate', 'non-co-operation', 'mobbers', 'crimine', 'collaborationists', 'housebreakers', 'associationism', 'carders', 'schemers', 'thieves', 'crime', 'professionals', 'non-co-operative', 'outlaws', 'thuggee', 'mobsters', 'offenders', 'acquaintanceships', 'collusions', 'antistate', 'committals', 'killers', 'terrorists', 'delinquents', 'gang', 'grafters', 'normalities', 'manics', 'crimes', 'jailbirds', 'law-breaker', 'members', 'cooping', 'associational', 'monickers', 'benevolences', 'actionist', 'grifters', 'troublemakers', 'wrongdoers', 'quasi-criminal', 'rapers', 'individuals', 'organization', 'embezzlers', 'constitutionals', 'thugs', 'solidarities', 'incriminations', 'hooligans', 'blunderers', 'blackguards', 'perpetrators', 'consorting', 'preman', 'betrayers', 'bagmen', 'criminologists', 'perpetuators', 'gangster', 'antisocialist', 'disassociation', 'copartnership', 'legalizations', 'launderers', 'recidivists', 'organizations', 'inciters', 'slanderers', 'hiders', 'vindications', 'escapists', 'swindlers', 'bounders', 'subverters', 'authorities', 'associated', 'monomaniacs', 'interbranch', 'rabbles', 'denigrators', 'lawbreaker', 'victims', 'bribers']"
capable of being perceived especially by sight or hearing,perceivable,0,"['seeing', 'particularly', 'being', 'thought', 'concerned', 'clear-minded', 'assailable', 'speakable', 'embraceable', 'looked-for', 'determent', 'coming', 'meak', 'well-satisfied', 'only', 'feeing', 'unpractised', 'looing', 'well-acknowledged', 'considering', 'vising', 'well-raised', 'both', 'impressible', 'discernably', 'visible', 'double-minded', 'anticipative', 'supposed', 'stedfastly', 'certain', 'sharp-minded', 'looking', 'look-down', 'accustoming', 'stilly', 'purblind', 'viewless', 'sharp-sighted', 'dispensible', 'critical', 'clearly', 'lessoned', 'caried', 'accustomed', 'clearsighted', 'detering', 'expected', 'vitalized', 'focused', 'impassionate', 'considered', 'regard', 'seeable', 'far-gone', 'unaccustomed', 'evitable', 'wising', 'involved', 'finding', 'apparent', 'dumbfound', 'indeed', 'sensitives', 'delightsome', 'undistracted', 'presentative', 'familiar', 'stedfast', 'present', 'really', 'clear-sighted', 'discomforted', 'accomplishable', 'important', 'most', 'recollective', 'experient', 'put-off', 'particular', 'certainly', 'determinating', 'even-minded', 'understanded', 'equanimous', 'sententiously', 'feeling', 'essential', 'clear', 'viewing', 'offtrack', 'all', 'manifested', 'unconceived', 'clueing', 'passioned', 'unlooked', 'obviously', 'truly', 'placable']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['double-crop', 'cultive', 'crops', 'cultivatable', 'single-crop', 'one-crop', 'plants', 'harvestable', 'intercrop', 'budwood', 'seedpod', 'seed-corn', 'plantlet', 'boxthorn', 'weeder', 'self-sown', 'seedsman', 'plant-animal', 'broomrape', 'double-cropping', 'leguminous', 'plantlike', 'cultivable', 'seedsmen', 'double-cropped', 'unsown', 'spring-sown', 'legume', 'cultivations', 'vegetable-growing', 'sweetclover', 'cultivation', 'stonecrop', 'unplanted', 'well-irrigated', 'tarweed', 'seeds', 'pigweed', 'seed-time', 'polyculture', 'lant', 'fruit-growing', 'corm', 'vegetable', 'jewelweed', 'gumweed', 'ricegrass', 'seedling', 'well-cultivated', 'pigface', 'sprouter', 'leadplant', 'thrip', 'farmable', 'soilless', 'grass-grown', 'dogbane', 'disperser', 'vetch', 'corncockle', 'self-pollinate', 'intercropping', 'pollinates', 'corn-growing', 'flower-bearing', 'flowerless', 'well-planted', 'graine', 'seedpods', 'cardoon', 'dropseed', 'agronomical', 'intercropped', 'unirrigated', 'hawkweed', 'croplands', 'sea-grass', 'stickseed', 'manuring', 'agricultural', 'vetches', 'cotton-growing', 'dry-rot', 'root-bound', 'hogweed', 'preharvest', 'open-pollinated', 'soil', 'spring-planted', 'grape-vine', 'witchweed', 'hempseed', 'saltgrass', 'weediness', 'wheat', 'livestock', 'nonirrigated', 'well-grown', 'mayweed', 'drylot']"
consumption of alcoholic drinks,intemperance,0,"['drinking', 'drink', 'alcohol', 'nonalcoholic', 'consumptions', 'beverages', 'beverage', 'imbiber', 'liquor', 'imbibers', 'drinker', 'drunk', 'intoxicants', 'drinkers', 'nondrinking', 'consumptive', 'intoxicates', 'intoxicate', 'booze-up', 'self-consumption', 'drinkability', 'wine', 'swigs', 'overdrinking', 'consumptives', 'healths', 'boozing', 'intoxicant', 'wine-drinking', 'food', 'swills', 'overconsumption', 'liquors', 'spirituous', 'boozed', 'guzzles', 'intoxications', 'inebriate', 'intoxication', 'teetotalism', 'quaffing', 'overindulgence', 'whiskey', 'self-consumed', 'sugar-laden', 'binges', 'imbibing', 'teetotaler', 'low-consumption', 'alcoholics', 'heavy-drinking', 'whisky-drinking', 'teetotal', 'inebriation', 'libations', 'rotgut', 'smokeable', 'boozers', 'imbibes', 'liquer', 'beery', 'consumable', 'brandies', 'inebriating', 'caffein', 'potations', 'good-tasting', 'consumed', 'swilling', 'sugar-water', 'intoxicated', 'consume', 'teetotaling', 'stupors', 'quaffs', 'off-license', 'bacchanalian', 'nondrinkers', 'whisky', 'boozer', 'debauches', 'water-drinking', 'meths', 'swigging', 'snacks', 'abstainer', 'tippling', 'grog', 'drunken', 'orangeade', 'cokes', 'teetotaller', 'teetotalers', 'quaff', 'vodka', 'nonconsumptive', 'inebriant', 'alcoholism', 'decaffeinated', 'absinthes']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,0,"['silcrete', 'limnic', 'marly', 'mudrock', 'rocklike', 'marls', 'silicified', 'caprock', 'rocks', 'clastics', 'rock-forming', 'sedimented', 'quartzose', 'calcrete', 'phosphorite', 'mineralised', 'endolithic', 'well-cemented', 'water-bound', 'carbonised', 'clastic', 'stromatolite', 'rock-dwelling', 'deposits', 'predominantly', 'mostly', 'dunite', 'quartzitic', 'salines', 'rock-salt', 'encrust', 'pedogenic', 'sediments', 'calcine', 'primarily', 'caprine', 'relicts', 'calcitic', 'principally', 'granitic', 'mineralized', 'magnesian', 'strandline', 'mudrocks', 'coaly', 'interstitially', 'marinates', 'copper-bearing', 'rockwork', 'sediment', 'subaqueous', 'marination', 'metasedimentary', 'rockered', 'cratonic', 'metalling', 'saltern', 'formable', 'fishlike', 'inters', 'silts', 'subjacent', 'fragmental', 'bedrocks', 'rock-bound', 'setal', 'siliceous', 'mugearite', 'unlaid', 'subaerial', 'dripstone', 'gravels', 'silicification', 'half-made', 'backfills', 'fossilizing', 'metallogenic', 'sedimenting', 'cutwater', 'evaporite', 'hydrophytic', 'carnallite', 'transportive', 'unsoiled', 'infaunal', 'outcropped', 'mineralizing', 'freshwater', 'sea-grass', 'pigface', 'sea-otter', 'offish', 'entombs', 'cuttle', 'calcareous', 'non-iron', 'monazite', 'evaporitic', 'plast', 'caprylic']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['graphitic', 'silcrete', 'vulcanite', 'silicified', 'aluminosilicate', 'silicates', 'silica', 'aluminate', 'ash-colored', 'calcine', 'siliceous', 'pumice', 'borosilicate', 'rocklike', 'leachable', 'dunite', 'mullite', 'pipeclay', 'quartzitic', 'phyllosilicate', 'basaltic', 'heat-absorbing', 'ashing', 'rock-salt', 'basalt', 'aluminous', 'copper-covered', 'claystone', 'metal-bearing', 'humic', 'silicic', 'metalized', 'metallic', 'molten', 'granulite', 'carbonised', 'absorbant', 'alkalic', 'mineraloid', 'plastic', 'ashed', 'coaly', 'limonite', 'carbonaceous', 'metall', 'carbonized', 'granitic', 'limestone', 'formable', 'magnesian', 'calcined', 'feldspathic', 'pyrolytic', 'sea-foam', 'metal', 'monzonite', 'carbonite', 'copper-bearing', 'carbonate', 'aluminide', 'evaporite', 'copper-smelting', 'monazite', 'sinter', 'sulphite', 'encrust', 'quartzose', 'copper-coated', 'copper-red', 'extrusive', 'crushable', 'dripstone', 'ash-gray', 'siloxane', 'defoamer', 'patinated', 'silicification', 'green-glazed', 'metal-covered', 'metallurgically', 'copper-colored', 'bricklike', 'non-iron', 'pumiceous', 'graphite', 'silicide', 'crystalline', 'encrustation', 'mudrock', 'deliquescent', 'salt-glazed', 'dickite', 'meteoritic', 'vulcanised', 'mineralized', 'sanidine', 'polysulfide', 'clastic', 'liquidy', 'sorosilicate']"
a small pitcher for serving cream,creamer,0,"['capless', 'large', 'smallish', 'bowlful', 'tea-tray', 'smaller', 'potholder', 'half-made', 'medium-sized', 'serve', 'bagful', 'capful', 'handful', 'mixable', 'good-size', 'clingstone', 'handleless', 'well-pitched', 'thinnish', 'bricklike', 'both', 'tallish', 'half-grown', 'tea-growing', 'pitching', 'man-size', 'spongecake', 'pickiest', 'potpie', 'unlaid', 'fresh-made', 'soft-handed', 'leathering', 'turned-over', 'creamiest', 'larger', 'big', 'only', 'extra-large', 'hollower', 'middle-sized', 'batter', 'runnier', 'growler', 'well-raised', 'highball', 'self-raising', 'tartlet', 'ramekin', 'basketful', 'remaining', 'portioning', 'the', 'under-sized', 'tannish', 'fresh-picked', 'tinner', 'smalltime', 'tea-colored', 'haling', 'passel', 'carby', 'cream-yellow', 'pieman', 'catcher', 'platic', 'crisping', 'counterman', 'pitchers', 'crustless', 'quaich', 'marinates', 'turned-down', 'meak', 'well-hit', 'layette', 'growing', 'splodge', 'truckle', 'hand-tied', 'flowerless', 'home-baked', 'hot-pot', 'harling', 'man-sized', 'cupper', 'whey-faced', 'small-size', 'served', 'spottier', 'carhop', 'brookside', 'plater', 'bowlder', 'lare', 'one', 'short-armed', 'beany', 'suppler', 'uncrushed']"
the handwear used by fielders in playing baseball,mitt,0,"['play', 'played', 'infielders', 'outfields', 'infields', 'players', 'baseballer', 'outfielders', 'baseballs', 'pitching', 'fieldsmen', 'pluggers', 'outfield', 'both', 'plays', 'switch-hitting', 'beaned', 'catcher', 'ballplayers', 'cross-handed', 'misplaying', 'base-ball', 'hittable', 'well-pitched', 'cannoning', 'platooned', 'shortstops', 'spitball', 'sandlot', 'skittling', 'pick-off', 'using', 'batboy', 'beanball', 'sports', 'politicked', 'basemen', 'football', 'chuntered', 'misplayed', 'misplays', 'comping', 'unpitched', 'playdown', 'turned-over', 'switch-hit', 'baserunning', 'playacting', 'stropping', 'pinheaded', 'limbering', 'shortstop', 'homering', 'pitches', 'umps', 'batting', 'inters', 'stickball', 'working', 'fieldsman', 'hander', 'utilized', 'game', 'grandstanded', 'pinch-hitting', 'cricket', 'backfields', 'selected', 'pitchout', 'rooked', 'pinnies', 'grounders', 'misplay', 'scorebook', 'pitch', 'sandlots', 'putout', 'practicing', 'infielder', 'offtrack', 'offbreak', 'spitballs', 'sluggers', 'operatics', 'ballfield', 'ballparks', 'practiced', 'conking', 'divots', 'forkball', 'buddying', 'tean', 'stropped', 'all-sorts', 'sport', 'catchers', 'crackerjacks', 'sportswriting', 'overpitched', 'stickman']"
