Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['deceitful', 'falsified', 'tainted', 'apocalypse', 'erroneous', 'apocalyptic', 'deceptive', 'narcissistic', 'scrumptious', 'cynical', 'illustrious', 'adolescent', 'tainty', 'cheesy', 'illegitimate', 'sneering', 'cynicism', 'tussy', 'edgy', 'defavorable', 'affluent', 'deluded', 'defeasance', 'hysteric', 'falsifying', 'deceitfully', 'debilitating', 'savage', 'squint', 'misguided', 'frank', 'incompetent', 'admonishment', 'delicacy', 'apocryphal', 'skeptic', 'taint', 'feisty', 'dreaded', 'dreadful', 'fazed', 'squirt', 'dishonorable', 'frightful', 'cheated', 'stuttering', 'deceiving', 'slurring', 'obtuse', 'hysterical', 'fawny', 'apocalypsis', 'snaking', 'fictitious', 'devilish', 'admonish', 'apocalyptus', 'slacks', 'defecund', 'narcissism', 'prickly', 'fawn', 'oblivious', 'shuffled', 'defeasing', 'tasty', 'snafu', 'mischievous', 'swaggery', 'depraved', 'defazed', 'sceptical', 'scouts', 'dreads', 'fanciful', 'scoffing', 'flinty', 'apocalypsy', 'defamatory', 'empathetic', 'flint', 'fooled', 'defaming', 'squirting', 'tepid', 'defeccated', 'dutchman', 'snafolk', 'tasmanian', 'dishonest', 'scoffered', 'crazed', 'dishonesty', 'tamed', 'dishonor', 'apocalypstic', 'detain', 'scout', 'defecated', 'swaggering']"
showing great reverence for god,worshipful,0,"['reverent', 'reverend', 'reverence', 'ecclesiastical', 'ecclesiastic', 'reminiscence', 'reverenting', 'reverential', 'crucifixion', 'vigilant', 'enlightening', 'adolescent', 'benevolent', 'sacramental', 'adamant', 'emerald', 'blasphemous', 'olympiatic', 'reverented', 'ecclesial', 'olympiad', 'neoliberal', 'theocracy', 'vigilance', 'benedict', 'adolescence', 'affluent', 'olympianic', 'redeemable', 'elizabeth', 'acclaim', 'reminiscing', 'neolithic', 'venerable', 'abominable', 'eminent', 'revered', 'ecclesiaste', 'olympiac', 'acclamation', 'olympic', 'olfolk', 'gloria', 'olympiadic', 'ecclesiac', 'fabled', 'eloquent', 'awed', 'apologetic', 'apotheosis', 'sacrament', 'ecclesiadic', 'astonished', 'reminiscency', 'laudable', 'enlightenment', 'ecclesiastically', 'blasphemy', 'neophyte', 'christian', 'neocratic', 'reminisce', 'neocracy', 'calvary', 'apheasant', 'occultious', 'baptist', 'hospitable', 'lords', 'edifice', 'olympiah', 'glamorous', 'enviable', 'avowed', 'blaspheme', 'adorning', 'ecclesia', 'evangelistic', 'ecclesian', 'olympias', 'apotheosy', 'edifying', 'reverencing', 'reverence', 'prophesy', 'horoscope', 'apotheose', 'emeralding', 'reverental', 'evangelist', 'apotheosial', 'aphemeral', 'adored', 'gloriasm', 'glorious', 'olympiastic', 'glorious', 'occult', 'sacramental', 'sacramentous']"
an association of criminals,mob,0,"['gang', 'criminality', 'syndicated', 'crisscrossed', 'association', 'criminals', 'criminalism', 'mafia', 'symphysymphysymphysymphysy', 'symphysysmymysmymymymymymymymy', 'symphysysmysmymysmymymymymymy', 'crisscross', 'society', 'symphysysmysmymymymymymymymymy', 'symphysysmysmysmymysmymymymy', 'symphysysmysmysmysmymysmymy', 'symphysysmysmymysmymysmymymy', 'narcotics', 'symphysysmysmysmymymymymymymy', 'symphysymphysymphysymphysis', 'symphysysmymysmymysmymymymymy', 'symphysysmysmysmysmysmysmy', 'symphysysmysmysmymysmymysmy', 'symphysymphysymphysymrophysy', 'symphysysmysmysmysmysmymys', 'torpedoing', 'symphysysmysmysmysmymymymymy', 'symphysysmysmymysmymymysmymy', 'symphysymphysymphysymphysi', 'crimson', 'symphysymphysymphysymphysmy', 'symphysysmysmysmysmysmymymy', 'symphysysmysmysmymymysmymymy', 'symphysysmysmymymysmymymymymy', 'symphysysmysmysmymysmymymys', 'confederacy', 'bureaucracy', 'symphysysmymysmymymysmymymymy', 'crisscrossing', 'symphysysmysmysmysmymymysmy', 'symphysysmysysmymysmymymymy', 'criminalssssssssssssssssss', 'symcracracy', 'symphysymphysymphysymmy', 'symphysysmysmymysmymysmymys', 'symphysiosiosiosiosi', 'symphysymphysymphysymphyse', 'symphysysmysmymysmymymymysmy', 'symphysymphysymrophysymphysy', 'symphysysmysmysmymysmysmymy', 'symphysysmysmymysymymymymymy', 'symphysysmysysmysmymysmymy', 'symphysymphysymphysymphysa', 'symphysysmysysmymymymymymymy', 'symphysymphysymphysymcrasy', 'symphysysmysysmysmysmysmy', 'symphysysmysmymysmysmymymymy', 'symphysy', 'symphysymphysymphysymsym', 'symphysymphysymphysymphyphys', 'symphysysmysmysmysmymysmys', 'criminalsssssssssssssssss', 'symphysysmymysmymysmymysmymy', 'symphony', 'symphysymphysymphysysymphy', 'symphysymphysysmymysmymymymy', 'criminality', 'symphysysmysysmymysmymysmy', 'syssocyocyocyocyoc', 'symphysymphysymphysymrophysi', 'symphysymphysymphysymrophy', 'symphysymphysysmymymymymymymy', 'symphysymphysymphysysmymys', 'symphysymphysymsymphysym', 'racialism', 'symphysysmymysmymymymysmymymy', 'criminocracy', 'narcocommittee', 'symphysysmysysmymysysmymy', 'criminalssssssssssssssss', 'symphysysmysmysmysmysmymy', 'symphysymphysymphysymymymymy', 'symphysymphysymphysymphyty', 'symphysysmysmysmymysmymymy', 'confederation', 'symphysysmysysmysmysmymys', 'symphysymphysymphysy', 'symphysysmysmysysmymysmymy', 'colloquium', 'symphysymphysymphysymphysium', 'symphysysmysmymysmymymymymys', 'symphysymphysymphysysmysmy', 'symphysysysmysysmysysmy', 'symphysymphysymphysymysym', 'symphysymphysymphysymphyss', 'symphysysmysysmysysmymys', 'criminalsssssssssssssss', 'symphysysmysmymysmymymymymy', 'symphysysmymysmymysmymymysmy', 'symphysymphysymphysysmymymy']"
capable of being perceived especially by sight or hearing,perceivable,0,"['perceptible', 'perceiveable', 'ognisable', 'imaginable', 'imperceptible', 'recognizable', 'discernible', 'opportunistic', 'apprehensible', 'conceivable', 'receptacle', 'acoustic', 'perçussable', 'receptacular', 'observable', 'visible', 'psoriasis', 'irreperceptible', 'persuasable', 'ephemeral', 'repertifisable', 'perceptifiable', 'acoustisable', 'inperceptible', 'mesmerisable', 'repertifiable', 'detectable', 'seeable', 'persuasible', 'spectrisisable', 'acussible', 'specterable', 'pprehensible', 'empathisisable', 'recognisable', 'apprehension', 'perceptibility', 'verifiable', 'comprehensible', 'perceptibilizable', 'spectable', 'apessible', 'persevable', 'opportunist', 'psemable', 'persemable', 'opportunable', 'opportune', 'unperceptible', 'opportunisable', 'empasisable', 'irrepersivable', 'mesmerisible', 'perçussible', 'irreperperceptible', 'irreperpersivable', 'penetrable', 'ephemeric', 'acoustically', 'ognizable', 'pprehensiable', 'discernable', 'mesmerizing', 'reperceptible', 'perceptible', 'repertible', 'persecuable', 'ognissable', 'easiness', 'repertiable', 'opportunible', 'appreciable', 'pseudable', 'acoustical', 'visualisable', 'mesmerisisable', 'precisable', 'acoustissable', 'resemblable', 'receptacable', 'opportuble', 'conceivable', 'perceptibly', 'ecousable', 'imperceptible', 'messible', 'acoustiable', 'acoustifiable', 'ecoustic', 'auditable', 'irreperpersibable', 'opportuniable', 'opportuable', 'receptacleable', 'pprehensivisable', 'pseifable', 'perceptibilitable', 'spectrable', 'perspicassible', 'acoustisisable']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['eurasian', 'ayurveda', 'savanna', 'safflower', 'pomegranate', 'forage', 'fennel', 'guacamoo', 'hyacinth', 'sage', 'risota', 'euras', 'savannah', 'peasant', 'pharaoh', 'saline', 'ayurved', 'nutmeg', 'safir', 'bead', 'salina', 'prawn', 'savor', 'grazed', 'vega', 'taylor', 'beet', 'ayurvedo', 'tavern', 'corned', 'sagua', 'sassa', 'peppered', 'saxoon', 'sahara', 'guacamole', 'ayurvedine', 'seedling', 'risotto', 'fayette', 'fajita', 'taiwan', 'samaritan', 'roe', 'geranium', 'syringe', 'sacrament', 'urasian', 'halibut', 'ayurvedi', 'huda', 'rhode', 'ayurvedy', 'sulfate', 'savon', 'syria', 'grassed', 'santa', 'saxode', 'safolk', 'sula', 'thyme', 'ayurvedash', 'mush', 'saagra', 'beaver', 'ayurvede', 'saxonite', 'sylphea', 'sylphee', 'acacia', 'syrah', 'beetle', 'sylph', 'sulfin', 'roose', 'tamarind', 'ayurvedul', 'sabeth', 'sourflower', 'samarita', 'saxophone', 'saxope', 'tahini', 'roo', 'beetling', 'raleigh', 'sashay', 'iguana', 'sulfa', 'oleo', 'risot', 'ayurvese', 'tahina', 'sulfolk', 'ayurvedal', 'tana', 'eurasa', 'taiwanese', 'lutha']"
consumption of alcoholic drinks,intemperance,0,"['alcoholic', 'alcoholism', 'drink', 'alcoholicism', 'drooling', 'drunkenness', 'alcohol', 'drinks', 'savoring', 'ecstasy', 'sourdough', 'symbiosis', 'suffocation', 'drunken', 'fajitas', 'suffolk', 'drool', 'olfoolfoolfoolfool', 'olfolk', 'slacks', 'smoking', 'flimsy', 'adolescence', 'olfoolfool', 'olfoosiosiosiosios', 'eloquence', 'olfoolfoolfool', 'calorimeter', 'intoxication', 'abrasiosiosiosiosios', 'spouting', 'alcoholicity', 'sprinkling', 'drinking', 'oleosiasiasiasiasia', 'adolescent', 'olfool', 'alcoholics', 'adolfolk', 'scalding', 'alcove', 'abrasiosiosiosiosia', 'concociousness', 'adolfoolfoolfool', 'concoction', 'abrasiositosiosiosios', 'sneering', 'olfoolsiosiosiosio', 'abrasiosiosiosiosi', 'booze', 'eloquenza', 'abrasiosiositosiosios', 'adolfoolfool', 'snoody', 'nihilism', 'symphysis', 'consummation', 'abrasiosiosiasiasias', 'scudding', 'sluggishness', 'fajitos', 'adolfoolfoolfoolfo', 'abrasiosiosiosiositos', 'abrasiosiosiosiasias', 'scud', 'adolfoss', 'stomping', 'olfoosiosiosiosia', 'abrasiosiosiositosios', 'olfoolfoolfoolfoo', 'abrasiosiosiosiosias', 'olfoosiosiosiosio', 'snood', 'olfoolfoolfoolfooo', 'stympiasiasiasiasia', 'olfoolfoolfoolfoos', 'abrasiosiosinosiosiosi', 'abrasiosiosiosia', 'libya', 'olfoosiosiosiositos', 'sulfate', 'olfossiosososososo', 'olfoolfoolfoolulfoo', 'abrasiositosiosiosia', 'adolfoosiosiosiosi', 'abrasiositosiositosios', 'adolfool', 'abrasiosiositosiositos', 'abrasiosiosiosiosis', 'octroi', 'abrasiosiosiosicosios', 'abrasiosiasiasiasias', 'abrasiosiosiosiasia', 'abrasiosiosiosi', 'eloquent', 'drojito', 'olfoolsiosiosiosia', 'abrasiosiosiosiososi', 'olfoolfoolfoollfoo', 'abrasiosiosiosiosii']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,0,"['calcium', 'sediment', 'sulfate', 'calcitrus', 'calcitrate', 'sulfide', 'neolithium', 'rhodium', 'calcivore', 'calcitrite', 'calcarose', 'neolithic', 'symbiosis', 'ecstasy', 'cadmium', 'sedimentary', 'symphyse', 'acetylene', 'calcitrine', 'tetracalcium', 'cranium', 'sandstone', 'saline', 'sultan', 'acetylcalcium', 'tetracycline', 'sulphite', 'sulfium', 'sylphrine', 'sarcoma', 'criss', 'calculus', 'symphysis', 'kilonite', 'chromium', 'symphysite', 'dildo', 'calorimeter', 'acetyl', 'symphyte', 'phlegm', 'calcitro', 'librosis', 'syllithium', 'sulfolk', 'calorid', 'neolith', 'dolomite', 'tetranite', 'lithium', 'sylphritis', 'syria', 'octane', 'sylodium', 'librosilicate', 'mollusc', 'chrysonite', 'crisscrossed', 'calcitride', 'librosite', 'terracing', 'librose', 'ecstasium', 'symphysiosis', 'calcitide', 'sylphea', 'calcitrin', 'ice', 'sylpium', 'tidal', 'chromosomal', 'slide', 'symphysia', 'syldonite', 'calcicle', 'calciform', 'calcicalcium', 'chloride', 'clas', 'calconite', 'chromosomium', 'sludge', 'chrysote', 'octanium', 'symphysiose', 'sylvan', 'sylpherosis', 'phosphate', 'chrysal', 'styrodium', 'reed', 'caloridian', 'dildonite', 'roe', 'sylpherosite', 'sylonite', 'crimson', 'libronite', 'rodium', 'neolithite']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['ashash', 'silicate', 'sashash', 'ashashash', 'sash', 'saline', 'rhodium', 'sulfate', 'dolomite', 'acetylene', 'sulphite', 'sludge', 'ash', 'saxonite', 'mashash', 'acashash', 'cadmium', 'tetranite', 'sulfide', 'alum', 'sultan', 'ashmash', 'salicate', 'neolithium', 'sassash', 'halibute', 'aluminium', 'argon', 'uranium', 'shale', 'sulfium', 'chlorite', 'niobium', 'tanash', 'linonite', 'saxash', 'silkash', 'ashdust', 'tufonite', 'ebony', 'sylicate', 'chlorid', 'sulfonite', 'sulfon', 'sula', 'slut', 'tetracycline', 'slatash', 'salite', 'glycerin', 'sacash', 'sorbite', 'alumashash', 'nihiash', 'titrus', 'kashash', 'sacashash', 'chloronite', 'tite', 'tetranoid', 'dildonite', 'silkashash', 'sassilicate', 'nihibunite', 'nitranite', 'alkaloid', 'chloride', 'lintash', 'samash', 'glycerol', 'neoashash', 'glyceryl', 'glyceride', 'sassonite', 'niobinite', 'tanashash', 'slutash', 'mash', 'nipash', 'salate', 'sylonite', 'sulfanite', 'dilufonite', 'ashash clay', 'cashash', 'lilac', 'sassanite', 'tetracarbonate', 'lint', 'sulla', 'tin', 'slithium', 'dashash', 'saxode', 'dilurite', 'sulfa', 'sass', 'nitrite', 'linole', 'salinenite']"
a small pitcher for serving cream,creamer,60,"['pitcher', 'crisscrossed', 'knuckle', 'slicing', 'sprinkling', 'slacks', 'knap', 'squirt', 'drool', 'bowled', 'crock', 'cranberry', 'crimson', 'snood', 'creamknife', 'crisscross', 'sleeve', 'nip', 'squirting', 'kneading', 'duff', 'tassel', 'knead', 'jug', 'sprig', 'jacks', 'smoky', 'knife', 'drooling', 'snoot', 'safflower', 'roe', 'sprinkle', 'creambowl', 'smoking', 'slouch', 'tucker', 'savoring', 'smocking', 'saxophone', 'creamknappe', 'stomping', 'tinker', 'savor', 'scout', 'spit', 'snooky', 'roo', 'knip', 'safolk', 'jerk', 'macaroni', 'robbing', 'slopped', 'smooch', 'creamknie', 'snort', 'safool', 'swab', 'creamer', 'snorting', 'nipple', 'jugs', 'slurring', 'slinging', 'sourdough', 'squint', 'crip', 'knuckleball', 'knicker', 'smokin', 'tassellet', 'kneady', 'sloo', 'swob', 'savanna', 'snoo', 'snooding', 'rinsing', 'scudding', 'toss', 'knapped', 'smoker', 'snooker', 'safoil', 'smolder', 'slops', 'snooting', 'snob', 'sour', 'snaking', 'slood', 'rooster', 'snafolk', 'scouts', 'smocket', 'slush', 'saxoon', 'smok', 'dredge']"
the handwear used by fielders in playing baseball,mitt,0,"['handbag', 'baseball', 'jacks', 'bathandle', 'sleeve', 'slacks', 'handing', 'hammering', 'tucker', 'handwear', 'tucking', 'scouts', 'bathand', 'baseballskin', 'knuckle', 'baseballhandle', 'hammer', 'hammered', 'sleeved', 'swab', 'saxophone', 'handgun', 'batskin', 'slinging', 'tuck', 'glove', 'handicraft', 'hoodoo', 'stodgy', 'swivel', 'linole', 'dribbling', 'blazer', 'squirt', 'tinker', 'batman', 'batsman', 'handpiece', 'tassellet', 'tiddler', 'scout', 'hooded', 'hoodie', 'studs', 'slugging', 'bathandling', 'sleeves', 'shawl', 'baseball jacks', 'baseballshandle', 'goggles', 'handkerchief', 'hammerhead', 'swaddle', 'scud', 'hosed', 'handware', 'slews', 'swag', 'slops', 'stomping', 'stodge', 'scoured', 'bowled', 'lint', 'hammerjacket', 'dribble', 'hat', 'sleet', 'stodgkin', 'teem', 'sledding', 'manhandle', 'tiddle', 'ballhandle', 'bathands', 'socket', 'stows', 'batshandle', 'shaven', 'paddock', 'batting', 'slaps', 'batwear', 'swag', 'handhand', 'scouting', 'ruffle', 'swap', 'stoops', 'tidbit', 'kook', 'squirts', 'hammers', 'hammerjacks', 'sleevetail', 'saxophon', 'bathandler', 'smocket', 'linolead']"
