Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,0,"['misunderstood', 'lost', 'misses', 'loses', 'abyss', 'apprehensive', 'know', 'apprehension', 'forgetting', 'nihilism', 'savoring', 'afterthought', 'nao', 'knowing', 'nay', 'adolescence', 'tainted', 'nip', 'adobe', 'awk', 'aint', 'lost', 'never', 'nevermind', 'unaware', 'fah', 'nativity', 'aaa', 'awry', 'scouts', 'but then', 'awed', 'narcissistic', 'abysmal', 'wth', 'now', 'naoma', 'obliterate', 'apprehensively', 'naom', 'naomi', 'then', 'naive', 'scouting', 'skeptic', 'adolescent', 'nas', 'naivety', 'aww', 'misbehavior', 'remembering', 'know', 'naf', 'naysayer', 'narcissist', 'irradiated', 'nack', 'but not', 'spotting', 'knew', 'adolf', 'nihio', 'aspirate', 'nihia', 'naomo', 'narcissy', 'a little', 'knowing', 'nasd', 'forgetting', 'misunderstook', 'idling', 'dreamed', 'ah', 'knows', 'aversion', 'nihi', 'slipped', 'knowledge', 'pff', 'lost', 'irradiation', 'awe', 'never', 'misunderstopping', 'gypsy', 'abut', 'nihib', 'irradiate', 'anthology', 'aspirated', 'nasdo', 'unaware', 'naota', 'misses', 'oblivion', 'he', 'feared', 'naod', 'naodi']"
a room in a house or building where people study or work,office,55,"['studio', 'studyroom', 'studroom', 'house', 'room', 'hall', 'classroom', 'studio', 'schoolroom', 'auditorium', 'clubhouse', 'nox', 'houseroom', 'studs', 'paladin', 'palazzo', 'house', 'seminary', 'ateroom', 'school', 'housekeeping', 'room', 'studyhouse', 'staffed', 'atehouse', 'hall', 'studhouse', 'var', 'classroom', 'palais', 'studio', 'dormitory', 'homeroom', 'study', 'university', 'atelier', 'slum', 'clubroom', 'lounge', 'home', 'expo', 'rooms', 'schoolhouse', 'billiard', 'lab', 'studium', 'lobbying', 'auditorium', 'cabaret', 'studroom', 'chamber', 'plex', 'campus', 'stud', 'office', 'nox', 'house', 'shack', 'residence', 'snook', 'nack', 'workplace', 'cadenza', 'inn', 'school', 'room', 'geria', 'conference', 'spaced', 'hall', 'hive', 'dinning', 'library', 'college', 'caisson', 'paladin', 'gym', 'classroom', 'studio', 'cavern', 'palazzo', 'quartier', 'housekeeping', 'hostel', 'lecturing', 'nook', 'university', 'staffed', 'quartage', 'nursery', 'lounge', 'huddle', 'home', 'rooms', 'var', 'apartment', 'academy', 'lab', 'lecturor', 'hotel']"
something that does not cost a lot of money,cheap,1,"['cheap', 'unfavorable', 'slacks', 'cheap', 'expensive', 'noncosting', 'apocryphal', 'lowess', 'lowback', 'priceless', 'adobe', 'noncost', 'taint', 'tarnish', 'slaps', 'uncoachable', 'moneyback', 'apocrypha', 'adol', 'costing', 'niggle', 'snatching', 'slopped', 'nip', 'adoo', 'costless', 'noncoach', 'fah', 'adage', 'inexpensive', 'octagon', 'unfavorably', 'noncostal', 'tattle', 'tad', 'slick', 'slops', 'moneyless', 'nack', 'fortuitary', 'nothing', 'niggling', 'fag', 'unfeet', 'tarnished', 'freeing', 'obtuse', 'debilitating', 'noncoachable', 'uncoke', 'cheap', 'taff', 'tamed', 'slapsy', 'tad bit', 'chopping', 'expensive', 'detritus', 'fortuitous', 'tadware', 'saver', 'uncook', 'tack', 'freebie', 'hefty', 'lowcost', 'lowessing', 'low', 'cashier', 'october', 'delicacy', 'sleuthing', 'debilitant', 'obstructive', 'incumbent', 'slugging', 'tooting', 'uncoupling', 'cheated', 'sleeve', 'anguish', 'oblation', 'supercharged', 'obliterate', 'slap', 'scout', 'obstructor', 'overutility', 'buck', 'outcropping', 'incumbency', 'octum', 'money', 'obtus', 'extra', 'thing', 'scallion', 'scouting', 'obliteration', 'kook']"
to get or achieve something that you want,obtain,71,"['get', 'get', 'achieve', 'get', 'achieving', 'achieve', 'want', 'obstruct', 'obtuse', 'get', 'achieve', 'aiming', 'cannibalize', 'kook', 'achieving', 'obliterate', 'bets', 'tainted', 'scouts', 'adobe', 'betweet', 'acquate', 'appoint', 'dreamed', 'obtained', 'acquit', 'dreaming', 'obten', 'teeter', 'achieve', 'teem', 'want', 'betweep', 'scouting', 'scoured', 'squandering', 'squander', 'gotten', 'do', 'scout', 'obating', 'bet', 'achieving', 'foreseeing', 'adol', 'attainable', 'knuckle', 'cannel', 'cannon', 'requisition', 'accomplishing', 'adabe', 'adoo', 'betweeting', 'obtention', 'betweeter', 'ado', 'betweeted', 'reach', 'betweeth', 'acquating', 'aspire', 'obstruct', 'reshape', 'acquiesc', 'getting', 'attain', 'reaches', 'able', 'aiming', 'obtain', 'apprehensive', 'attaining', 'jit', 'gaining', 'tagging', 'achieve', 'tally', 'foresee', 'achieving', 'chasing', 'tapped', 'cans', 'achieve', 'want', 'pursuing', 'restraining', 'knuckling', 'cant', 'cannister', 'do', 'regaining', 'cannibalize', 'knuckled', 'securing', 'obtuse', 'forgo', 'betray', 'aims', 'abound']"
the bottom part of the leg on which people walk,foot,1,"['foot', 'heeled', 'footing', 'stoop', 'stoops', 'hammered', 'foot', 'footed', 'stow', 'tibia', 'slat', 'thorax', 'footbed', 'slops', 'slopped', 'bottoms', 'tucked', 'flied', 'tucking', 'stout', 'sludge', 'shackles', 'nack', 'femur', 'cuff', 'thigh', 'shin', 'pinning', 'feces', 'heel', 'legging', 'bended', 'fet', 'tucker', 'rib', 'groin', 'slender', 'slither', 'jook', 'footing', 'leggings', 'tuck', 'legs', 'foot', 'toe', 'apron', 'footer', 'apex', 'trotting', 'pim', 'cadences', 'leg', 'roo', 'footleg', 'hammered', 'dribble', 'footbed', 'limb', 'stoop', 'hampshire', 'lobbies', 'roost', 'feet', 'spurring', 'heel', 'delhi', 'delft', 'thud', 'tucked', 'hammering', 'flied', 'dredging', 'underfoot', 'cavern', 'floor', 'dribbling', 'lapped', 'stairwell', 'robbing', 'lupus', 'leh', 'tucking', 'throttling', 'hampered', 'legs', 'lobbie', 'foot', 'heeled', 'treble', 'ground', 'plymouth', 'hammer', 'tassel', 'hammers', 'cuff', 'treading', 'stow', 'tyre', 'legging', 'dredge']"
something that is a circle but also flat,disc,0,"['circle', 'circle', 'circled', 'circling', 'circles', 'circle', 'cylindrical', 'cylindre', 'circler', 'crisscross', 'girdle', 'ellipsis', 'elliptical', 'circular', 'crimson', 'clumping', 'round', 'ellipse', 'cylindrome', 'crisscrossing', 'circled', 'cleats', 'ellipsic', 'ring', 'rounder', 'clout', 'cylindral', 'elliptic', 'ellipsia', 'cylindrometer', 'ringer', 'circling', 'cylinder', 'rounding', 'circles', 'roundel', 'ellipsicle', 'cylindrate', 'cleavage', 'cirrum', 'cirrhosis', 'circle', 'cyrilo', 'cylindrangle', 'clunking', 'rounded', 'crimper', 'crip', 'cirrhose', 'cycle', 'cleaved', 'cleat', 'clunky', 'elliptus', 'ellipsy', 'cyrilium', 'cicle', 'roundabout', 'rotor', 'circular', 'cylindris', 'cisco', 'cleaving', 'circular', 'ellipsical', 'cylindrum', 'ellipsium', 'diaphragm', 'ellipsius', 'cirrus', 'cyrcle', 'ringing', 'clog', 'circler', 'cio', 'umbilicus', 'cylindro', 'crisscrosse', 'clunker', 'cylindren', 'round', 'ellipsitic', 'cylindres', 'cylindrus', 'cylindrium', 'cylindra', 'gilding', 'circle', 'cylindrene', 'cervix', 'curved', 'ellipsial', 'cyrilat', 'gilded', 'cinch', 'circlering', 'crotchet', 'crim', 'cylindrin', 'rounds']"
to decide who someone is or what something is after thinking about it,identify,48,"['decide', 'decide', 'determine', 'deciding', 'decide', 'determine', 'determining', 'think', 'deciding', 'bens', 'decide', 'sorting', 'choose', 'determine', 'resolving', 'postpone', 'deciphered', 'rethinking', 'think', 'appoint', 'pick', 'definite', 'decipher', 'postulate', 'determining', 'care if', 'besood', 'deciding', 'decimated', 'bets', 'betweep', 'overhearing', 'figuring', 'doom', 'beseeking', 'if', 'figure', 'decided', 'defining', 'bestelling', 'postponed', 'bet', 'know', 'choose', 'careening', 'determine', 'besotted', 'identify', 'who', 'define', 'betweet', 'decimate', 'determined', 'overestimate', 'select', 'caress', 'besoop', 'choosing', 'judge', 'guess', 'thought', 'sort', 'deferring', 'overthink', 'candelancing', 'beheading', 'besooper', 'bespeak', 'beg', 'overthrow', 'think', 'overheave', 'rethink', 'rethought', 'ponder', 'betweeping', 'bennived', 'deciphering', 'besoot', 'apprehensive', 'deliberate', 'deciphere', 'bennife', 'determine', 'care', 'betweeth', 'besomming', 'deciphes', 'lookup', 'besoove', 'determination', 'pick', 'besook', 'betweeter', 'benny', 'chosen', 'advise', 'sorting', 'postulating', 'determinate']"
the gesture or gratitude you give after someone does something positive for you,thanks,0,"['gratitude', 'gratification', 'thanksgiving', 'gratefulness', 'thanking', 'gratitude', 'thankfulness', 'acclaim', 'congratulatory', 'positivity', 'positive', 'gladiation', 'gratification', 'benevolence', 'congratulation', 'graces', 'kindness', 'thanking', 'gratitude', 'thankgiving', 'benediction', 'doom', 'thankfulness', 'gratifying', 'blessing', 'forgiving', 'foregiving', 'thankyou', 'kook', 'thank you', 'awed', 'deceleration', 'apologie', 'congratulated', 'congratulate', 'acknowledgement', 'positiveness', 'congratulating', 'gratifications', 'positives', 'congratulations', 'positive', 'awe', 'reassurance', 'devote', 'decency', 'anguish', 'kindness', 'thankful', 'thankfulness', 'appreciation', 'gratitude', 'dooming', 'positivity', 'thankless', 'occlusion', 'benedict', 'salutation', 'thanksgiving', 'obit', 'blessing', 'congratulatation', 'devotion', 'delicacy', 'gratify', 'congratulatory', 'recognition', 'soprano', 'olution', 'thank', 'give', 'thanking', 'goodwill', 'gratification', 'gladness', 'deceit', 'apclaim', 'anguished', 'thankfulness', 'benevolence', 'remord', 'dooms', 'olf', 'remora', 'decognition', 'hope', 'gesture', 'congratulation', 'thankory', 'benediction', 'thankyou', 'delving', 'giving', 'deceiving', 'gratifying', 'thank you', 'grat', 'congratulations', 'acknowledgment', 'foregiving']"
pieces of information that are true,facts,21,"['truth', 'truss', 'substantiation', 'true', 'apprehension', 'trussed', 'etiquette', 'admonishment', 'proofed', 'truth', 'symphony', 'adverbial', 'proofs', 'rummage', 'evidenced', 'rumor', 'truthful', 'adage', 'obliteration', 'evidence', 'facts', 'truancy', 'obliterate', 'emulation', 'trussing', 'truths', 'true', 'trusses', 'substantiate', 'admonish', 'idling', 'verifying', 'false', 'fissure', 'rummaging', 'substantial', 'id', 'oblation', 'adagio', 'truity', 'truth', 'adverb', 'substantiated', 'adword', 'cryptic', 'tithe', 'substantiative', 'adverbiation', 'adverbiality', 'fiss', 'adrift', 'ada', 'symbiotic', 'sympathetic', 'feasibility', 'enumeration', 'obliteracy', 'fist', 'truthfulness', 'adablia', 'symbiotics', 'adap', 'symposy', 'adae', 'nack', 'if', 'evidence', 'delinquency', 'truth', 'adag', 'encrypted', 'underlying', 'admonished', 'adabe', 'adahoc', 'adaq', 'adacity', 'verify', 'verification', 'apprehension', 'pff', 'admonishing', 'adagency', 'intelligibility', 'acquiesce', 'fecundity', 'admonishness', 'information', 'symposium', 'faulty', 'revealing', 'acquiescence', 'symphonies', 'irrational', 'facts', 'ambiguity', 'acclaim', 'substantiation', 'delinquent', 'enumerating']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,0,"['appoint', 'ups', 'pff', 'forerunner', 'swath', 'foretaste', 'adrift', 'forward', 'ahead', 'apron', 'advancing', 'stoop', 'ascendant', 'swab', 'foreseeing', 'adagio', 'overturning', 'apropos', 'adobe', 'awed', 'offshoot', 'adversity', 'appointing', 'apex', 'thawed', 'torpedoing', 'foregoing', 'thwarted', 'upping', 'sideways', 'stifle', 'rerouted', 'awk', 'throttling', 'retreated', 'overthrow', 'apn', 'takeoff', 'forehand', 'heave', 'abound', 'stooping', 'swoop', 'foregone', 'overtaking', 'crossroads', 'ascending', 'awry', 'parallel', 'next', 'bothered', 'stifling', 'swaddling', 'pn', 'overroute', 'sway', 'overtake', 'adacity', 'foreway', 'offshooter', 'offshooting', 'sideway', 'adabe', 'appointment', 'upstream', 'overturn', 'along', 'swathe', 'summing', 'foretight', 'theretofore', 'forwards', 'slipping', 'reroute', 'swap', 'appoint', 'uptake', 'swaying', 'forward', 'alternating', 'foretake', 'foreground', 'backward', 'foregrounding', 'thwarting', 'flies', 'ail', 'ahead', 'swaddle', 'awa', 'matched', 'clinch', 'resulting', 'lead', 'swathing', 'adap', 'fag', 'foresee', 'swaw', 'fah']"
