Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['deceitful', 'falsified', 'tainted', 'deceptive', 'cynical', 'erroneous', 'cynicism', 'defavorable', 'deluded', 'falsifying', 'deceitfully', 'savage', 'misguided', 'frank', 'delicacy', 'skeptic', 'taint', 'dreadful', 'fazed', 'dishonorable', 'cheated', 'snaking', 'devilish', 'defecund', 'torpedoing', 'defazed', 'dreads', 'defamatory', 'defaming', 'dishonest', 'dishonesty', 'tamed', 'dishonor', 'defecated', 'cynic', 'deceit', 'fazeful', 'defamed', 'faze', 'deceptiveness', 'obtuse', 'dishonory', 'tactful', 'skept', 'prickly', 'oblivious', 'tad', 'savagery', 'arrogant', 'dread', 'snazzy', 'defavorably', 'mischievous', 'gauntlet', 'defavoring', 'ill', 'rudimentary', 'tricky', 'credulous', 'illegitimate', 'obliterate', 'dreaded', 'trolling', 'snared', 'defecd', 'snagged', 'deceiving', 'fictitious', 'desiccated', 'fooling', 'illustrious', 'deceptive', 'defect', 'tady', 'humbly', 'tadpole', 'obnoxious', 'deceitful', 'erroneously', 'obscene', 'falsified', 'errandous', 'skillful', 'scruples', 'erratious', 'torpedo', 'clever', 'empathetic', 'ambush', 'petty', 'illiterate', 'obstructive', 'covetous', 'prick', 'deceitfully', 'cheated', 'scrupulously', 'fictuous', 'delikate', 'ruffled']"
showing great reverence for god,worshipful,0,"['reverent', 'reverend', 'reverence', 'reverenting', 'reverend', 'reverent', 'reverential', 'reverence', 'vigilant', 'benevolent', 'sacramental', 'adamant', 'reverented', 'vigilance', 'benedict', 'redeemable', 'acclaim', 'crucifixion', 'eminent', 'revered', 'acclamation', 'fabled', 'awed', 'sacrament', 'laudable', 'reminisce', 'edifice', 'evangelistic', 'edifying', 'reverencing', 'reverence', 'reverental', 'evangelist', 'acclamated', 'ecstatic', 'apologetic', 'reverentant', 'venetian', 'prodigal', 'vigilent', 'acquittal', 'reverens', 'horoscope', 'repentant', 'venerated', 'benevolence', 'reverend', 'acclamate', 'benedictious', 'edific', 'venerate', 'redeeming', 'adamantly', 'acquitous', 'reverenting', 'obit', 'reverent', 'astonished', 'edificent', 'acquitable', 'reverence', 'christian', 'reminiscent', 'reverential', 'valorous', 'enlightening', 'edificace', 'glamorous', 'godly', 'acquitted', 'venerative', 'hulk', 'venerable', 'prophetic', 'praised', 'theorem', 'apotheo', 'apotheetic', 'consecrated', 'hulking', 'godful', 'reverented', 'heavenly', 'revered', 'benedict', 'adored', 'vigilance', 'horoquent', 'lords', 'venomous', 'evanescent', 'evannah', 'vehement', 'prodigious', 'cynic', 'lord', 'vigilant', 'astonishment', 'lordship', 'astonishing']"
an association of criminals,mob,0,"['gang', 'criminality', 'syndicated', 'association', 'criminals', 'criminalism', 'mafia', 'crisscross', 'society', 'crimson', 'confederacy', 'crisscrossing', 'criminality', 'confederation', 'gang', 'criminaly', 'criminality', 'societee', 'associación', 'association', 'incriminate', 'coroner', 'homicide', 'coronation', 'criminalism', 'criminology', 'incriminacy', 'incrimination', 'conspiracie', 'crime', 'criminal', 'sociedad', 'associate', 'associacion', 'syndicate', 'criminalsassociation', 'mooting', 'confederate', 'criminacy', 'group', 'criminalsy', 'mafiah', 'criminalsymphony', 'criminalssclub', 'criminalss', 'societe', 'mafiac', 'crimsony', 'racialism', 'syndicated', 'societa', 'societies', 'crisscrosse', 'associay', 'associazione', 'criminalssassociation', 'criminalsssss', 'conspiracies', 'compatriot', 'crisscrossage', 'associady', 'conspiracied', 'mafiad', 'societie', 'narcotics', 'criminal association', 'mafias', 'criminalization', 'association', 'societiy', 'python', 'associad', 'societal', 'mafiaca', 'racially', 'maf', 'narcotica', 'criminalsymboly', 'criminals', 'crisscrosser', 'criminalisation', 'criminalssy', 'societey', 'pygmy', 'criminalage', 'crimsonage', 'narcotical', 'crimmons', 'criminalism', 'criminalsymbol', 'mafiada', 'crimmon', 'criminalssss', 'gang', 'narcocriminal', 'compatrioty', 'criminaly', 'criminality', 'criminalish', 'societia']"
capable of being perceived especially by sight or hearing,perceivable,0,"['perceptible', 'perceiveable', 'ognisable', 'imaginable', 'imperceptible', 'recognizable', 'discernible', 'apprehensible', 'acoustic', 'observable', 'visible', 'irreperceptible', 'perceptifiable', 'detectable', 'seeable', 'specterable', 'pprehensible', 'apprehension', 'perceptibility', 'perceptible', 'spectable', 'irreperperceptible', 'ognizable', 'pprehensiable', 'discernable', 'mesmerizing', 'visualisable', 'conceivable', 'perceptibly', 'perceptibilitable', 'spectrable', 'audiable', 'pprehensifable', 'pprehensife', 'understandable', 'imperceptibly', 'pprehensify', 'pprehension', 'apprehensiable', 'perceived', 'sensibly', 'mesmerising', 'receptacle', 'perceptibilite', 'ognisible', 'apprehending', 'receptacular', 'visible', 'psd', 'spectroscopic', 'pprehensifible', 'ognisability', 'spectrisable', 'sensational', 'pable', 'spectrific', 'sensible', 'apprehensiver', 'recognizable', 'apprehensive', 'perceptibil', 'pseible', 'apprehensiv', 'apprehendent', 'perceptual', 'foreseeable', 'mesacular', 'apprehendenting', 'capable', 'measurable', 'empiric', 'apprehendens', 'sagability', 'sagibility', 'opportune', 'emporium', 'mesmerisible', 'perceptibility', 'mesmerize', 'perceptible', 'repertiful', 'discernible', 'opulent', 'pprehensible', 'entanglement', 'perceived', 'noticeable', 'apprehensibil', 'visible', 'apprehensible', 'viewing', 'apprehendentive', 'accessible', 'sagil', 'apprehendental', 'apprehabilitate', 'apprehendented', 'sagibly', 'perspicatable', 'betrayal']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['eurasian', 'savanna', 'safflower', 'pomegranate', 'forage', 'fennel', 'sage', 'euras', 'savannah', 'peasant', 'saline', 'safir', 'bead', 'salina', 'savor', 'beet', 'sagua', 'sahara', 'seedling', 'taiwan', 'roe', 'sulfate', 'savon', 'sula', 'saagra', 'beaver', 'nutmeg', 'sulfin', 'tahini', 'roo', 'sashay', 'sulfa', 'tahina', 'grazed', 'eurasa', 'safira', 'pomegrant', 'saas', 'pomegranine', 'tan', 'eurasan', 'saa', 'pealing', 'berry', 'herbaceous', 'eurasi', 'tahin', 'saad', 'tai', 'sax', 'safin', 'saxo', 'seeding', 'ole', 'pome', 'urasian', 'sagu', 'marmalade', 'mush', 'sam', 'crockery', 'salamander', 'forage', 'sour', 'hay', 'bee', 'mandarin', 'oligo', 'sage', 'eurasian', 'kefir', 'chowder', 'graze', 'seedling', 'guava', 'cultivar', 'urugu', 'pom', 'mash', 'sultan', 'sandflower', 'plant', 'olivine', 'chow', 'fowl', 'grail', 'oat', 'spouting', 'sphrine', 'vega', 'fennel', 'tiger', 'deer', 'sandberry', 'spout', 'mingh', 'rice', 'ghetto', 'hummus', 'andrew']"
consumption of alcoholic drinks,intemperance,0,"['alcoholic', 'alcoholism', 'drink', 'alcoholicism', 'drunkenness', 'alcohol', 'drinks', 'savoring', 'sourdough', 'drunken', 'slacks', 'intoxication', 'alcoholicity', 'drink', 'drinking', 'alcoholics', 'alcove', 'concociousness', 'concoction', 'booze', 'consummation', 'scudding', 'scud', 'alcoholic', 'eloquent', 'snorting', 'slurring', 'concoct', 'alcoholicry', 'sneeze', 'slur', 'alcohol consumption', 'alcoholism', 'alcohol', 'savor', 'snuff', 'slurred', 'alcohol consumption', 'trinkling', 'consumpation', 'drank', 'snooze', 'sour', 'alcoholid', 'slush', 'drinks', 'consumption', 'sludge', 'sprinkling', 'consummate', 'alcoholicship', 'snort', 'alcohol', 'calorimeter', 'slurch', 'concocting', 'sourdo', 'liquefy', 'dranks', 'drunkenness', 'alcoholicism', 'trinkle', 'lupus', 'sulfate', 'concocation', 'sourdash', 'drink', 'drinking', 'savors', 'delicacy', 'trink', 'sourdish', 'tequila', 'snore', 'snuffing', 'drunken', 'slurp', 'stymie', 'cigarette', 'doping', 'spouting', 'coke', 'jugs', 'lupine', 'stout', 'boisterous', 'cynicism', 'liqueur', 'alcoholicity', 'alcohol', 'dio', 'alcoholics', 'sultry', 'spout', 'nip', 'alcoholic', 'stylist', 'booze', 'drinks', 'consumption']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,73,"['calcium', 'sediment', 'calcitrus', 'calcitrate', 'calcitrite', 'calcarose', 'cadmium', 'sedimentary', 'calcitrine', 'cranium', 'sandstone', 'saline', 'calculus', 'calorimeter', 'calorid', 'lithium', 'mollusc', 'calcitide', 'ice', 'slide', 'calcicle', 'calciform', 'clas', 'calconite', 'sludge', 'rock', 'sediment', 'calc', 'calcide', 'calcium', 'calcus', 'cis', 'roche', 'calcin', 'calcium', 'ash', 'quaternary', 'lava', 'rocky', 'calcitrus', 'calcitrate', 'sedimentary', 'roch', 'ridged', 'calcitrite', 'chrystal', 'rock', 'sediment', 'argon', 'quake', 'sulphate', 'mole', 'calcite', 'chloride', 'calcitrine', 'rocks', 'sandstone', 'calf', 'ice', 'phlox', 'precipitate', 'calcitre', 'calcified', 'alkaline', 'cramium', 'cranial', 'calcum', 'calc', 'calcine', 'cephalanx', 'glacial', 'calcium', 'limestone', 'cephalic', 'cram', 'ammonium', 'cobalt', 'alkaloid', 'roe', 'rodium', 'calcium', 'clastic', 'rib', 'kilo', 'cephalus', 'cis', 'flora', 'ammonia', 'basalt', 'mollusc', 'toxic', 'ridge', 'cemented', 'rat', 'mudstone', 'tar', 'clas', 'toxin', 'limodium', 'rock']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['ashash', 'silicate', 'sashash', 'ashashash', 'sash', 'saline', 'sulfate', 'sulphite', 'sludge', 'ash', 'saxonite', 'mashash', 'silicate', 'tetranite', 'sulfide', 'alum', 'salicate', 'sassash', 'argon', 'sulfium', 'tanash', 'saxash', 'sulfonite', 'sulfon', 'sula', 'slut', 'slatash', 'salite', 'alumashash', 'titrus', 'chloronite', 'tite', 'alkaloid', 'chloride', 'lintash', 'samash', 'tanashash', 'slutash', 'mash', 'sulfanite', 'lint', 'tin', 'saxode', 'dilurite', 'sulfa', 'sass', 'salinenite', 'alumash', 'tana', 'sulfoil', 'sassa', 'sashashash', 'saxashash', 'sashay', 'dilufide', 'saxon', 'dilufa', 'sassil', 'sulfin', 'sax', 'ashashashash', 'slat', 'sassage', 'rhodium', 'sassin', 'sassit', 'tan', 'sassium', 'clay', 'rin', 'cadmium', 'sulforite', 'dilufon', 'saxo clay', 'molybdenum', 'sulfol', 'sulfas', 'aluminium', 'lin', 'ashash', 'sand', 'lava', 'kefir', 'sam', 'sapphire', 'ash', 'chlorid', 'fluorocarbon', 'melamine', 'galvanium', 'silicate', 'shale', 'mud', 'dolomite', 'shrapnel', 'glycerol', 'glyceryl', 'sulfate', 'sludge', 'sylicate']"
a small pitcher for serving cream,creamer,18,"['pitcher', 'slicing', 'pitcher', 'bowled', 'crock', 'cranberry', 'crimson', 'duff', 'tassel', 'jug', 'sprig', 'jacks', 'roe', 'savor', 'spit', 'roo', 'robbing', 'creamer', 'jugs', 'crip', 'toss', 'sour', 'slush', 'snuff', 'jarred', 'puffed', 'spout', 'cream pitcher', 'slur', 'dill', 'creamball', 'smock', 'poached', 'jerk', 'macaroni', 'pitcher', 'creams', 'creambox', 'spoons', 'ice', 'var', 'apron', 'lint', 'potted', 'bicep', 'tucker', 'tinker', 'jar', 'knicker', 'creambowl', 'church', 'dredge', 'crock', 'lilac', 'churn', 'linn', 'duff', 'hammer', 'jug', 'sizzling', 'molasse', 'nip', 'mollet', 'broom', 'creamer', 'crockery', 'jigger', 'roe', 'creampot', 'mish', 'saucer', 'roquette', 'chaff', 'pitcher', 'cupped', 'scowl', 'poacher', 'roost', 'knickers', 'bowled', 'hammering', 'creamfield', 'jacked', 'scowling', 'cream pitcher', 'juju', 'robbing', 'crepe', 'jugs', 'link', 'cob', 'kif', 'linch', 'crumb', 'lilies', 'cube', 'jumbler', 'rin', 'libra', 'cub']"
the handwear used by fielders in playing baseball,mitt,0,"['handbag', 'baseball', 'jacks', 'bathandle', 'handing', 'hammering', 'tucker', 'handwear', 'tucking', 'bathand', 'baseballskin', 'baseballhandle', 'hammer', 'baseball', 'handgun', 'batskin', 'slinging', 'tuck', 'glove', 'handicraft', 'handbag', 'batman', 'batsman', 'handpiece', 'scout', 'bathandling', 'baseballshandle', 'goggles', 'hammerhead', 'handware', 'swag', 'scoured', 'hat', 'sledding', 'ballhandle', 'bathands', 'batshandle', 'batting', 'batwear', 'handhand', 'scouting', 'hammers', 'bathandler', 'sportswear', 'baseballhands', 'handcrafted', 'duff', 'baseballshandbag', 'batswear', 'blazer', 'hammerman', 'baseballhandbag', 'sling', 'slew', 'hammerwork', 'sledging', 'fieldhand', 'hammered', 'ballhand', 'hosed', 'gloves', 'handing', 'slat', 'hoodoo', 'hammerwear', 'baseball', 'tinker', 'bathandsman', 'slush', 'hammerpiece', 'hammerware', 'glove', 'forearm', 'prick', 'bead', 'studded', 'baseballhand', 'puffed', 'shawl', 'tucker', 'fah', 'handgun', 'fem', 'kook', 'dribbling', 'handcart', 'taco', 'hoodie', 'frog', 'hammer', 'handbag', 'tattered', 'batman', 'tuck', 'handpiece', 'handball', 'jacks', 'dribble', 'pricks', 'hand']"
