Description,Solution,Prediction rank,Predictions
marked by foolish or unreasoning fondness,infatuated,0,"['lustble', 'Lustlust', 'irksomely', 'lustyceous', 'swooping', 'grophthalric', 'molehillous', 'gladelustious', 'lusty', 'aff', 'cornătărous', 'affranting', 'lustless', 'rash', 'joyous', 'lustvârvârvâr', 'mockery', 'lustick', 'wildegory', 'acrobatic', 'egoistic', 'virulent', 'gladiety', 'turgid', 'lusty', 'shrewd', 'foul', 'lustlust', 'lustlustous', 'maverick', 'lusty', 'nuntale', 'mad', 'touched', 'lusty', 'lustlustrous', 'lustlustous', 'lustick', 'pinnacle', 'apathy', 'Foolish', 's smileless', 'wild', 'pinnacle', 'avestatistic', 'lustlustrous', 'cocky', 'utterancelessly stupid', 'affinice', 'lustrous', 'daâmbous', 'lusty', 'lustrous', 'cockney', 'lustlustful', 'lustlustlustous', 'psychopathic', 'absurd', 'cockătă', 'lustless', 'lustlust', 'berespectless', 'lustless', 'lustrutèle', 'gleamic', 'lusty', 'chickvârvârnous', 'lustless', 'rudderless', 'âmbâmbâmbâmbt', 'âmbâmbâmbtle', 'lustless', 'lusty', 'lusty', 'lusty', 'lustlusty', 'gleeful', 'nuntalous', 'lusty', 'lusty', 'Foolish', 'foulness', 'wild', 'dâmbging', 'lustred', 'lusty', 'lustful', 'varfeed', 'glade', 'maniacal', 'fetishistic', 'lustred', 'lusty', 'snaffishement', 'lusticky', 'lustless', 'smug', 'wildheitous', 'nuntale', 'daggerously lusty']"
a conceptual whole made up of complicated and related parts,composite,0,"['axiom', 'pvârvârvole', 'constructing', 'subatomic', 'commutative', 'compositor', 'assemblage', 'summarising', 'conceptualize', 'enuméré', 'concept', 'axiom', 'Județeanion', 'conceptualizer', 'ingrijire', 'atom', 'Județeanism', 'agglomeration', 'abstraction', 'conglomeration', 'concept', 'axis', 'komplexe', 'Gesamtwerk', 'axis', 'compositant', 'abyss', 'grouping', 'concept', 'conglomeration', 'aor', 'aceptotica', 'Județeanism', 'conceptual', 'assemblage', 'axiom', 'notion', 'dichotomy', 'cartel', 'conglomerate', 'Județeanis', 'suprafata', 'abstraction', 'conceptualism', 'interdisciplinary', 'axis', 'unified', 'axis', 'structure', 'Whole', 'axiom', 'komplexest', 'conceptualism', 'axiome', 'whole', 'abstraction', 'Județeanity', 'axiom', 'assemblage', 'poatket', 'enmeshed', 'interrelated', 'amalgamation', 'unified', 'conceptualism', 'assemblage', 'Județeanis', 'interrelatedity', 'summarized', 'assemblage', 'Județeane', 'complexity', 'logicality', 'Județeanism', 'clientiisimoi', 'abstractly', 'abstraction', 'abstraction', 'encycropedia', 'interdisciplinary', 'summarising', 'cosmology', 'saitch', 'enlargement', 'lucrari', 'synthesis', 'Județeanism', 'âmbâmbâmbtle', 'whole', 'jumbled', 'concept', 'conceived', 'Județeanis', 'encytheme', 'compact', 'whole', 'atom', 'aficionados', 'constituted', 'assemblage']"
sensitivity to the action of radiant energy,radiosensitivity,0,"['sensibility', 'sensitivity', 'radiantism', 'sensitivity', 'sensitivity', 'radiance', 'radiantness', 'radiantism', 'sensitivity', 'sensitivity', 'sensitivity', 'radiantity', 'radiantity', 'sensitivity', 'energy', 'sensitivity', 'radiantity', 'radiantität', 'radiantity', 'suprafatance', 'sensitivity', 'radiantity', 'illumination', 'sensitivity', 'suprafatance', 'radiantity', 'radiantity', 'sensitivity', 'energyism', 'radiance', 'sensitivity', 'radiantity', 'sensitivity', 'sensitization', 'radiantity', 'radiantity', 'sensitivity', 'fluencies', 'effervencedibility', 'radiantness', 'sensitivity', 'brilliance', 'radiance', 'sensitivity', 'radiantness', 'radiantity', 'sensitivity', 'trepidation', 'radiantity', 'sensitivity', 'sensitivity', 'sensitivity', 'radiance', 'radiantity', 'radiantity', 'radiantity', 'sensitiveness', 'sensitivity', 'warmth', 'radiantity', 'touch', 'sensitivity', 'potency', 'sensitivity', 'potency', 'sensitivity', 'energy', 'sensitivity', 'energeticITY', 'sensitivity', 'Power', 'clientii adica adica adica clientii adica adica adica clientii adica adica adica adica adica adica adica adica adica adica', 'radiantism', 'radiantity', 'sensitivity', 'radiantity', 'radiantism', 'innateness', 'radiantity', 'sensitivity', 'radiance', 'sensitivity', 'radiantness', 'radiantity', 'radiance', 'radiantity', 'sensitivity', 'energy', 'sensitivity', 'sensitivity', 'receptivity', 'rayonnce', 'radiantism', 'sensitivity', 'radiantity', 'sensitivity', 'warmth', 'radiant', 'suprafatance', 'radiance']"
an accumulation of refuse and discarded matter,scrapheap,0,"['trash heap', 'dumping', 'trash heap', 'composthole', 'trashsammlung', 'littering', 'trashsammlung', 'trashroom', 'dumping', 'dumping', 'trashman', 'trashshed', 'dump', 'trashhrack', 'trashed', 'trashsammlung', 'trash', 'trashsammlung', 'disposal', 'discarded', 'littering', 'dumping', 'litter heap', 'trashledge', 'wastehouse', 'dumping', 'heap', 'discarded', 'trash', 'trashsammlung', 'dumping', 'dumping', 'litters', 'litterpiled', 'dumplings', 'heap', 'emptied', 'scrappling', 'piledpiled', 'rubbishsammlung', 'litter', 'rubbishsammlung', 'littering', 'dumpingundock', 'accumulated', 'trash', 'piledgeh', 'trash', 'dump', 'litterpiled', 'rubbish', 'dump', 'trashroom', 'dumping', 'demolition', 'Rubble', 'trash', 'dumping', 'dumping', 'scrapbook', 'emptied', 'rosii disposledgement', 'trashsammlung', 'heap', 'trashroom', 'discarded', 'litterbox', 'trashfall', 'rosii littersammlung', 'piled', 'heaps', 'trashsammlung', 'trashsammlung', 'litter', 'garbagesammlung', 'shredder', 'accumulation', 'trashsammlung', 'littersammlung', 'dumping', 'trash', 'compost', 'dispossession', 'trashsammlung', 'littersammlung', 'discarded', 'waste', 'trashsammlung', 'heaped', 'garbage', 'rubbishsammlung', 'trashbusting', 'garbage', 'litter', 'dumping', 'garbagesammlung', 'garbagesammlung', 'trash', 'Rubble', 'piled']"
a streamlined train,streamliner,0,"['streamlined', 'rumble', 'mule', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'tufting', 'streamlined', 'navicular', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'train', 'streamlined', 'streamlined', 'swooped', 'streamlined', 'stutter', 'streamlined', 'stubby', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'railing', 'streamlined', 'streamlined', 'cab', 'streamlined', 'streamlined', 'train', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'ravining', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'tack', 'troll', 'railtrain', 'streamlined', 'streamlined', 'raft', 'streamlined', 'steam', 'rattler', 'cylinder', 'streamlined', 'streamlined', 'trains', 'streamlined', 'streamlined', 'streamlined', 'raft', 'streamlined', 'streamlined', 'streamlined', 'bob', 'tramped', 'streamlined', 'ram', 'streamlined', 'rail', 'trunny', 'trains', 'streamlined', 'streamlined', 'streamlined train', 'streamlined', 'steered', 'streamlined', 'streamlined', 'boondock', 'streamlined', 'streamlined', 'bob', 'tricked', 'streamlined', 'stapleton', 'streamlined', 'streamlined', 'trains', 'troll', 'streamlined', 'tuft', 'pinnacle', 'streamlined', 'gâmb', 'stray train']"
of or relating to or derived from humus,humic,0,"['Humus', 'humusy', 'humus', 'humusy', 'Humusy', 'Humed', 'humusy', 'Humus', 'Humusus', 'gallic', 'mucus', 'Humus', 'humus', 'Humus', 'mucus', 'humus', 'Humus', 'humusylertaining', 'humus', 'humusy', 'humal', 'Humus', 'Humus', 'mucus', 'clientiice', 'Humus', 'mumoral', 'humus', 'humus', 'humus', 'Humus', 'Humusual', 'humus', 'humusular', 'humus', 'Humusameneutic', 'humus', 'Humus', 'humus', 'Humus', 'humus', 'humusus', 'humus', 'cornus', 'humus', 'humulate', 'cornusulate', 'humus', 'humus', 'Humusus', 'Humus', 'adăugural', 'humus', 'Humâmbary', 'humusual', 'Humus', 'humusic', 'bopodische', 'mucallial', 'Humus', 'humuscephalic', 'Humusuous', 'Humâmbetic', 'Humus', 'Humus', 'Humus', 'humus', 'Humus', 'Humus', 'Humusular', 'Humus', 'humusal', 'Humuscu', 'humusual', 'humus', 'humusive', 'Humus', 'mucus', 'Humusullectic', 'Humus', 'Humus', 'Humus', 'Humushumus', 'Humus', 'Humorous', 'Humusous', 'humuszygous', 'humusy', 'Humus', 'humus', 'Humus', 'Humus', 'humus', 'clientiilectae', 'Humus', 'humusus', 'humus', 'humâmbus', 'Humus', 'Humus']"
in a feverish manner,feverishly,1,"['feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishness', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly']"
a pocket - size case for holding papers and paper money,pocketbook,7,"['pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocketbook', 'pocket', 'pocket', 'Case', 'pocketbook', 'pocketbook', 'Pocket', 'Pocket', 'pocket', 'pockets', 'pocket', 'Pocket', 'pocket', 'pocket', 'pocket', 'pocketcloser', 'pocket', 'pockets', 'Briefcase', 'pocket', 'pocket', 'pocket', 'Pocket', 'Case', 'pocket', 'pocketbook', 'pocket', 'Briefcase', 'Pocket', 'Pocket', 'pockets', 'pocket', 'clingcase', 'pockets', 'Casecase', 'pocket', 'pocketbook', 'pocketmap', 'pocketbook', 'pocket', 'Pocket', 'pockets', 'pocket', 'pocket', 'pocket', 'a pocket', 'pocket', 'pocketbook', 'pocketbook', 'ringcase', 'pocket', 'pocket', 'pocket', 'pocket', 'Pocket', 'pocket', 'pocket', 'pouch', 'pocket', 'pocket', 'pocket', 'pocketbook', 'Pocket', 'pocket', 'pocket', 'cowhide', 'pocket', 'pocket', 'pocket', 'pocketbook', 'pockets', 'pocket', 'pocketed', 'pocket', 'pocketbook', 'pocket', 'pocketmap', 'pocketbook', 'pocket', 'pc', 'pocket', 'pocket', 'pocket', 'pocket', 'pocketbook', 'poch', 'pocket', 'pocket', 'bills', 'slipped cases', 'Case', 'pocket', 'pocket', 'pocket']"
concern for your own interests and welfare,egocentrism,0,"['care', 'numbness', 'politeness', 'Interest', 'welfare', 'interest', 'protectionist', 'interests', 'interests', 'concern', 'interest', 'investitii', 'concern', 'clientii dumneavoastrai', 'concern', 'concern', 'personalism', 'interest', 'individualism', 'interest', 'intérêt', 'interest', 'achtiety', 'egoprotection', 'welfare', 'interest', 'interest', 'interest', 'concern', 'interests', 'protection', 'interests', 'guardienssship', 'caring', 'grijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrijagrija', 'intérêt', 'concern', 'interest', 'interest', 'welfare', 'interest', 'clientii dumneavoastrai', 'concerns', 'interest', 'interest', 'attention', 'interest', 'egotism', 'interest', 'Interesse', 'Sorge', 'compassion', 'concern', 'intérêt', 'interest', 'regard', 'individualism', 'interest', 'grija', 'Interessentrimony', 'sympathy', 'interest', 'Interesse', 'interest', 'interest', 'interests', 'concern', 'stewardship', 'interest', 'concern', 'interest', 'interest', 'interest', 'vested interest', 'interest', 'selfishness', 'preoccupation', 'interest', 'interest', 'interest', 'caretakership', 'concern', 'caring', 'interest', 'interest', 'interest', 'sensitivity and interest', 'interest', 'interest', 'welfare', 'interest', 'interest', 'interest', 'care', 'interest', 'Interesse', 'welfare', 'interest', 'concern', 'interest']"
still in doubt,unsettled,0,"['dreadlocks', 'doubtful', 'still in doubt', 'still doubtful', 'ambiguous', 'doubtful', 'doubt', 'questioned', 'doubtful', 'doubtful', 'doubtful', 'doubtless', 'still in doubt', 'doubtful', 'doubtful', 'questioned', 'a doubt', 'doubt', 'doubtful', 'questioned', 'doute', 'doubtful', 'doubts', 'doubtful', 'doubt', 'still ambiguous', 'ambiguous', 'ambiguous', 'doubtful', 'Zweifel', 'doubtsome', 'Zweifel', 'doubts', 'doubted', 'doubtful', 'speculative', 'doubtful', 'doubtless', 'doubtful', 'doubts', 'ambiguous', 'doubtful', 'floud', 'doubt', 'uncertainty', 'doubtful', 'doubtexistent', 'doubtful', 'doubt', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'unsure', 'doubtless', 'doubtfulness', 'still in doubt', 'doubtful', 'doubtful', 'ambiguous', 'doubtful', 'shadowed', 'doubtful', 'ambiguous', 'dominant', 'imbercudence', 'doubtless', 'doubtful', 'ambiguous', 'doubtless lach', 'doubtful', 'mystery', 'doubtful', 'clientii moalei sunt inca gasindui', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'questioned', 'doubtlock', 'doubtful', 'doubtful', 'questioned', 'doubtful', 'still wrecking', 'doubt', 'doubtful', 'doubtful', 'doubtful', 'stillung', 'a doubt', 'doubt', 'doubtable', 'doubtful', 'doubt', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubt']"
