Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,0,"['clientii clientii clientii adancii', 'misunderstood', 'clientii taiati renuntando', 'clientii clientii clientii placuti', 'clientii clientii clientii angajatorii', 'clientii clientii clientii placutii', 'clientii clientii clientii adanci', 'clientii clientii clientii angajatori', 'clientii clientii clientii solutiii', 'clientii clientii placuti', 'misfortune', 'knowledgable', 'clientii taiati', 'clientii moalei', 'knowing', 'aforethought', 'unknowledged', 'misunderstood', 'forgetting', 'aforesaid', 'unwittingly', 'aknowledgement', 'presumption', 'aknowledged', 'hastening', 'unwittingly lost', 'blindfolded', 'knowledge', 'befuddled', 'ignorantly', 'fluke', 'knowing', 'knowledge', 'haste', 'achtelujah', 'clientii taiati inlocui inlocuire', 'if', 'hasty', 'blackmailing', 'clientii clientii renuntandaa', 'clientii clientii renunteazaa', 'bewildered', 'Knowledge', 'clientii', 'varfu', 'unwittingly ouch', 'knowledgelessness', 'wiping', 'knowledgeless', 'clientii asteptati', 'preceptualized', 'ignorant', 'hastily', 'unwittingly loses', 'learned', 'clientii clientii placuti', 'aknowledge', 'preceptualise', 'bewildering', 'reteta reteta reteta retetanis', 'unwittingly losing', 'presumptions', 'unwittingly you lost', 'skipping', 'dabbled', 'blindsided', 'preceptualize', 'preceptualization', 'bewilderment', 'clientii taiati', 'reteta reteta reteta retetanium', 'unwittingly gave way', 'clientii aveti informatiia', 'preceptually', 'knowledge', 'forgetting', 'unwittingly stumbled', 'clientii moalei', 'hastened', 'blackmail', 'preceptualism', 'rediscovered', 'reteta reteta retetanis', 'reteta reteta retetanisis', 'befuddling', 'grasping', 'reteta reteta retetanism', 'knowing', 'clientii asteptate', 'stubbled', 'unwittingly lose', 'unwittingly conceded', 'bewilderingly', 'learnt', 'presumptioned', 'unwittingly you knew', 'achteen', 'forgotten', 'knew', 'belittled']"
a room in a house or building where people study or work,office,0,"['room', 'rooms', 'Room', 'dormitory', 'room', 'rooms', 'Room', 'study', 'snooker', 'nook', 'living room', 'houseguestchamber', 'room', 'houseguestzimmer', 'houseguestroom', 'Study', 'rooms', 'clientii cladirii', 'Studyzimmer', 'livingroom', 'houseguest', 'Study Room', 'houseguestszimmer', 'Room', 'clientii cladiri cladirile', 'clientii cladirile', 'clientii cladirii cladirii', 'colony', 'study', 'houseguestquartier', 'snookernook', 'barcelonium', 'houseguestquarters', 'livingzimmer', 'cloakroom', 'cladiri', 'dormitorium', 'Studyroom', 'seminary', 'snook', 'studyzimmer', 'houseguestzine', 'houseguestsnook', 'houseguestschlafzimmer', 'roommates', 'studyroom', 'chambre', 'bedroom', 'roomed', 'houseguestquarter', 'study room', 'Studynook', 'studynook', 'cornered', 'chambered', 'clientii cladiri cladirii', 'room', 'clientii cladirile cladirile', 'clientii cladiri cladirile cladiri', 'manschlafzimmer', 'colonial', 'clientii cladirile cladirii', 'snookerilliard', 'studyräuming', 'cubicle', 'cabilliard', 'squatting', 'Study', 'cabana', 'rooms', 'clientii clientii cladirii', 'manschlafchamber', 'studyräumette', 'Schlafquartier', 'manschlafkabine', 'chamfered', 'quarters', 'houseguestnook', 'houseguests', 'studyräum', 'chamber', 'Sitzgeschoss', 'cabilliardette', 'cabinet', 'cladiriilliardette', 'living Room', 'Sitzgefäch', 'studium', 'Study room', 'houseguestilliard', 'bunker', 'Room', 'houseguesträu', 'clone', 'clientii dormitoriatului', 'dormitory', 'cab', 'study', 'cadendron', 'clientii dormitoria']"
something that does not cost a lot of money,cheap,7,"['thrifty', 'luxuries', 'affluent', 'lowcost', 'a little bit', 'splurge', 'cheap', 'acoustic', 'adobe', 'apprehensible', 'thrifty', 'flimsy', 'appointment', 'low-cost', 'luxuriant', 'apprehensive', 'affluence', 'acrobatically', 'adductual', 'minuscule', 'aplenty', 'a lot', 'inexpensive', 'inexpensively', 'a lot less expensive', 'affluency', 'apropos', 'adductive', 'appointing', 'comparatively cheap', 'a little bit more', 'comparatively inexpensive', 'afloat', 'apabilan', 'cheapest', 'a lot of', 'a little bit of', 'surprisingly cheap', 'nifty', 'aquitaine', 'cheap', 'uncomplicated', 'luxurious', 'lowbrow', 'luxuries', 'cheaply', 'lowcost', 'a bit', 'surprisingly inexpensive', 'cheapening', 'microfinance', 'pocketfriendly', 'awesome', 'affluent', 'inexpensive', 'utterly cheap', 'a little bit', 'thrifty', 'dwindling', 'utterly inexpensive', 'superfluous', 'splurge', 'hefty', 'dâmbâmbt', 'arithmetical', 'astringent', 'costless', 'low-cost', 'adobe', 'apprehensible', 'low priced', 'thrifting', 'luxuriant', 'plethora', 'netherworldly', 'a lot', 'cheap', 'apprehensive', 'affluence', 'adductual', 'aphrodite', 'astringency', 'stingy', 'stingray', 'utterly thrifty', 'cheapest', 'utterly sanitary', 'dâmbâmbtive', 'scrapbooking', 'a lot cheaper', 'astonishment', 'lightbulb', 'afloat', 'acquitted', 'lowbrow', 'acculturation', 'Spartan', 'cordonade', 'nifty', 'microfinanced']"
to get or achieve something that you want,obtain,0,"['aims', 'achieving', 'aiming', 'aspired', 'aim', 'aims', 'dreaming', 'aspire', 'goals', 'attaining', 'achieving', 'acheive', 'acheivement', 'attain', 'aiming', 'achieve', 'aim', 'Wanting', 'swooning', 'besiege', 'aiming', 'acheived', 'snatching', 'achieved', 'strove', 'swaggering', 'obtaining', 'Dreaming', 'goals', 'dorintously', 'aims', 'indeplinion', 'achievement', 'Obtained', 'objectively', 'accomplishing', 'aimsing', 'sexting', 'snubbing', 'aimed', 'achieve', 'aims', 'achieving', 'dorinta', 'befitting', 'acheiving', 'sextuple', 'smuggle', 'aimlessly', 'Ziel', 'get', 'pursuing', 'attain', 'attainable', 'aspires', 'goal', 'sextuccinate', 'gotten', 'indeplinise', 'swoon', 'enlisting', 'lofty', 'indeplinite', 'want', 'attainment', 'aspired for', 'Struggle', 'dorintous', 'Strike', 'achieving', 'aspired to', 'achieving', 'aim', 'aims to achieve', 'beggar', 'chasing', 'enshrine', 'gaining', 'aims or goals', 'goalize', 'aims to attain', 'begehrt', 'indepliniţion', 'snitching', 'aspired', 'enlarge', 'winged', 'targets', 'acheive', 'Get', 'aspire', 'aiming', 'aiming', 'aspire', 'endearment', 'indeplinism', 'sextupling', 'goals', 'isnt', 'securing']"
the bottom part of the leg on which people walk,foot,3,"['thigh', 'groin', 'foot', 'shinnock', 'pharynx', 'squat', 'footing', 'pinnacle', 'piciorotapulum', 'footstep', 'calf', 'phalange', 'shinny', 'limb', 'phasing', 'snubbing', 'piciornacle', 'thighs', 'piciorotapulis', 'piciorotapula', 'kneeling', 'shinna', 'piciorotape', 'shintal', 'ankle', 'heel', 'clientii moalei', 'hump', 'phacenacle', 'shin', 'squawk', 'squatting', 'femur', 'staph', 'piciorotaph', 'stapling', 'phacelium', 'sphincter', 'scalf', 'kneecap', 'foot', 'squawking', 'piciorotapule', 'squabble', 'squattal', 'triceps', 'limbs', 'patellanacle', 'piciorotapulus', 'shinnin', 'shince', 'shinne', 'patella', 'snout', 'centipede', 'clientii piciorul', 'shining', 'snubble', 'phacelin', 'scaly', 'squabbled', 'limbo', 'hamstring', 'squat picioare', 'pharyncal', 'squawked', 'pommel', 'legging', 'centipedal', 'thigh', 'bottom', 'groin', 'crotch', 'footing', 'glute', 'bascula', 'centâmbella', 'patellanac', 'phacel', 'piciore', 'Fuß', 'basculus', 'footstep', 'picior', 'phace', 'tricuccine', 'squat', 'nasoga', 'clientii picioarelor', 'ankle', 'heel', 'limb', 'sphincrum', 'thighs', 'calf', 'chipped', 'phalange', 'crouch', 'lower', 'tricuccinella']"
something that is a circle but also flat,disc,0,"['elliptical', 'circular', 'round', 'elliptic', 'circular', 'clientii clientii clientii solutiii', 'axiom', 'circled', 'chevron', 'circling', 'circles', 'round', 'chamfered', 'ellipsoidal', 'elliptica', 'ringed', 'chameleon', 'cercle', 'ellipsis', 'circle', 'cinderculate', 'axisymmetric', 'roundabout', 'circular', 'axisymmetrical', 'ellipse', 'arc', 'circularism', 'cribbled', 'circulate', 'circulated', 'circulum', 'ring', 'centipede', 'Kreisel', 'circulated', 'axioma', 'circularity', 'circulator', 'elliptical', 'cinder', 'circular', 'sphere', 'ellipses', 'ellipsium', 'cirle', 'cribble', 'cinderculus', 'squabble', 'circle', 'crip', 'square', 'circled', 'squatting', 'Cylindrical', 'circulum', 'circle', 'axis', 'circular', 'ellipsogram', 'cercular', 'ellipsome', 'acorn', 'circulopod', 'squabbled', 'rounded', 'cirque', 'cinderculum', 'circles', 'round', 'cindercula', 'cindercull', 'Recumbent', 'circled', 'flattening', 'circle', 'cylinder', 'elliptic', 'rounder', 'clientii clientii clientii societatii', 'axiom', 'centimeter', 'circling', 'serpentine', 'cercle', 'Cylindric', 'roundabout', 'centipedal', 'crinkle', 'chamfered', 'circular', 'arc', 'axisymmetric', 'circular', 'flat', 'cylindric', 'square', 'Circular', 'ring', 'Circle']"
to decide who someone is or what something is after thinking about it,identify,0,"['rosii rosii rosii rosii rosii rosii', 'clientii clientii gasi gasindui', 'clientii clientii clientii gasindui', 'clientii moalei moalei', 'deciding', 'figuring', 'abysmal', 'rosii rosii rosii rosii rosii', 'clientii clientii gasindui', 'adancement', 'apprehensive', 'clientii moalei renunteaza', 'clientii clientii gasiii', 'identifier', 'porumbed', 'wrestled', 'porumbel', 'puckering', 'poato', 'Philosophical', 'adage', 'figuring out', 'reckoning', 'clientii moalei', 'übernominated', 'rosii rosii rosii rosii', 'județize', 'clientii moaleieaza', 'adancing', 'porumbeth', 'presumption', 'pickpocket', 'porumberism', 'porumbeering', 'thinkabout', 'personifies', 'porumbes', 'taiatweiner', 'determining', 'pickpocketed', 'if', 'deliberating', 'guessing', 'befriended', 'wrestler', 'porumbet', 'pinched', 'guesstimate', 'județizing', 'deliberation', 'porumbeen', 'porumberland', 'deciding', 'pickpocketing', 'befriending', 'decidedly', 'ingrijire', 'porumberang', 'defining', 'figuring', 'hastily', 'rosii rosii rosii rosii rosii rosii', 'personified', 'theologically', 'adancement', 'deliberatively', 'deliberate', 'übernominator', 'identity', 'pickpocketing', 'names', 'übernommenate', 'deliberately', 'contemplation', 'theorist', 'pucker', 'taiatia', 'Troublesome', 'divinity', 'decided', 'deliberative', 'clientii moalei dupa gandire', 'wrestled', 'übernominating', 'übernommenologically', 'rosii rosii rosii rosii rosii', 'nunta', 'übernommena', 'translate', 'taiatweinerglein', 'porumbâmbâmb', 'poato', 'porumbâmbâmbâmb', 'clientii moalei renunteaza', 'Philosophical', 'porumbâmbâmbâmbtle', 'porumbâmbâmbâmbâmbâmb', 'porumbâmbâmbtle', 'pickpocketry', 'pickle']"
the gesture or gratitude you give after someone does something positive for you,thanks,0,"['gesture', 'gratification', 'appreciation', 'gratefulness', 'thanking', 'thanksgiving', 'gratitude', 'gratulation', 'gestured', 'gesture', 'appreciation', 'thankfulness', 'salutation', 'Lobbying', 'gratification', 'appreciation', 'appreciativeness', 'gratitude', 'politeness', 'apologies', 'powwow', 'Lobulation', 'grâmb', 'gesture', 'gifting', 'appreciation', 'appreciationgiving', 'applauded', 'hugs', 'remembrance', 'Gratitude', 'gift', 'Lobbegivement', 'thankyougiving', 'reciprocation', 'gladness', 'Namitism', 'adulation', 'thankgiving', 'gratulation', 'Lobbegiving', 'Lobbehommage', 'gestured', 'thankyou', 'Lobbehorsement', 'gratifications', 'apologiesgiving', 'gratefulnessgiving', 'thankful', 'applaudation', 'Lobbehorse', 'gestures', 'appreciative', 'gratefulgiving', 'acknowledgment', 'praisegiving', 'thanking', 'happy gesture', 'Lobby', 'powwwow', 'gratitudegiving', 'gratificationgiving', 'Lobaritant', 'applauding', 'Lobbecâmbia', 'varful', 'gaggle', 'gratitude', 'appreciative gesture', 'gratulations', 'gratefulness', 'touched', 'centimeter', 'Lobbeciety', 'awed', 'Lobbecâmbet', 'Lobbying', 'gesture', 'gratifying', 'adversity', 'apologizing', 'gratification', 'powwwwow', 'giving', 'Lobbing', 'centenary', 'apologie', 'regratification', 'hugsgiving', 'appreciation', 'gladiatorial', 'gestification', 'thankfulnessgiving', 'generosity', 'appreciating', 'Lobbecaite', 'Lobbecâmbio', 'charitable gesture', 'gratigung', 'Lobbear']"
pieces of information that are true,facts,0,"['truthful', 'clientii clientii placuti sunt informatiiadevărate', 'truthfully', 'clientii clientii informatiilor suntadevărate', 'clientii clientii informatiii suntadevărate', 'clientii placuti sunt informatiiadevărate', 'clientii clientii clientii informatiii suntadevărate', 'clientii clientii sunt informatiiadevărate', 'clientii stiucii', 'clientii clientii clientii informatiilor suntadevărate', 'clientii clientii informatiilor care suntadevărate', 'clientii clientii sunt informatiiadevăricei', 'clientii clientii gasicii', 'clientii clientii sunt informatiiadevăruali.', 'clientii clientii informatiilor adevărate', 'clientii clientii sunt informatiiadevăruali', 'clientii clientii sunt informatiiadevăricele', 'clientii clientii placuti', 'clientii clientii sunt informatiiadevărate.', 'clientii clientii informatiilor suntadevărate.', 'clientii clientii informatiii suntadevărate.', 'clientii placuti sunt informatiiadevărate.', 'clientii clientii informatiilor sunt clientii informatiilor', 'clientii clientii informatiilor cunoscutei', 'clientii clientii placuti sunt informatiiadevărice', 'clientii clientii sunt informatiiadevăricesi', 'clientii clientii informatiilor furnizatei', 'clientii clientii sunt informatiiadevăriceci', 'clientii clientii informatiii modificarii', 'clientii clientii sunt informatiiadevărice', 'clientii clientii gasirei', 'clientii clientii clientii gasiii', 'true', 'truth', 'clientii moalei', 'truthful', 'truthfulness', 'truthfully', 'apocalyptic', 'clientii placuti', 'clientii clientii secuitatiiitatii', 'clientii clientii informatiilor din lumea actuala', 'true', 'clientii clientii informatiilor din lumea cunoscuta', 'clientii clientii informatiilor din lumea curenta', 'clientii clientii zicalas', 'truth', 'apocalypse', 'trumpeduplicate', 'unearthed', 'clientii clientii zicalase', 'clientii clientii zicalasa', 'clientii clientii zicalasce', 'truths', 'truthual', 'clientii clientii informatiilor faculate', 'apocalyptic truth', 'authenticated', 'clientii clientii informatiilor oferite', 'clientii informatiiadevărices', 'falsehood', 'clientii clientii zicalac', 'truthful', 'infographic', 'factual', 'apocalypses', 'trumpery', 'truthfulness', 'shatteringly truthful', 'apocalyptic information', 'informational', 'apocalyptical', 'clientii clientii informatiilor disponibile', 'shattering', 'apocalyptotic', 'deceptive', 'clientii clientii zicala', 'truthfully', 'bogus', 'clientii clientii informatiilor existente', 'Truthful', 'unearthed truthfully', 'truthful', 'true', 'apocalypsic', 'clientii informatiilor secufactionale', 'truth', 'clientii informatiiadevărate', 'stiuptuous', 'lie', 'apocalyptische', 'unearthledged', 'apocalyptischen', 'clientii clientii informatiilor', 'unearthly', 'clientii zicala', 'fiktionally zickling', 'items of factuality', 'unearthed truthful', 'clientii zicalaceutica']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,0,"['merging', 'convergence', 'taiatoperation', 'chevron', 'taiation', 'sameway', 'recursively', 'clientiicii', 'recursive', 'chameleon', 'chamfered', 'championătă', 'taiatia', 'taiatide', 'taiatLogo', 'taiatiac', 'taiatidel', 'ablaze', 'taiatidea', 'taiatiegle', 'taiatleine', 'taiatespersion', 'taiate', 'ditching', 'taiatespermatik', 'doubling', 'identical', 'identicality', 'clientiici', 'interchange', 'same route', 'clientii taiati iarna', 'clientii mergeazaeaza', 'Sameway', 'clientii mergando', 'climax', 'clientii coinced', 'taiatle', 'taiatlein', 'parallelism', 'similarity', 'taiatoperation', 'interchanged', 'smackdown', 'climaxing', 'convergence', 'shunting', 'clientii coincidence', 'beheading', 'clientii solutiile', 'merging', 'taiation', 'merge', 'roundabout', 'chevaughney', 'recursively', 'cambering', 'taiatide', 'hedgehog', 'recursive', 'jaggle', 'sextatch', 'parallelise', 'same', 'overtaken', 'colliding', 'identical', 'wayfaring', 'chevron', 'cheviene', 'adancement', 'interchange', 'taiatidel', 'identically', 'sameway', 'taiatioperation', 'wayfarer', 'mergage', 'clientii coince', 'clientii solutiii', 'equalization', 'cornice', 'patchwork', 'taiate', 'clientii solutiilein', 'same nastere', 'overtaking', 'shunt', 'merged', 'smack', 'Județeanement', 'taiatur', 'befalling', 'jag', 'clientii taiati', 'upped', 'equalizer', 'clientii', 'twingled', 'clientii mergeaza']"
