Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['vain', 'pessimism', 'impotent', 'skillful', 'tricky', 'deceiving', 'falsified', 'ineffected', 'gleming', 'comrade', 'dissipate', 'chaff', 'deceptive', 'distortistic', 'chewish', 'scout', 'skept', 'foolish', 'smooch', 'preceptive', 'debilitating', 'dispirited', 'decaf', 'trickling', 'dreadily', 'indulging', 'mockery', 'demeaning', 'addicious', 'dishonorly', 'mischievous', 'apocryphal', 'tricky', 'naf', 'jimmed', 'deceptionist', 'feinerous', 'abyss', 'trot', 'misfit', 'snaker', 'clever', 'hoot', 'fricky', 'defeated', 'deluded', 'mischievous', 'defailure', 'tacker', 'humbilous', 'ejected', 'doomy', 'fapsy', 'sceptical', 'snatching', 'keilism', 'deacon', 'tod', 'savage', 'fabled', 'deceptive', 'falsified', 'het', 'petting', 'feeceful', 'edgy', 'afghan', 'decoiling', 'draught', 'trickier', 'jacked', 'shuffled', 'foolish', 'miscalculation', 'skillful', 'slashed', 'perd', 'chuffed', 'sympathetic', 'deceptional', 'dreaded', 'scavenge', 'scadacious', 'deceptive', 'vaunted', 'dunk', 'trottery', 'trolling', 'tricky', 'deceptive', 'wit', 'foolproof', 'lax', 'july', 'tamed', 'tact', 'fawning', 'rickety', 'dishonest', 'coma']"
showing great reverence for god,worshipful,0,"['revered', 'reverence', 'virginia', 'reverend', 'reverend', 'reverend', 'honorative', 'pable', 'hospitable', 'reverence', 'praised', 'idolatic', 'crucifixion', 'reverent', 'reverent', 'reverend', 'crucifixion', 'reveress', 'reverent', 'reverent', 'oar', 'reverent', 'reverence', 'reverend', 'reverent', 'greatness', 'reverent', 'reverence', 'reverend', 'reverent', 'reverence', 'reverent', 'reverend', 'benedict', 'reverent', 'reverend', 'reverend', 'saintly', 'reverent', 'reverence', 'reverence', 'reverend', 'safrantic', 'reverence', 'theorize', 'reverent', 'reverent', 'reverend', 'reverent', 'reverence', 'ovated', 'reverenting', 'revolting', 'reverend', 'reverence', 'venerat', 'revered', 'reverend', 'heavenly', 'reverence', 'reverence', 'reverend', 'reverent', 'reverend', 'reverent', 'reverend', 'lamentari', 'holy', 'reverent', 'reverence', 'reverent', 'benedict', 'reverend', 'reverend', 'reverend', 'laudable', 'laudable', 'reverend', 'reverent', 'reverence', 'reverent', 'reverential', 'reverend', 'reverenza', 'aphrodite', 'benedict', 'valiant', 'defeosity', 'revereal', 'reverent', 'reverend', 'reverentive', 'reverend', 'reverel', 'reverence', 'reverenting', 'reverend', 'reverend', 'reverent', 'reverend']"
an association of criminals,mob,0,"['association', 'coroner', 'circle', 'commission', 'syndicated', 'sexcriminate', 'criminals', 'syndicated', 'bosh', 'maf', 'union', 'criminality', 'crimony', 'coworker', 'police', 'gang', 'criminality', 'criminalism', 'criminalism', 'commission', 'syndicated', 'syndicated', 'criminalssmaid', 'armed', 'criminalsassociation', 'criminalsclub', 'acquiesce', 'gang', 'blackspace', 'conspiracy', 'association', 'association', 'criminals', 'academy', 'mammalis', 'syndicated', 'gangway', 'association', 'gang', 'conspiracy', 'criminals', 'homocrosse', 'philippinity', 'criminals', 'committee', 'association', 'association', 'associations', 'association', 'association', 'association', 'criminality', 'emery', 'comity', 'confederacy', 'criminals', 'coralia', 'gang', 'gang', 'associatory', 'crime', 'criminals', 'criminality', 'syndicat', 'clan', 'criminality', 'criminalshystob', 'syndicated', 'criminals', 'gang', 'confederate', 'association', 'decriminalization', 'associations', 'gang', 'criminality', 'association', 'conspiracy', 'syndicated', 'association', 'gang', 'association', 'saxon', 'groupement', 'criminality', 'criminality', 'syndicated', 'gang', 'gang', 'association', 'affs', 'club', 'association', 'association', 'confederate', 'blackgroup', 'police', 'criminals', 'committee', 'association']"
capable of being perceived especially by sight or hearing,perceivable,0,"['invisible', 'tuky', 'meseable', 'imaginable', 'discernible', 'perceiveable', 'imaginable', 'imaginable', 'perceiveability', 'imperceptible', 'accessible', 'perceptible', 'visible', 'impersonable', 'visible', 'perceived', 'perceiveable', 'perceptible', 'recognizable', 'discernible', 'perceiveable', 'perceived', 'discernible', 'discernable', 'scepterable', 'equivocable', 'noticeable', 'viewing', 'receptacle', 'perceptible', 'perceived', 'perceptible', 'visible', 'accessible', 'emperesisable', 'perceptible', 'imaginable', 'conceivable', 'sensibly', 'ognisable', 'recognizable', 'sensibable', 'seepeable', 'perceiveable', 'bewitsy', 'visible', 'viewing', 'sensual', 'visible', 'viewing', 'assif', 'discernable', 'envisable', 'appreciable', 'visible', 'perceptible', 'observable', 'identifiable', 'sensational', 'recognizable', 'perceived', 'irreperperceptible', 'visible', 'perceiveable', 'possibil', 'ognisable', 'spotable', 'perceiveable', 'telescopic', 'real', 'perceiveable', 'foreseeable', 'iphesetic', 'perceiveable', 'possible', 'appalling', 'visible', 'visible', 'perceptible', 'perceived', 'perceiveable', 'perceiveable', 'perceptible', 'perceiveable', 'recognizable', 'perceptible', 'visible', 'seeable', 'seeable', 'perceptible', 'seeable', 'apparent', 'perceptible', 'perceived', 'repertivable', 'discernible', 'sensibil', 'imperceptible', 'repsipable', 'perceiveable']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['calvary', 'azure', 'sage', 'mash', 'sable', 'rice', 'eurasian', 'annal', 'eurasi', 'saline', 'pylora', 'taq', 'mam', 'saxoman', 'urasian', 'sea', 'musa', 'euras', 'forage', 'afghan', 'saline', 'plant', 'tamarind', 'peasant', 'tan', 'apricot', 'grape', 'pia', 'paes', 'samari', 'vega', 'plant', 'greens', 'scavenger', 'sclerico', 'plant', 'pecai', 'seedling', 'nabar', 'seed', 'thomas', 'tonga', 'seedling', 'tor', 'grau', 'rafaula', 'ruff', 'kafir', 'deer', 'tocopherol', 'seeds', 'aguay', 'afghan', 'calf', 'marmai', 'savanna', 'sultan', 'chard', 'eurasian', 'kal', 'bry', 'mule', 'gray', 'sulfur', 'toagano', 'niha', 'pelura', 'chi', 'calico', 'eurasian', 'forage', 'deer', 'pela', 'seed', 'savura', 'safir', 'yum', 'urasian', 'carrot', 'seedling', 'iroh', 'seedflower', 'forage', 'kadil', 'peach', 'pela', 'sar', 'oa', 'seeds', 'plant', 'sulegane', 'rifa', 'sahara', 'ripa', 'grass', 'santash', 'tulu', 'sage', 'sage', 'seeding']"
consumption of alcoholic drinks,intemperance,0,"['consum', 'drink', 'alcohol', 'consume', 'alcoholicism', 'drinking', 'beer', 'cocktail', 'alcoholic', 'consummate', 'caffe', 'cigarette', 'alcoholic', 'consumption', 'suck', 'alcoholic', 'alcohol', 'alcohol', 'alcoholicism', 'cola', 'slurring', 'alcoholic', 'beverages', 'drink', 'drink', 'alcoholic', 'soda', 'alcove', 'drink', 'consumption', 'alcoholism', 'drink', 'rosary', 'consume', 'drink', 'alcoholicity', 'incostation', 'malty', 'concoction', 'drink', 'alcohol', 'drunken', 'drink', 'alcoholic', 'alcoholic', 'consumption', 'alcohol', 'alcohol', 'drinks', 'alcohol', 'alcohol', 'drinking', 'consumption', 'alcoholism', 'alcoholic', 'alcohol', 'drunkenness', 'prognostic', 'drinks', 'doping', 'drink', 'drunkenness', 'drinks', 'drunkenance', 'alcohol', 'beer', 'drinks', 'drink', 'drunken', 'overconsumer', 'precoup', 'bum', 'coma', 'drink', 'alcohol', 'cult', 'alcohol', 'cocktail', 'drink', 'consummate', 'alcoholism', 'drinking', 'ale', 'cosiness', 'alcoholic', 'drink', 'drink', 'icef', 'drink', 'drink', 'alcohol', 'drinks', 'drinks', 'drink', 'alcoholic', 'proprio', 'drinking', 'drinks', 'consumed', 'drink']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,0,"['silica', 'mol', 'calcium', 'chrysal', 'strat', 'calcium', 'calcarose', 'ashfield', 'sulfium', 'depy', 'squim', 'sediment', 'rib', 'librosis', 'calcium', 'sediment', 'squatting', 'diurde', 'sea', 'sene', 'combustium', 'calcium', 'stone', 'sea', 'seafloor', 'calcium', 'sediment', 'sediment', 'gravel', 'silium', 'crayd', 'sediment', 'ciodymi', 'ice', 'sulma', 'rock', 'dildonite', 'calcium', 'cadmium', 'calcium', 'criss', 'gravel', 'saro', 'sediment', 'calc', 'ice', 'ice', 'calcium', 'acetylene', 'cemented', 'sediment', 'syrene', 'calcium', 'sand', 'rock', 'rib', 'lava', 'rocks', 'precipitate', 'citrus', 'calcium', 'calcium', 'sandstone', 'dio', 'aquifer', 'sedimentary', 'deg', 'ice', 'sediment', 'calcium', 'splint', 'sedimentary', 'sediment', 'crystalladine', 'ephemera', 'rock', 'tetratranite', 'rock', 'stoned', 'rib', 'sediment', 'rock', 'calcium', 'bash', 'calcium', 'toad', 'roch', 'calcium', 'soil', 'sediment', 'delonium', 'recalcitride', 'calcitrine', 'deposits', 'calcium', 'sierra', 'sediment', 'sulfozo', 'morphosis', 'cliffs']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['latashash', 'sorber', 'aluminium', 'ashashash', 'ash', 'ashash', 'alumina', 'beiger', 'ashrash', 'îm', 'liming', 'ashash', 'silicate', 'sash', 'silicate', 'rin', 'clay', 'silicate', 'bt', 'clay', 'alfin', 'sulfide', 'sashash', 'sulfum', 'silicate', 'io', 'asbestos', 'ashmash', 'ashash', 'ashash', 'sashash', 'mollusum', 'aarus', 'ashash', 'silicate', 'silicate', 'ashash', 'rock', 'perronite', 'silicate', 'ash', 'melamol', 'ashash', 'clay', 'amyl', 'silverfish', 'ebony', 'sash', 'decan', 'lanus', 'alkeumium', 'chaff', 'teh', 'sushiite', 'keram', 'bengal', 'ashash', 'mesanite', 'rinash', 'mash', 'kifolate', 'slicket', 'l', 'slurry', 'aluminum', 'aluminium', 'halibut', 'dihedron', 'saloon', 'ashash', 'sol', 'xabeth', 'mold', 'ola', 'ash', 'silicate', 'perch', 'aluminum', 'sold', 'cobalt', 'python', 'sol', 'tar', 'chardust', 'aldehyde', 'ain', 'silicate', 'mud', 'aol', 'talidodi', 'saline', 'silicate', 'steel', 'salin', 'ashash', 'calorid', 'silicate', 'silicate', 'silicate', 'silicate']"
a small pitcher for serving cream,creamer,27,"['pitcher', 'savor', 'pitcher', 'pitcher', 'pitcher', 'jerk', 'icelet', 'puffed', 'slurmRegeln', 'plate', 'potter', 'creampot', 'creamknie', 'brock', 'pitcher', 'bowl', 'roo', 'cream pitcher', 'crumple', 'chip', 'mooler', 'spribble', 'hammie', 'cream', 'pitcher', 'slear', 'creamer', 'pom', 'creamslist', 'moke', 'raked', 'cub', 'popskin', 'pitcher', 'pitcher', 'peak', 'sauce', 'kbit', 'koi', 'creamer', 'pitcher', 'cranny', 'var', 'pitcher', 'pod', 'cacoison', 'scouts', 'snuff', 'potted', 'cream', 'cranberry', 'var', 'creamsbox', 'pitcher', 'cockle', 'pitcher', 'smackoff', 'puffed', 'pitcher', 'pitcher', 'pear', 'pitcher', 'apron', 'pitcher', 'pots', 'pitcher', 'pitcher', 'pop', 'whip', 'bak', 'creams', 'shaver', 'pitcher', 'creamshoe', 'sour', 'creampot', 'frog', 'cran', 'creamerchos', 'pitcher', 'pom', 'tosh', 'tart', 'cing', 'chip', 'smoking', 'lippy', 'sour', 'pitcher', 'pie', 'pins', 'sash', 'afort', 'jigger', 'pitcher', 'plate', 'spoon', 'slicing', 'pitcher', 'pitcher']"
the handwear used by fielders in playing baseball,mitt,0,"['hand', 'handwork', 'handing', 'baseball', 'helmet', 'bibskin', 'duff', 'baseball', 'bathandling', 'jacks', 'baseball', 'batwear', 'kit', 'glove', 'handbag', 'handing', 'handcraft', 'bowled', 'forgo', 'handing', 'baseball', 'handgun', 'pitcher', 'handbag', 'sports', 'tuck', 'blazer', 'baseball', 'pitted', 'kniff', 'handbag', 'pad', 'rake', 'ring', 'handbag', 'baseball', 'handwork', 'basket', 'glove', 'baseball', 'flange', 'handing', 'batman', 'basket', 'battan', 'pocket', 'gloves', 'handpiece', 'handwear', 'baseball', 'baseball', 'handbag', 'basketball', 'glove', 'slopped', 'pitcher', 'hammer', 'bathandle', 'handcrafted', 'hat', 'basketball', 'maniwear', 'handwear', 'glove', 'bathandle', 'baseballstick', 'pass', 'baseball', 'ocken', 'batham', 'batman', 'slew', 'fender', 'handbag', 'handbag', 'batbag', 'handbag', 'handwear', 'flies', 'hooks', 'handle', 'bathand', 'foot', 'hat', 'batarm', 'baseball', 'mendwear', 'shirts', 'handcrafted', 'baseball', 'shoes', 'handbag', 'shoe', 'baseball', 'satins', 'baseball', 'batswear', 'pitcher', 'playwear', 'handhand']"
