Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,0,"['what', 'nothing', 'know', 'because', 'anything', 'they', 'actually', 'never', 'we', 'way', 'not', 'having', 'why', 'really', 'though', 'that', 'think', 'thought', 'things', 'indeed', 'have', 'much', 'come', 'might', 'yet', 'always', 'reason', 'certainly', ""'ve"", 'anyone', 'those', 'only', 'get', 'could', 'thing', 'everything', 'you', 'believe', 'too', 'them', 'simply', 'sure', 'enough', 'done', 'find', 'this', 'perhaps', 'understand', 'all', 'there', 'i', 'need', 'maybe', 'when', 'probably', 'doing', 'want', 'able', 'knowing', 'make', 'everyone', 'same', 'should', 'unfortunately', 'seems', 'sort', 'some', 'coming', 'wanted', 'does', 'would', 'however', 'once', 'one', ""'re"", 'ever', 'better', 'got', 'happened', 'although', 'now', 'few', 'put', 'getting', 'whether', 'cannot', 'meant', 'our', 'take', 'knows', 'more', 'out', 'already', 'hard', ""'d"", 'nobody', 'been', 'neither', 'either', 'like']"
a room in a house or building where people study or work,office,35,"['working', 'what', 'that', 'same', 'now', 'there', 'where', 'they', 'way', 'them', 'the', 'which', 'this', 'more', 'only', 'houses', 'others', 'some', 'in', 'addition', 'done', 'one', 'all', 'those', 'and', 'because', 'many', 'out', 'while', 'not', 'when', 'come', 'need', 'much', 'office', 'own', 'actually', 'we', 'would', 'make', 'than', 'have', 'though', 'put', 'outside', 'example', 'these', 'should', 'years', 'instead', 'few', 'get', 'before', 'fact', 'could', 'doing', 'rooms', 'once', 'taken', 'both', 'take', 'been', 'several', 'find', 'buildings', 'works', 'inside', 'look', 'part', 'least', 'you', 'although', 'already', 'as', 'like', 'why', 'our', 'might', 'nothing', 'living', 'two', 'on', 'most', 'thought', 'today', 'days', 'making', 'without', 'want', 'about', 'know', 'floor', 'to', 'having', 'think', 'taking', 'their', 'looking', 'around', 'found']"
something that does not cost a lot of money,cheap,0,"['much', 'nothing', 'what', 'really', 'anything', 'things', 'think', 'you', 'get', 'because', 'actually', 'know', 'maybe', 'certainly', 'thing', 'everything', 'need', 'way', 'we', 'enough', 'doing', 'too', 'sure', 'come', 'getting', 'want', ""'re"", 'more', 'better', 'make', ""'ve"", 'done', ""'ll"", 'why', 'than', 'everyone', 'fact', 'now', 'probably', 'some', 'whatever', 'might', 'this', 'less', 'does', 'always', 'they', 'anyway', 'that', 'putting', 'mean', 'though', 'reason', 'simply', 'there', 'i', 'same', 'thought', 'look', ""'d"", 'could', 'perhaps', 'sort', 'put', 'amount', 'making', 'pay', 'them', 'anyone', 'paying', 'not', 'got', 'coming', 'take', 'those', 'instead', 'find', 'like', 'obviously', 'would', 'keep', 'needed', 'looking', 'indeed', 'everybody', 'yet', 'definitely', 'nobody', 'should', 'seems', 'big', 'never', 'believe', 'costs', 'few', 'already', 'unfortunately', 'only', 'comes', 'stuff']"
to get or achieve something that you want,obtain,0,"['you', 'we', 'really', 'think', 'anything', 'know', 'sure', 'need', ""'ll"", 'come', 'things', 'what', 'make', 'thing', 'maybe', 'nothing', 'should', 'certainly', 'way', 'able', ""'re"", 'better', 'they', 'not', 'wanted', 'give', 'actually', 'always', 'could', 'i', 'realize', 'would', 'sort', 'might', ""'d"", 'enough', 'does', 'take', 'must', 'everything', 'everyone', 'getting', 'find', 'whatever', ""'ve"", 'done', 'never', 'definitely', 'believe', 'why', 'because', 'look', 'wants', 'trying', 'feel', 'doing', 'happen', 'them', 'let', 'anyone', 'expect', 'much', 'simply', 'understand', 'everybody', 'put', 'try', 'anyway', ""'m"", 'keep', 'obviously', 'wish', 'probably', 'got', 'too', 'thought', 'cannot', 'indeed', 'anybody', 'somebody', 'ought', 'yet', 'mean', 'that', 'reason', 'our', 'needed', 'this', 'someone', 'more', 'help', 'opportunity', 'those', 'wanting', 'coming', 'all', 'very', 'needs', 'like', 'hard']"
the bottom part of the leg on which people walk,foot,0,"['out', 'way', 'off', 'they', 'back', 'rest', 'one', 'only', 'get', 'away', 'take', 'you', 'the', 'this', 'because', 'put', 'them', 'come', 'we', 'place', 'side', 'what', 'right', 'make', 'same', 'which', 'could', 'not', 'want', 'where', 'actually', 'would', 'that', 'coming', 'all', 'turn', 'should', 'in', 'left', 'got', 'around', 'half', 'when', 'taken', 'second', 'those', ""'ll"", 'walking', 'know', 'on', 'again', 'before', 'now', 'really', ""'re"", 'probably', 'through', 'first', 'i', 'to', 'instead', 'then', 'might', 'taking', 'having', 'third', 'into', 'end', 'long', 'something', 'either', 'enough', 'some', 'last', 'there', 'along', 'once', 'without', 'think', 'need', 'went', 'few', 'give', 'while', 'though', 'keep', 'trying', 'more', 'getting', 'whole', 'able', 'like', 'start', 'everyone', 'thing', 'sure', 'too', 'making', 'two', 'nothing']"
something that is a circle but also flat,disc,0,"['that', 'though', 'what', 'because', 'actually', 'this', 'same', 'always', 'which', 'once', 'way', 'they', 'fact', 'although', 'one', 'like', 'much', 'thought', 'instead', 'very', 'turn', 'really', 'not', 'both', 'you', 'only', 'too', 'indeed', 'as', 'now', 'think', 'however', 'nothing', 'might', 'look', 'having', 'things', 'would', 'have', 'quite', 'few', 'come', 'there', 'some', 'simply', 'i', 'is', 'when', 'never', 'part', 'often', 'could', 'make', 'hard', 'we', 'seems', 'the', 'yet', 'example', 'all', 'where', 'has', 'then', 'while', 'sometimes', 'why', 'either', 'most', 'those', 'more', 'thing', 'again', 'everything', 'probably', 'know', 'anything', 'get', 'everyone', 'enough', 'them', 'many', 'back', 'put', 'out', 'does', 'looking', 'sure', 'sort', 'called', 'should', 'and', 'especially', 'find', 'perhaps', ""'d"", 'these', 'almost', 'better', 'take', 'long']"
to decide who someone is or what something is after thinking about it,identify,0,"['think', 'you', 'somebody', 'maybe', 'know', 'anyone', 'anything', 'really', 'what', ""'ll"", 'why', 'things', 'everyone', 'thing', 'actually', 'want', 'might', 'thought', ""'re"", 'anybody', 'sure', 'certainly', ""'d"", 'sort', 'thinks', 'anyway', 'we', 'whatever', 'everybody', 'nothing', 'get', ""'m"", 'come', 'should', 'nobody', 'whether', 'i', 'simply', 'imagine', 'does', 'ought', 'everything', 'happen', 'happens', 'knows', 'always', 'obviously', 'reason', 'doing', 'believe', 'understand', 'way', 'definitely', 'probably', 'guess', 'myself', 'look', 'take', 'wrong', 'knowing', 'because', 'find', 'not', 'need', 'wanted', 'seems', 'could', 'them', 'make', 'let', 'yourself', 'indeed', 'talking', 'they', 'exactly', 'trying', 'looking', 'never', 'feel', 'wants', 'perhaps', ""'ve"", 'would', 'instead', 'person', 'remember', 'too', 'must', 'question', 'consider', 'give', 'done', 'mean', 'able', 'fact', 'wanting', 'knew', 'realize', 'enough', 'better']"
the gesture or gratitude you give after someone does something positive for you,thanks,0,"['anything', 'nothing', 'certainly', 'really', 'what', 'think', 'sort', 'you', 'everyone', 'actually', 'want', 'things', 'way', 'giving', 'always', 'know', 'thing', 'indeed', 'come', 'we', 'thought', 'get', 'might', 'anyone', 'feel', 'should', 'maybe', 'whatever', 'not', 'make', 'take', 'simply', 'wish', 'does', 'sense', 'reason', 'i', 'fact', 'need', 'somebody', 'sure', 'moment', 'that', 'wanted', 'them', ""'ll"", 'obviously', 'perhaps', 'much', 'opportunity', 'because', 'would', 'enough', 'why', 'believe', 'doing', 'everybody', 'knowing', 'seems', ""'d"", 'respect', 'yet', 'saying', 'definitely', 'never', 'feeling', 'done', 'mean', 'could', 'understand', 'this', 'meant', 'let', 'everything', 'very', 'look', 'they', 'find', 'better', 'put', 'truly', 'anybody', 'surely', ""'re"", ""'m"", 'same', 'ought', 'got', 'asking', 'wants', 'though', 'person', 'able', 'clearly', 'promise', 'only', 'merely', 'gives', 'message', 'hardly']"
pieces of information that are true,facts,52,"['what', 'these', 'piece', 'indeed', 'fact', 'example', 'find', 'that', 'yet', 'not', 'those', 'all', 'some', 'something', 'you', 'material', 'make', 'actually', 'everything', 'know', 'only', 'more', 'instance', 'they', 'knowledge', 'such', 'simply', 'perhaps', 'them', 'different', 'we', 'there', 'things', 'important', 'anything', 'evidence', 'one', 'sort', 'might', 'because', 'this', 'provide', 'useful', 'very', 'own', 'nothing', 'whatever', 'must', 'few', 'though', 'same', 'facts', 'need', 'why', 'always', 'documents', 'particular', 'certain', 'whether', 'much', 'reveal', 'come', 'way', 'most', 'available', 'actual', 'many', 'provided', 'enough', 'look', 'either', 'interesting', 'possible', 'sure', 'prove', 'able', 'should', 'cannot', 'which', 'purpose', 'making', 'have', 'about', 'could', 'although', 'specific', 'without', 'believe', 'really', 'individual', 'exactly', 'however', 'using', 'details', 'thought', 'done', 'and', 'think', 'want', 'anyone']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,0,"['take', 'way', 'you', 'get', 'come', 'this', ""'ll"", 'what', 'put', 'we', 'out', 'something', 'back', 'coming', 'want', 'same', 'sure', 'should', 'everyone', 'does', 'because', 'make', 'taking', 'comes', 'turn', 'things', 'actually', 'them', 'think', 'to', 'again', 'really', 'before', 'would', 'thing', 'give', 'everything', 'nothing', 'know', 'now', 'then', 'must', 'someone', 'when', 'only', 'every', 'instead', 'better', 'need', 'not', 'could', 'one', 'always', 'maybe', 'that', 'whatever', 'anything', 'wants', 'start', 'they', 'keep', 'i', 'there', 'all', 'rest', 'anyone', 'probably', 'done', 'stop', 'might', ""'re"", 'taken', 'away', 'certainly', 'got', 'let', 'much', 'once', 'find', 'simply', 'getting', 'off', 'everybody', 'happens', 'trying', 'try', 'move', 'wanted', 'right', 'able', 'meant', 'happen', 'never', 'sort', 'which', 'either', 'anyway', 'doing', 'enough', 'where']"
