Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['deceit', 'dishonesty', 'skills', 'salesmanship', 'cunning', 'mastery', 'craftiness', 'subterfuge', 'marking', 'cunningness', 'adroitness', 'trickery', 'duplicity', 'skillful', 'gamesmanship', 'opportunism', 'finesse', 'astuteness', 'deceptions', 'fearlessness', 'deftness', 'concealment', 'guile', 'teamwork', 'expertness', 'decisiveness', 'aptitude', 'insincerity', 'ruthlessness', 'misdirection', 'Skill', 'incompetence', 'canniness', 'imaginativeness', 'sneakiness', 'skillfulness', 'shrewdness', 'obfuscation', 'smarts', 'boneheadedness', 'mendacity', 'intrepidness', 'ineptness', 'typified', 'subtlety', 'treachery', 'dexterity', 'remorselessness', 'fluency', 'deviousness', 'deceptiveness', 'untrustworthiness', 'gratuitousness', 'assiduousness', 'deft', 'proficiency', 'arrogance', 'slyness', 'extremeness', 'sophistication', 'deceitfulness', 'unscrupulousness', 'artistry', 'recklessness', 'dissimulation', 'underhandedness', 'compulsiveness', 'deliberate', 'tenacity', 'solitariness', 'signifies', 'betrayal', 'artifice', 'wiliness', 'cowardice', 'prestidigitation', 'pugnaciousness', 'abilities', 'symbolized', 'agreeability', 'brilliance', 'artlessness', 'witlessness', 'doggedness', 'boldness', 'wholeheartedness', 'gutlessness', 'surefootedness', 'ineptitude', 'agility', 'ambitiousness', 'aforethought', 'bullheadedness', 'perceptiveness', 'aggressiveness', 'adeptness', 'chicanery', 'indomitability', 'blatant', 'legerdemain']"
showing great reverence for god,worshipful,0,"['marvelous', 'wonderful', 'reverenced', 'incredible', 'awesome', 'amazing', 'humility', 'tremendous', 'proudness', 'God', 'greatness', 'magnificent', 'goodness', 'fantastic', 'braveness', 'reveres', 'terrific', 'nobleness', 'devotion', 'wholeheartedness', 'humbleness', 'phenomenal', 'unfading', 'unquestionable', 'revering', 'blessed', 'immense', 'affection', 'admiration', 'spryness', 'miraculousness', 'cripe', 'lowliness', 'dutifulness', 'admire', 'Wordsworthian', 'adoration', 'wondrous', 'unbelievable', 'shewed', 'glorious', 'sacred', 'pureness', 'wondrousness', 'supernal', 'loved', 'godlike', 'groundedness', 'minuteness', 'greatest', 'simpleness', 'adulate', 'plainspokenness', 'gratuitousness', 'really', 'shame', 'magnificence', 'measureless', 'pity', 'dieties', 'everlasting', 'Lupercus', 'truest', 'compassion', 'righteous', 'overcomer', 'meekness', 'outsiderness', 'veneration', 'kindliness', 'enkindled', 'genuflects', 'godly', 'prayerfulness', 'irrepressibility', 'limitlessness', 'benignity', 'epitomes', 'transcendent', 'revered', 'agreat', 'incarnate', 'splendid', 'kindheartedness', 'blessedness', 'devoutness', 'comeliness', 'courageousness', 'undeniable', 'stupendous', 'profoundest', 'lovability', 'forgiver', 'worshiped', 'deistic', 'respect', 'respectfulness', 'lovingkindness', 'undying', 'tirelessness']"
an association of criminals,mob,0,"['associations', 'murderers', 'gangsters', 'lawbreakers', 'offenders', 'crime', 'thieves', 'rapists', 'perpetrators', 'gangs', 'syndicates', 'abusers', 'delinquents', 'racketeers', 'wrongdoers', 'mafiosi', 'crimes', 'felons', 'convicts', 'violators', 'federation', 'housebreakers', 'terrorists', 'defilers', 'mafias', 'violaters', 'recidivists', 'hooligans', 'troublemakers', 'thugs', 'hoodlums', 'killers', 'criminality', 'gang', 'defaulters', 'abiders', 'coddlers', 'rogues', 'organization', 'vagrants', 'gangsterism', 'vigilante', 'gangster', 'criminal', 'trespassers', 'jailbirds', 'defrauders', 'burglars', 'absconders', 'freeloaders', 'pedlars', 'traffickers', 'informers', 'vigilantes', 'bandits', 'defacers', 'extortionists', 'dealers', 'druggies', 'lumpens', 'embezzlers', 'thug', 'pickpockets', 'fugitives', 'businessmen', 'swindlers', 'outlaws', 'poachers', 'cheaters', 'slumlords', 'bootleggers', 'Assn', 'perpetuators', 'robbers', 'taximen', 'inciters', 'culprits', 'unscrupulous', 'rapist', 'outcastes', 'forgers', 'deviants', 'kingpins', 'accomplices', 'psychopaths', 'Mafioso', 'victimize', 'miscreants', 'miscreant', 'murderer', 'extortioners', 'plunderers', 'mobsters', 'illegal', 'realtors', 'scoundrels', 'poisoners', 'lynchers', 'parolees', 'offender']"
capable of being perceived especially by sight or hearing,perceivable,0,"['particularly', 'perceive', 'accustomed', 'certainly', 'obviously', 'seeing', 'really', 'genuinely', 'very', 'clearly', 'considered', 'frankly', 'fearful', 'think', 'truly', 'understandably', 'indeed', 'unaccustomed', 'perception', 'terribly', 'quite', 'undeniably', 'unpleasing', 'always', 'feel', 'perhaps', 'uncomforting', 'overcritical', 'too', ""'re"", 'sympathic', 'obvious', 'regarded', 'incapable', 'because', 'misconceive', 'feeling', 'unquestionably', 'concerned', 'wary', 'definitely', 'justifiably', 'suspectible', 'nowadays', 'worry', 'unsureness', 'realize', 'cognizant', 'know', 'awfully', 'feeing', 'sometimes', 'probably', 'acutely', 'hardly', 'unrelatable', 'perceives', 'mannerable', 'undoubtedly', 'there', 'perceiving', 'equally', 'comfortableness', 'worried', 'regard', 'something', 'doubly', 'imagine', 'discomfits', 'sense', 'surely', 'such', 'not', 'afraid', 'overweigh', 'actually', 'viewed', 'downright', 'petrifies', 'disconcerts', 'confoundedly', 'like', 'maladapted', 'overawing', 'blatancy', 'thing', 'hear', 'everywhere', 'killingly', 'increasingly', 'thought', 'magnified', 'glary', 'extremely', 'unstrategic', 'overreactive', 'possibly', 'impatient', 'tired', 'complain']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['crops', 'sorghums', 'rapeseeds', 'bromegrass', 'leguminous', 'cottonseeds', 'seeds', 'broadleaves', 'ensiled', 'halophyte', 'vetch', 'wireworms', 'rabbiteye', 'ryegrasses', 'resprout', 'highbush', 'chinkapin', 'cultivation', 'herbage', 'vegetatively', 'soilless', 'velvetleaf', 'intercrop', 'cowpeas', 'budworms', 'smartweed', 'forbs', 'Fragaria', 'sapodilla', 'muskmelons', 'webworm', 'overwintered', 'lablab', 'harvested', 'droughty', 'seedlings', 'pollinations', 'pigweeds', 'cowpea', 'intercropped', 'lygus', 'forb', 'bulbils', 'fleabane', 'polyculture', 'sawfly', 'brassicas', 'rhizomatous', 'unhulled', 'irrigated', 'Asclepias', 'unirrigated', 'drupes', 'ungrazed', 'Salicornia', 'wheats', 'fallows', 'greenbugs', 'goosegrass', 'nutlets', 'grower', 'charlock', 'tillering', 'drupe', 'centners', 'alfalfa', 'forages', 'postharvest', 'legume', 'horseweed', 'cotyledon', 'cyanogenic', 'webworms', 'witchweed', 'agronomical', 'leafhoppers', 'groundsel', 'Ascochyta', 'seedling', 'pennycress', 'bollworms', 'teosinte', 'triticale', 'Guayule', 'reseeds', 'varieties', 'Prunus', 'orcharding', 'mycorrhizae', 'cucurbits', 'unfarmed', 'pigweed', 'trifoliate', 'agronomically', 'bunchberry', 'soybean', 'bollworm', 'saltbush', 'pokeweed', 'unsprayed']"
consumption of alcoholic drinks,intemperance,0,"['drink', 'drinker', 'beverages', 'drinking', 'uncarbonated', 'drinkers', 'beverage', 'alcohol', 'drank', 'noncaloric', 'nonalcohol', 'soda', 'spirituous', 'guzzling', 'bingeing', 'caffeine', 'inebriating', 'toddies', 'consumed', 'absinth', 'vodka', 'kvass', 'drunk', 'nondrinking', 'imbibing', 'consume', 'cokes', 'tippling', 'glugging', 'consumptions', 'nonalcoholic', 'noncarbonated', 'binging', 'glassful', 'sambucas', 'tipples', 'libations', 'sodas', 'meths', 'orangeade', 'liquors', 'carbonated', 'vodkas', 'tipple', 'nondrinker', 'cocktails', 'boozing', 'snacks', 'gimlets', 'raki', 'pulque', 'overdrink', 'imbibers', 'overconsumption', 'alcoholics', 'imbiber', 'aguardiente', 'cuppas', 'overeaten', 'manhattans', 'overdrinking', 'mixable', 'whiskey', 'teetotalers', 'overconsume', 'teetotal', 'sugarless', 'nondrinkers', 'mixability', 'unsweetened', 'quaffs', 'pints', 'overconsuming', 'guzzle', 'alcoholically', 'unbottled', 'alcoholism', 'skinful', 'slivovitz', 'sangrias', 'teetotaler', 'guzzled', 'pint', 'overindulging', 'slushes', 'maltier', 'martinis', 'lagers', 'bottles', 'highballs', 'overeaters', 'boozes', 'overeater', 'glugs']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,0,"['lacustrine', 'claystone', 'phyllosilicate', 'calcareous', 'halite', 'evaporite', 'lepidolite', 'uncompacted', 'lateritic', 'chemosynthetic', 'peridotitic', 'cherts', 'ostracods', 'colluvial', 'detrital', 'diabase', 'olivines', 'saprolitic', 'outwash', 'sulphidic', 'clastic', 'anorthosite', 'chrysocolla', 'schistose', 'siderite', 'tuffaceous', 'pelitic', 'hornblende', 'sediments', 'siliceous', 'karstic', 'forams', 'greywacke', 'latite', 'interbedded', 'andesitic', 'gabbroic', 'pyroxene', 'bryozoan', 'epidote', 'calcic', 'microfossil', 'bryozoans', 'clasts', 'subhorizontal', 'mudstone', 'eluvial', 'chloritic', 'lapilli', 'turbidite', 'enargite', 'monazite', 'oligotrophic', 'ferruginous', 'flatfishes', 'micaceous', 'argentiferous', 'dolomitic', 'planktonic', 'concretions', 'argillaceous', 'chondritic', 'serpentinized', 'xenoliths', 'solutes', 'alkalic', 'amphibolite', 'conglomeratic', 'pyrophyllite', 'albitite', 'arenite', 'anhydrite', 'proteinaceous', 'kaolinite', 'unweathered', 'basaltic', 'eclogite', 'paragneiss', 'hyraxes', 'hematitic', 'gneissic', 'pyrope', 'carbonate', 'surficial', 'stromatolite', 'fluorapatite', 'montmorillonite', 'gabbros', 'pegmatitic', 'allanite', 'fibrillar', 'basalt', 'dolomite', 'jarosite', 'spheroidal', 'coralline', 'magmatism', 'gangue', 'apatite', 'crinoids']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['silica', 'silicates', 'aluminosilicate', 'claylike', 'basaltic', 'anhydrite', 'claystone', 'basalt', 'calcite', 'phyllosilicate', 'montmorillonite', 'lapilli', 'alkali', 'carbides', 'carbonaceous', 'calcareous', 'halite', 'recrystallized', 'feldspar', 'hydroxides', 'agglomerates', 'zeolites', 'lavas', 'kaolinite', 'hygroscopic', 'anorthosite', 'circumstellar', 'pearlite', 'scoria', 'dihydrogen', 'lateritic', 'ferritic', 'pumice', 'aerogels', 'glasslike', 'aluminous', 'noncorrosive', 'thermosetting', 'pyroxene', 'spheroidal', 'aragonite', 'granulate', 'gypsum', 'schistose', 'intermetallic', 'clayey', 'olivine', 'wettability', 'plagioclase', 'hydrous', 'outgas', 'dichromate', 'mylonite', 'crystallites', 'hornblende', 'microcrystalline', 'fluorapatite', 'graphite', 'smectite', 'halloysite', 'mica', 'cordierite', 'corundum', 'immiscible', 'sulphidic', 'concretions', 'wettable', 'resin', 'andesitic', 'martensite', 'limestone', 'greywacke', 'hydroxide', 'unmelted', 'uncompacted', 'nacre', 'nonmagnetic', 'calcic', 'asphalts', 'kyanite', 'siliceous', 'spinel', 'chloritic', 'oxidises', 'nonconductive', 'magmas', 'corrugation', 'auxetic', 'chrysocolla', 'micaceous', 'silcrete', 'chondrules', 'steatite', 'hydrothermally', 'lamellae', 'pyroclastic', 'cyclohexane', 'extrusive', 'quartz', 'colluvial']"
a small pitcher for serving cream,creamer,0,"['pitchers', 'gingerroot', 'bundt', 'sauceless', 'palmful', 'yeasted', 'piecrusts', 'creamy', 'pimiento', 'sauceboat']"
the handwear used by fielders in playing baseball,mitt,0,"['ballplayers', 'played', 'outfield', 'play', 'bunters', 'players', 'outfields', 'ballplayer', 'softball', 'game', 'leagues', 'pitchers', 'sandlot', 'catcher', 'umped', 'batting', 'outfielders', 'football', 'shortstop', 'bats', 'infields', 'batboys', 'sandlots', 'infielders', 'leaguers', 'moundsmen', 'league', 'stickball', 'games', 'overswing', 'basketball', 'fielder', 'pitching', 'baseballs', 'umpires', 'coaches', 'outfielder', 'bowling', 'outfielding', 'overswinging', 'basemen', 'ballhawks', 'hitters', 'ballparks', 'infielder', 'coached', 'overmatches', 'ballgames', 'baseman', 'tennis', 'balls', 'soccer', 'leaguer', 'shortstops', 'pitchouts', 'scrimmaged', 'postseason', 'candlepin', 'hockey', 'scrimmages', 'umpiring', 'batted', 'reffed', 'fungo', 'doubleheaders', 'semiprofessionally', 'sluggers', 'overmatching']"
