Description,Solution,Prediction rank,Predictions
marked by foolish or unreasoning fondness,infatuated,0,"['or unprincipled sentiment.', 'or recklessness or by recklessness (sic)', 'or lust. 2. or affection.', 'of someone else for that man or woman.', 'or eagerness for goods or services with things unworthy.', 'or devotion. the sense of or love.', '. A kind and selfish or impatient affection.', 'or affection for another object, especially in love or by.', 'or affection. Marked by foolish or unreasoning.', 'or joy. Fancy:.', 'or enthusiasm...a kind of or enthusiasm... marked onness or.', 'or affection for friends or relatives.', 'or passion. 2 or affection. 3. Bad qualities orness or.', 'or affection. or affection.', 'or prudence', '. of things, actions or people.', 'or enthusiasm.', ', love or affection, enthusiasm or lovelessness', 'or passion for something. 4. for something.', 'or love for a person and/or things', 'or foolishness. a or affection for.', 'or attachment (sic) or by.', ', as, for example.', 'or joy, is love', '. love is the desire for pleasure. for love.', 'in any of its forms or degrees of affection. This tendency is commonly.', 'with another or a loved one..', ', too often involving feelings of love or lust.', 'or amorousness.', 'for the world around them. -.', 'or affection; passion madness.', '. Foolish or unreasonable fondness.', 'or foolishness. This is often so.', 'or affection of nature or people.', 'or sentimentality. [a] Mark marked by foolish or or appetite', 'or hatred for or tenderness.', 'or enthusiasm. or enthusiasm.', 'ness or affection.', 'or affection for something or someone.', 'or fondness of others or for themselves. It is.', 'or devotion or the like.', ', greed or pleasure.', 's and vices.', 'or enthusiasm (of anything); or enthusiasm.', 'or affection or affection or affection.', 'in all circumstances or in any way; love or affection marked by', 'or affectionate enthusiasm. -.', 'or pleasure. This is the spirit of foolishness or unreasonable love.', 'or affection; foolishness; or foolishness; passion.', 'or zeal of pleasure.', '.. marked by false or foolish fondness.', 'or care for others simply marked by foolishness or', 'or enthusiasm? A feeling of affection or attachment?', 'but sometimes by blind devotion or...', 'or fondness or fondness in general, particularly thoseness or.', 'or carelessness. d. love. 2.', '. 2. for others. 4. a love filled or inappropriate affection', 'or affections or by foolishness.', 'or longing, as shown. [a] It is.', '. It may be marked by reckless.', 'for a person or thing for money.', 'or lust. (as in).', 'or pride. love is often marked by foolishness or.', '. 3. a false or stupid affection...', 'or affection. Ignorance or vanity. for others.', 'of foolishness or uncharacteristic passion.', ', or recklessness of.', 'or carelessness. (See) A feeling of favoritism or affection (', 'or passion, etc., or by.', ', or sentimentalism or enthusiasm but often by mistake, pride or.', 'or sentimentality', 'or admiration of another,; enthusiasm;ness of.', 'or affection. A.', 'or indecision.', 'or love for someone or something or enthusiasm', 'or affection for someone else or sympathy.', 'or affection for a subject purely emotional or philosophical.', 'or affection of another man,/fun?', 'or care for something or care for something.', 'or affection for a person or lust.', ', lust, or lust,.', 'or obsession with objects or persons. love or devotion.', 'or enjoyment, the love of anything or affection.', 'for objects of such affection as food and drink.', 'or affection for someone or something.', '. Poppy can be marked by foolish or unreasonable fondness.', 'or appetite, or hunger.', 'foolish or unreasonable love... affection!', ', or impatience with others. Marked by.', 'or an unrisible affection. foolish or unreasoning affection', 'or devotion.', 'of one who has such a mate', 'and love or affection foolishness or unreasoning fondness.', '- apt or dangerous. •.', ', by carelessness or enthusiasm of sentiment or ideas.', 'or passion or by immature optimism or enthusiasm!', 'or eagerness or eagerness', 'or sentimentalism.', 'or foolishness. or lust.', 'or irresponsibility..']"
a conceptual whole made up of complicated and related parts,composite,0,"['that are interrelated.', 'that may interact and work together.', 'is still an evolving whole.', '. it is.', ', or parts.', 'that comprise a whole.', ') and functions.', 'that are often grouped together.', '. The whole is complicated.', 'that have numerous components within it.', '; it is a whole.', 'and the part it represents.', ', arranged in blocks.', '; it is complex.', 'and parts that can vary.', ', the “whole”""', ', it seems that.', ', called parts. A.', ', all together and connected.', ', like life.', 'is a whole.', '. To understand the world, understand the parts.', 'in an abstract construction process.', 'and relationships that interact.', 'and components.', 'and pieces.', '. A vast concept is everything.', 'which may overlap, or even contradict.', 'and interacting parts.', ') to build a whole.', 'that make it up.', '. It is complex and related.', '. Concept wholes is complex.', 'that need to fit together.', 'forming an abstract whole.', 'that are interdependent.', ', or ideas.""', 'which are in themselves complex.', 'linked back to the centre.', 'that come together into one whole.', '. They are interconnected and dynamic.', '. They are also interconnected or parts.', 'composing an interesting whole.', '. The whole being is also also.', ', and therefore incomplete.', '. A world is whole in concept.', '- to what we are.', 'that cannot be separated.', 'and components.', 'to be recognized as such.', 'and structures.', '(such as individuals and organizations).', '. This concept is unique.', ', not arbitrary parts.', 'of the same puzzle.""', ', and in parts.', '. A complete experience is not an object.', ', connected by a relationship.', ', the entire concept.', '.” “In theory everything is connected”.', 'of the whole.', '. A whole is like that!', 'of the bigger whole.', 'that are linked by relationships.', 'and sub-components.', 'and sub-parts.', ', often linked to one another.', 'or components.', '. The whole is complex.', 'that cannot be separated.', '. You are part of it.', '. A unified whole means ‘being all’ in this.', 'that wichtig and important.', 'and pieces.""', 'that connect to form unity.', 'that never come together completely.', '. This concept is such.', 'that reify itself.', '(sometimes multiple parts).', 'of a puzzle.', 'into a larger whole.', '. The world is divided.', ', and often it is.', '. But what is another part?', ') as a whole.', '. All parts have similarities.', 'that interlock.', 'that often overlap one another.', ', is a unity.', 'whose effects are known.', '. The whole is complex.', '. A concept is nothing new.', 'and components.', 'but a whole.', 'for many many things.', '. A conceptual whole is complex.', '. Often these parts are the.', 'of something far larger, or.', '. The whole is not.', 'that go together.']"
sensitivity to the action of radiant energy,radiosensitivity,0,"['.', '.', '..', '.', '.', '.', '. Increased immune system function.', 'in ones life.', '.', '. Feel the warmth and.', 'and light.', 'when awake.', '. Increased body/mind', '. 3. Increase your.', '.', 'and psychic touch.', '. Physical & emotional.', '.', '. 3) Higher levels of.', 'and its presence.', 'with our bodies.', '.', '. 4. More immediate.', 'flows.', 'within yourself.', '.', '. Awareness.', 'and physical touch.', '.', '.', '!', '.', 'is so powerful.', '.', '.', '. Inner.', '.', '.', '. Authentic experience.', 'is called.', '.', '.', '. 4).', '.', '(R.E).', 'and consciousness.', '!', '.', 'within the animal.', '.', '!!', ').', '.', 'in your life.', '& light sources.', '. The heart opens to more profound.', '.', '.', '. 8. Notice.', '.', '.', 'to other forms of healing energy.', '. 3. Being into.', '. • A.', '.', 'in the body.', '.', '. Awareness to radiant energy,.', 'to the body.', 'through the body.', '.', '. 2. To be mindful of radiant energy.', 'and the universal universal awareness.', '.', 'and the energetic earth.', '.', ').....', '.', '.  "".', '.', 'in our lives.', 'and physical forces.', '.', 'on the body.', '.', ', and this increases their.', 'is an inherent.', 'vibrations.', '.', '.', '.', ', and to this.', '.', '.', 'from your heart.', 'throughout our body.', 'in your life.', '. Divine sensitivity:.', '. Awareness through direct observation of.', '.']"
an accumulation of refuse and discarded matter,scrapheap,0,"['.', 'called solid waste.', '.', '.', '.', 'of household garbage.', '.', 'of general nature.', ', garbage and rubbish.', '.', 'for long periods.', 'by itself.', '.', '. This is rubbish.', 'and dust.', 'in a garden.', 's.', '.', '.', 'of human waste.', ', such as newspaper.', '? Read more here.', '.', '.', '.', ', as a waste.', '.', 'in our homes.', 'at an address.', ', it is primarily.', ', litters etc.', 'in the surroundings.', '.', '.', '.', '. It is regarded as trash.', ', like rubble.', '.', '.', '.', '.', '.', 'in the landfill.', 'throughout the building.', '.', '.', '.', '. Done waste and discarded.', 'within an area.', 'and refuse.', ') over time.', '..', 'on the sites.', '.', 'in a landfill area.', '.', ', such as waste.', '.', '; an accumulation.', 'will result in landfills.', '.', '.', '.', '.', 'which has reached landfill.', '.', '.', 'by the owner or tenant.', '.', '.', 'found at different offices.', 'that has become redundant.', 'and trash.', '.” Those words are boring.', '.', '""', 'by the owners.', 'found out.', 's.', '.', '.', '.', '.', '.', 'and garbage.', '.', '.', '.', '. This accumulation leads to pollution.', 'on the ground.', '.', '.', '.', 'of discarded.', 'left unidentified.', 'which needs to be cleared.', '.. Disposible matter!', '.', '.', ', trash and waste.']"
a streamlined train,streamliner,0,"['', '.', 'schedule.', '.', 'system.', '.', 'system.', '.', '!', 'route.', 'system!', '.', 'system.', 'design.', 'experience.', '!', 'system.', 'corridor.', 'design.', 'system.', '.', '.', '.', '.', 'network.', '.', 'system.', '.', 'system', 'operation.', 'operation.', '.', 'system.', 'system.', 'line', 'traffic.', 'design.', 'service.', '!', 'layout.', '.', 'system""', '!', '!', '.', 'system.', 'system.', 'system.', 'journey.', 'system.', 'program.', 'system.', '.', 'station.', 'system.', 'network.', 'system.', 'system"".', 'company.', '.', 'operations.', '.', '.', 'service.', 'network.', 'system.', 'network.', 'platform.', 'structure.', 'system.', 'system.', '.', 'system.', '!', 'system.', '.""', 'system.', '.', '.', 'system.', 'system.', 'service.', '.', '.', 'system.', 'service.', 'system.', '.', 'program).', 'to Mumbai.', '.', '.', 'network.', 'system.', '.', 'system.', '.', '.', '.', 'network.']"
of or relating to or derived from humus,humic,0,"[', or oil or petroleum products.', 'cuckoo.', ', an earth element.', '. Humus.', 'and humus matter.', 'and the stomach.', '(plant or animal).', ', mucus and bone.', '. We are living on the surface of.', ', including humus cells.', 'and vascularization.', ', or humus.', '', 'of soil or rock.', 'and humus derived materials.', '..', ', as well as.', '). Soil organic matter.', 'and the use thereof.', 'or humus matter.', '. Humous.', ', or both.', 'humus', 'that is in animals.', ', or both.', '. Affinity.', 'or humus products.', 'and soil nutrients.', 'or fluid, including water.', '(human body).', ', the soil of.', 'or medusa.', ', also called compost.', 'and humus culture.', ', humus.', '(or) protein.', 'material or culture.', 'and rhizomes.', 'or humus matter.', '. See Humus.', ', slurry or waste.', 'and or minerals derived therefrom.', '– humus.', ', humus.', ', humus.', 'or mush.', '(mucilage)', '; and a.', ', or other components thereof.', 'of or forming plant cells.', 'and/or bacteria.', ', or humus products.', ', soil; soil; soil.', 'or any other related matter.', '. See Humus.', '? Humus?', '/humus products.', 'and plant matter.', 'and other humus.', 'and humus.', 'and related proteins.', ', humus.', 'and/or moisture.', 'and other materials.', 'in a plant.', ', or both.', 'or humus related substances.', '""""""""', 'or its contents.', '..', '. Humus and soil.', '(s)', ', or both.', 'or humus.', ', etc..', 'or other minerals derived from.', ', or the soil.', 'derived from plant material.', '.', '(the material).', ', mucus.', ', or its production.', 'on earth and water.', '(stem)', '. r.', ', pus or moisture.', 'and or the earth.', ', or microbial matter.', ', is discussed hereafter.', '-rich soils.', ', the human body!', 'or its preparations.', '', '. H. S.', '; or its presence.', 'and lipids.', 'derived from earth.', 'and water.', 'in other plant species.', 'and humus material.']"
in a feverish manner,feverishly,0,"['.', '.', '.', '.', '.', '!""', '.', '...""', '!', '.', '.', '.', '.', '”.', '.""', '.', '.', '.', '.""', '.', '.', '.', '!', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '""', '.', '.', '.', '.', '.', '.', '.', '!', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.""', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.""', '.', '.', '.', '.', '.', '.', '.', '.', '.', '?', '.', '.', '.""', '.', '.', '.""', '.', '.', '.', '.', '.', '.', '.', '', '.', '.', '.', '.']"
a pocket - size case for holding papers and paper money,pocketbook,0,"['- holder.', 'to bring around with you. The inside. Also included.', 'holder.', 'and has another.', 'holder. With.', ', and it comes with.', 'or coins. Also comes with.', '- sized envelope..', 'pouch and credit card.', '- size card inside.', 'in place. This holder is.', 'in in a wallet - size compartment. plus.', 'pocket with slip. -.', 'holder and pencil.', '- size inside. Includes:.', '- size. comes with.', 'in their pocket. Includes.', '. A hard shell wallet. Each bag comes.', '. Inside the case is.', 'in the back pocket.', 'with a flap and.', '- size key fob. And.', '. Also included are keys in.', '. It also includes a flap.', 'pouch for holding coins. Includes.', 'for easy identification.', 'holder as a side cover for carrying. contains.', '- size case. -.', 'size envelope inside the outside pocket. Includes. Also.', 'in a pocket. With.', 'as well as books or magazines. comes.', 'and documents. Also comes with.', 'and receipt card. Includes.', 'purse in it, and.', 'case for holding newspapers.', 'and paper money in.', 'in and a large wallet.', 'pocket. The set also has.', '- size case. •.', 'and ID..', 'and some business cards. Has.', '- sized case. There is also and.', ', and an outer case. and.', 'and paper clips.', '- sized case,.', '- in case. Also is features and ID. Includes.', '- storage inside. Also comes with.', 'in style. Includes.', 'from your day. It has.', 'for saving. Features and cash.', 'and a pencil - size purse....', 'into an attractive case. and. and.', 'holder inside.', '- size case also. to. It has.', '- and documents - in. It has.', 'to the bag..', '. Carry everything in. Includes and?', 'in the case is provided. •.', ', and keys.', '; and -.', 'and a wallet. Has an and.', 'into the plastic case. Easy assembly.', ', and other materials. It includes.', 'pocket on the outside. Includes. Includes.', '. And the case has.', '- tank inside. with.', 'or money on it.', 'and keys in place. This is.', 'or passport. Comes with.', '- style case.', '& receipts. in and holding.', 'clip and two keys.', '- size compartment and.', 'pocket for holding cards.', 'holder. •.', 'pouch and slip pocket. Also includes.', 'or coins, and.', '. A compact design made of plastic. •.', '- slicing pocket.', 'for the whole family. But the and.', 'holder.', 'for each child. It has and.', 'in a separate pocket for storage.. This.', '- size file. •.', '- size book. Also includes.', 'in their hand. Includes with key or wallet. Includes.', '- size case.', 'and credit card. Includes.', 'clip for identification. The.', '- sized case. Plus.', 'in its purse - size case. Paper money.', '. A very useful feature.', '- size purse.', '- sized envelope in..', 'holder and pen.', 'purse, and key - holder. In.', '. Contains a.', '- size wallet. Includes and.', 'holder.', '. The case comes with.']"
concern for your own interests and welfare,egocentrism,0,"['and family welfare.', '? :).', '.', 'and well-being.', 'and happiness.', 'and your fellow man.', 'in others.', 'in this community!', 'and needs.', 'are not your own.', '.', '.', 'and welfare.', '.', 'and personal fulfillment.', 'and welfare.', '? Care and concern?', 'and those of others.', 'and needs.', '.', '.', 'with others.', '.', '.', '? Care?', 'in others.', '? I know you do.', 's.', '.', '.', '. Respect my opinions.', 'and welfare"".', 'as you see fit.', 'with others.', 'and your own family concerns.', '.', '”.', 'and welfare.', 'is greatest.', '.', 'and personal safety.', '.', 'and welfare of others.', 'and satisfaction.', 'and freedom to communicate.', 'and welfare.', '.', '??', 'and welfare.', '.', '? Please write!', '.', ', health and safety.', 'in life!', 'and your own comfort.', ', your own best interests.', '.', 'and for others, too.', '.', 'and happiness.', 'in your fellow members.', 'and welfare.', '!', '.', '.', 'in others.', 'in others.', 'and concerns.', '. 3. Love others.', 'and that of others.', '.', '.', 'alone.', 'are extremely important.', 'to others?', '.', '). Carefulness?', '? In what?', '.', '(money) and friendship.', '.', 'in others.', 'in others’ welfare.', 'and the world around you.', '. Your loyalty and concern.', 'and personal rights.', '! ).', '.', '!', 'and welfare.', '?', '.', 'to others.', 'at heart.', 'in others?', 'with your family.', 'with everyone around you.', '. I hope this will change.', '.', 'and happiness.']"
still in doubt,unsettled,0,"['.', '.', '?', '.', '?', '?', '?', '.', 'ful.', '"".', '.', 's.', '.', '?', '.', '.', '.', '.', '', '?', 'about?', '.', '.', '', '?', '.', '.', '.', '.', '!?', '?.', '"".', '', '.', '.', '?', ').', '.', 'ful day.', '.""', 'is over?', '.', '!', '.', 'about.', '?', '.', 'OO.', ').', '.', '.', '.', '.', 'here).', 'ful!', 'this?', '?', 'of everything.', '.', '.', '?', 'more.', '.', '.', 's.', '.', '.', 's.', '.', '', '.', '.', '?', '?', '!', '.', '.', '', '.', '?', '.', '.', '.', 'e.', '.', '?', '.', '.', '.', '.', 'lish?', '.', '!', ').', '.', '.', '.', '!', 's.', '?']"
