Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['virulent', 'sceptical', 'idiocynical', 'trickier', 'deceptionist', 'trickstery', 'enigmatic', 'gleamed', 'deceptionism', 'arachnotic', 'witless', 'lucid', 'gleaming', 'gleeful', 'arachnistic', 'idiocynic', 'idiocynistic', 'shrewd', 'cockney', 'deceptiveness', 'acrinological', 'deceptive', 'lucidity', 'affable', 'utterly deceptive', 'arachnitic', 'idiocynic', 'lustlustrous', 'idiocynetic', 'idiocynotic', 'arachnipic', 'snitching', 'trickery', 'arachnical', 'sceptic', 'gleesome', 'arachnial', 'acrid', 'arachnetic', 'arachnological', 'lusty', 'flunking', 'idiocynmic', 'trickster', 'utterly treacherous', 'potentiate', 'lustrous', 'sceptischer', 'clientii clientii clientii clientii adanci', 'arachnic', 'deception', 'arachnine', 'trickle', 'skillful', 'gleasting', 'receptive', 'arachnia', 'arachnologic', 'virulent', 'utterly deceptionist', 'utterly treacherous', 'maverick', 'arachnus', 'Trickier', 'skilful', 'deceiving', 'acrobatic', 'deceitful', 'wit', 'spellbinding', 'utterly virulent', 'utterly witless', 'crafty', 'sceptical', 'hulking', 'deceivability', 'deceivable', 'potentiary', 'brillish', 'deceptionist', 'utterly devilish', 'utterly delusional', 'acrobatic', 'deceivery', 'derivârvârvârle', 'flubberish', 'utterly lucid', 'haughty', 'utterly deceptionistic', 'gleamed', 'witless', 'potentiator', 'potential', 'deceptionism', 'utterly treachery', 'lecherous', 'hunky', 'utterly lustrous', 'lucid', 'derivârscious']"
showing great reverence for god,worshipful,0,"['venerated', 'godbegotten', 'venerate', 'godhead', 'veneration', 'adoring', 'gods', 'adoration', 'godly', 'worshipping', 'empressary', 'empreempressary', 'goddear', 'godless', 'god', 'reverence', 'godmothered', 'empressadorate', 'goddaughter', 'goddesaiety', 'godess', 'godsmaiden', 'godlike', 'empressador', 'worshiping', 'godèle', 'empreempress', 'godsmaid', 'godearned', 'empreempressador', 'goddespiety', 'empress', 'adorationate', 'empreempressive', 'reverenced', 'worshipped', 'devoted', 'godshead', 'empressage', 'empreempressing', 'empressive', 'godearning', 'empressarial', 'goddesared', 'goddespéré', 'venerated', 'godmother', 'goddaism', 'empressal', 'empresempre worshiping', 'empressarily', 'goddalectic', 'empressarism', 'goddaiety', 'goddesaarth', 'empreempressal', 'devotional', 'godsmaidens', 'empreempressage', 'godsmaidèle', 'empressades', 'godmothering', 'holy', 'godsmaids', 'empreempressa', 'empressing', 'empressageful', 'godbegotten', 'goddesire', 'venerate', 'empresting', 'empresempre worshipping', 'sanctified', 'godmotherly', 'empressastic', 'goddessenced', 'godhead', 'empreempressastic', 'godfearing', 'empressa', 'empressadorous', 'venereal', 'empressadorèle', 'empresempre worshipped', 'empressadory', 'adorational', 'goddessence', 'empressful', 'veneration', 'godearn', 'goddespérée', 'empreempressmental', 'piety', 'goddèle', 'empreempressed', 'empreempressement', 'goddearl', 'godelect', 'goddess', 'godheadly']"
an association of criminals,mob,0,"['ganggang', 'gangland', 'gangganggang', 'mafia', 'gangvârvârvârvâr', 'gangvârvârvârvârvâr', 'gang', 'gangstagang', 'gangligament', 'gangstaband', 'gangvârvârvârvârvârvâr', 'gangvârvârvârvârvârvârvâr', 'ganglandgang', 'gangstabanded', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'gangvârvârvâr', 'ganglandganggang', 'gangvârvârvârvârle', 'gangvârvârvârvârvârvârl', 'gangvârvârvârvârvârvârle', 'gangvârvârvârvârvârle', 'gangwrestling', 'gangvârvârvârvârvârl', 'gangvârvârvârvârl', 'gangstergang', 'ganghibidgang', 'rosii rosii rosii rosii rosii rosii rosii rosii', 'ganghibidganggang', 'gangvârvârvârvârvârli', 'gangstaganggang', 'ganggangganggang', 'gangstabande', 'gangvârvârvârvârlia', 'gangvârvârvârvârli', 'gangvârvârvârle', 'gangvârvârvârvârvârvârrism', 'Gangvârvârvârvârvârvârvârvâr', 'criminalganggang', 'gangvârvârvârvârvârvârring', 'gangvârvârvârvârvârtery', 'gangvârvârvârvârvârvârlung', 'gangvârvârvârl', 'gangstering', 'ganghibint', 'rosii rosii rosii rosii rosii rosii rosii', 'gangvârvârvârvârvârligue', 'gangring', 'gangvârvârvârvârvârring', 'gangvârvârvârvârligue', 'gangliganacle', 'gangstagangland', 'gangvârvârvârvârvârlore', 'criminalgang', 'gangvârvârvârvârtery', 'gangvârvârvârvârring', 'ganggangring', 'Gangvârvârvârvârvârvârvâr', 'gangvârvârvârvârlore', 'ganglandgangland', 'gangvârvârvârlia', 'ganglore', 'gangvârvârvârvârvârlung', 'gangvârvârvârvârliety', 'gangvârvârvârvârvârrism', 'gangvârvârvârvârling', 'ganghibid', 'gangstabandie', 'gangsterganggang', 'gangganggangement', 'rosii rosii rosii rosii rosii rosii', 'gangband', 'gangvârvârvârli', 'gangvârvârvârvârgang', 'gangstabanda', 'gangway', 'ganglegang', 'frunzevârvârvârvâr', 'Gangvârvârvârvârvârvâr', 'frunzevârvârvârvârvârl', 'gangvârvârvârvârlung', 'ganghibination', 'gangstabandgang', 'gangvârvârvârligue', 'gangliganac', 'frunzevârvârvârvârl', 'gangliga', 'frunzevârvârvârvârvârle', 'gangfiling', 'gangvârvârvârvârrism', 'gangvârvârvârvârled', 'frunzevârvârvâr', 'gangganggangganggang', 'ganghibidgegang', 'gangstace', 'frunzevârvârvârvârle', 'gangvârvârvârgang', 'ganglandgangs', 'Gangvârvârvârvârvâr', 'ganghibintgang', 'frunzevârvârvârvârvâr']"
capable of being perceived especially by sight or hearing,perceivable,0,"['visionary', 'perceptible', 'Perceptible', 'aceptable', 'receptive', 'perceptive', 'aceptible', 'auralvârvârle', 'ableceptible', 'auditory', 'visionarily', 'acoustic', 'auralceptible', 'affable', 'Sensible', 'spectreperceptible', 'observable', 'visionarily discernible', 'visionable', 'emceptible', 'spectacular', 'ableceptive', 'discernible', 'affraid', 'spectrally discernible', 'auralvârvârvâr', 'visible', 'aural', 'spectrific', 'discerning', 'aurallectible', 'visionary', 'auralvârvârce', 'Perceptive', 'recognizable', 'sighting', 'auralceptive', 'spectaculous', 'sighted', 'acoustical', 'spectral', 'spectreceptive', 'senseable', 'electoral', 'hearingible', 'auralvârvârlant', 'visional', 'acoustible', 'Visionary', 'aurallectic', 'auralvârvârles', 'spectreperceptive', 'auralvârlectic', 'affraidible', 'auralible', 'spectacled', 'VISIBLE', 'auralvârvârl', 'ophthalmic', 'perceptional', 'empathetic', 'auralvârvâr', 'telephonic', 'spectrificable', 'receptible', 'spectoral', 'eerie', 'PERSONALIZEABLE', 'emceptive', 'PERSONALISABLE', 'spectreceptible', 'clientii suneteaza adanciti', 'potentiate', 'perceptibles', 'receptable', 'clientii suneteaza adancite', 'VISUALLY', 'auditory', 'Semantic', 'spectific', 'PERSONALIST', 'Senseless', 'PERSONALIZABLE', 'palapic', 'visionarily', 'PERCEPTIBLE', 'PERSONALIZABLE', 'PERSONAL', 'perceptible', 'PERSONALIZE', 'clientii suneticaticati', 'palpable', 'VISUALIZABLE', 'clientii sunetii', 'potentiel', 'clientii suneti reusiti', 'potential', 'palatable', 'palapetic', 'clientii sunetizarii']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['herbaceous', 'plantain', 'cultivated', 'plantation', 'eucasian', 'aphrodice', 'eurasian', 'sâmbâmbâmb', 'pomegranate', 'âmbâmbâmbi', 'sâmbâmbella', 'safflower', 'âmbâmbâmbâmb', 'savagine', 'plantacea', 'pommel', 'hayseed', 'sâmbâmbi', 'herbaceum', 'eucasiana', 'rhubarb', 'savur', 'plant', 'eucasiani', 'sâmbâmb', 'sâmbâmbelli', 'scallions', 'vegetal', 'eucasianium', 'cultivated', 'swine', 'haylark', 'muscovite', 'âmbâmbella', 'plantains', 'plantaceum', 'rhizome', 'hogweed', 'plantâmbâmbi', 'saffron', 'Eurasian', 'cropped', 'hayli', 'âmbâmbâmb', 'hoghay', 'haycea', 'plantation', 'hayhay', 'hayweed', 'seedling', 'muscovy', 'herbaceous', 'cropping', 'tarragon', 'plantâmbâmb', 'poppy', 'hayce', 'forage', 'hay', 'nixin', 'Hormiaceum', 'plantain', 'harlequin', 'pomace', 'cactus', 'crocus', 'cypress', 'chamomile', 'harleuca', 'syrup', 'Hormaceum', 'ginkgo', 'plantâmb', 'gramuccinus', 'plant', 'cyrus', 'cyruba', 'Hormizium', 'gramuccino', 'rice', 'muscovitis', 'corn', 'saffiano', 'Hormaceous', 'cyrubium', 'henna', 'narcium', 'plantar', 'tincture', 'cynix', 'gramuccine', 'eucasian', 'escurculum', 'fungus', 'Eurasian plant', 'rhubarbe', 'flowering', 'rootbeer', 'rhizomes', 'Hormiaceous']"
consumption of alcoholic drinks,intemperance,0,"['alcoholism', 'drink', 'alcoholic beverages', 'drink', 'drinks', 'alcoholic beverage', 'drinking', 'Alkoholic Consumption', 'barvârvârvâr', 'Alkoholism', 'alcoholicism', 'alcoholic drinks', 'Consumption', 'drinkaholicism', 'alcoholic beverage Consumption', 'Alcoholic Drinking', 'drinkgaiety', 'Drinking', 'Alkoholic Drinking', 'Alcoholic beverage Consumption', 'Alkoholic beverage Consumption', 'drinkeries', 'drinkery', 'drink', 'Alcoholism', 'drinks', 'barvârvârvârvâr', 'beverage Consumption', 'drink-driving', 'alcoholism Consumption', 'barvârvârlence', 'barvârvârvârvârvâr', 'barvârvârlia', 'Alkoholic beverages', 'beverage', 'drinking', 'Spirituosity', 'Alkoholic', 'drinkholiday', 'drinkware', 'barvârvâr', 'Alkoholic beverage', 'alcoholic', 'barvârvârliety', 'barvârvârvârvârle', 'drinkrism', 'alcohol', 'barvârvârvârle', 'drinkarism', 'barvârvârlance', 'drinkaholic', 'Alcoholic beverages', 'drinkgap', 'barvârvârlism', 'alcoholic beverages', 'barvârvârvârliety', 'Alcoholic beverage', 'distillation', 'alcoholic beverage', 'Alkoholic drinks', 'drinkgegnery', 'drinking', 'drinker', 'barvârvârliousness', 'consumption', 'alcoholication', 'belated drinkery', 'Alcoholic', 'alcoholic drinkery', 'barvârvârlirism', 'alcoholic beverage consumption', 'drinkarisma', 'sweetener', 'barvârvârvârlence', 'drink', 'barvârvârli', 'barvârvârle', 'barvârvârl', 'drinks', 'alcoholism', 'barvârvârlerie', 'barvârvârvârlance', 'alcâmbia', 'barvârvârvâr', 'drinklecture', 'Consumption', 'barvârvârled', 'alcâmbilism', 'drink-drink', 'Alkoholic Consumption Disorder', 'barvârvârlience', 'barvârvârlescence', 'drinkation', 'drinkaholicise', 'alcoholicism', 'barvârvârlis', 'barvârvârlicity', 'drinkiety', 'drinklecturism', 'belated drinking']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,0,"['calcareous', 'calcium', 'sedimentary', 'sedimentary rock', 'crustacean', 'calcareous rock', 'calcinite', 'calcactite', 'calcapeake', 'calcium', 'calcarulum', 'calciumcarbonate', 'calciumroche', 'calcaryceum', 'calcareum', 'crustacean rock', 'calciumbasalt', 'calcarulus', 'calcinitus', 'sulphate', 'crustal', 'calcitrate', 'calcinitary', 'sedimentary', 'calcinaltus', 'crustaceans', 'sulphurate', 'calcarycetes', 'calcice', 'calcinitis', 'calcinum', 'calciumbelast', 'calcabria', 'calciumrophyll', 'calcactites', 'calcaryceus', 'sulphur', 'calcinaltum', 'calcinary', 'calcaleate', 'calciumfish', 'crustacea', 'calcinita', 'calcalenite', 'calcarycerid', 'calcinitum', 'sedimentary rock', 'calcium calcareous', 'calcinaltrophy', 'calcitrant', 'calciumburate', 'calcinium', 'calcinolith', 'calcolith', 'calcina', 'rockfish', 'calcalice', 'calcus', 'glacial', 'calcareous', 'calcium', 'stalagmite', 'rock', 'crustacean', 'calciummethrophyla', 'stalagmites', 'calciummelagrophyla', 'calciumlith', 'calciummethrophyll', 'sedimentate', 'calciumprophyll', 'sediment', 'caldice', 'crustate', 'calciumgypsum', 'calciumroche', 'calciummethyl', 'calciummelagh', 'crustaltum', 'calciumcastrophyll', 'calciumceridolite', 'calciumprophyla', 'calciumcastrophyla', 'calcium calcrophyla', 'calcareous rock', 'sedimentary', 'calcium calcrophyll', 'crustacean rock', 'calciumbasalt', 'crustac', 'calciummethyla', 'calciummelagnite', 'sedimentolith', 'calciumcastle', 'calciumkebble', 'stalagmatism', 'sedimentary rocks', 'calcium calcaterite', 'calciummelagrophyll', 'crustaceum']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['ash', 'ashlargite', 'lava', 'pyrite', 'cinder', 'ashlar', 'sulfate', 'pyroclastic', 'ashcastle', 'ashleaf', 'ashlarga', 'pyrolytic', 'ash ash', 'sulphur', 'sulphate', 'ashleave', 'ashlanite', 'ashash', 'pyroclasmic', 'pyroclast', 'ashcrabble', 'ashstone', 'ashlargin', 'cindalite', 'ashlava', 'cinderlite', 'ashcrake', 'ash', 'ashlargine', 'silicate', 'cindanite', 'ashmash', 'silizium', 'ash lava', 'ashlebble', 'ashlargit', 'ashleake', 'ashland', 'ashpyrite', 'ashlin', 'graphite', 'silt', 'ashlarginium', 'pyroclasm', 'sulphurate', 'ashlenite', 'ashiron', 'pyroclaste', 'sagnite', 'lava', 'ashlargum', 'ashlargitum', 'ashlinite', 'argilite', 'ashlilite', 'stubble', 'ashliolite', 'pyrolytical', 'ashlargy', 'ashlargate', 'alumina', 'pyroclastry', 'sulfide', 'ashlarginum', 'carbonate', 'ashlia', 'ashlilate', 'pyrite', 'Silica', 'ashlomite', 'ashlarganite', 'ashlargite', 'ashlargitium', 'cinder', 'ashlargita', 'ashlargitate', 'ashlianite', 'pyroclasate', 'gypsum', 'zirconia', 'ashmetrichlore', 'ashlargitis', 'sulfite', 'ashliolate', 'ashmetal', 'ashliot', 'ashlionite', 'ashleaved', 'ash cinder', 'ashlar', 'ash pyrite', 'ashcastle', 'Aggregate', 'pyromaglomide', 'avalanche', 'argilium', 'clay', 'pyroclastic', 'ashleaf', 'ashash']"
a small pitcher for serving cream,creamer,2,"['pitcher', 'creamer', 'pitcher', 'jug', 'cream pitcher', 'keg', 'creamscrew', 'pitcher', 'creambowl', 'creamed', 'ruffle', 'crockpot', 'âmbâmbetta', 'spud', 'dâmb', 'jukebox', 'ice pitcher', 'kettle', 'mug', 'creamerette', 'scrip', 'smacker', 'rake', 'creamer', 'slug', 'Creamer', 'caff', 'raff', 'tinker', 'ruffled', 'raffling', 'raffish', 'a pitcher', 'âmbâmbelle', 'dâmbce', 'caffiene', 'raffi', 'juke', 'puddle', 'raffle', 'dâmbette', 'cream pitcher', 'spug', 'creampot', 'saucer', 'hammered', 'rinner', 'dâmbling', 'pitcher', 'crimson', 'potted', 'chiffon', 'ruff', 'tartar', 'rambler', 'pint', 'crock', 'smack', 'cream', 'jar', 'cup', 'spoiler', 'jug', 'tartina', 'hammercup', 'icecream pitcher', 'creamed', 'crip', 'creams', 'hammer', 'crockpot', 'tart', 'cups', 'servo', 'mug', 'hammering', 'serving pitcher', 'keg', 'creamer', 'jukebox', 'kettle', 'cremetape', 'tartan', 'linguril', 'serving', 'tartinette', 'creambowl', 'chaff', 'tartini', 'cricker', 'milkshake', 'creuset', 'tarturizer', 'spook', 'hampot', 'icecup', 'fennel', 'hammock', 'cream pitcher', 'cripke']"
the handwear used by fielders in playing baseball,mitt,0,"['Fieldhandwear', 'Fieldwear', 'Fieldhandling', 'glove', 'handwear', 'Fieldhandle', 'fieldhandling', 'Fielding', 'fieldwear', 'fieldhandwear', 'Fielderwear', 'Fielderhandwear', 'Fieldmanship', 'Fieldershandwear', 'Fieldshirts', 'glove', 'Fieldhands', 'Fielderhandling', 'Fieldinghandwear', 'Fielding Handwear', 'Fieldsmanship', 'Fieldmanwear', 'Fieldermanship', 'Fieldhandshirts', 'Fielder', 'baseballhandwear', 'Fieldhandicap', 'Fieldershandling', 'Fielderswear', 'Fieldhandvest', 'Handwear', 'fielding', 'glovewear', 'Fieldhandled', 'fieldhandle', 'batwear', 'Fieldhandlatch', 'Fieldhandlen', 'Fieldermanwear', 'Fieldinghandling', 'fielderwear', 'Fieldhandles', 'Fieldhand', 'fieldshirts', 'Fielderhandle', 'Fieldshirt', 'Fieldman', 'Fieldhandlewear', 'glove', 'Fieldhandicraft', 'Fieldhandl', 'Fieldhandiwear', 'handschläger', 'Fielderhandshirts', 'Fieldershandle', 'Fielderhands', 'fielder', 'Fieldhandswear', 'Fieldershands', 'Fieldhandiwerk', 'Fielderhandschuhe', 'Fieldclothed', 'battingschläger', 'Fielding', 'Fieldhandling', 'Fieldmanship', 'Fieldshirts', 'Fieldmanning', 'glove', 'uniformed', 'Fieldfoil', 'Fieldshirt', 'Fieldhandle', 'Fieldarms', 'battingschläget', 'Fieldaris', 'Fielder', 'baseball glove', 'Fieldbear', 'Fielder Fielder', 'Fieldclothes', 'fieldhandling', 'battingschlägel', 'handling', 'Fieldhands', 'Fieldmanhood', 'fielding', 'Fieldsmanship', 'Fieldfreight', 'gloved', 'Fieldclothing', 'gloveling', 'handschläger', 'batting', 'Handling', 'Field', 'Fieldmanny', 'handschuhe', 'Fielders Fielding', 'handball']"
