Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,0,"['thought', 'knowing', 'all', 'supposed', 'that', 'certain', 'lessoned', 'actually', 'nothing', 'this', 'having', 'really', 'both', 'experience', 'some', 'indeed', 'only', 'thing', 'everything', 'insident', 'too-much', 'meak', 'present', 'surely', 'obviously', 'now', 'deline', 'clearly', 'real', 'simply', 'either', 'true', 'impling', 'determent', 'vising', 'realize', 'way', 'needed', 'undoubtable', 'anything', 'perseverate', 'sticken', 'outthought', 'actual', 'actualise', 'reguard', 'exect', 'wising', 'relevant', 'the', 'whyever', 'them', 'much', 'about', 'meant', 'recked', 'witing', 'particular', 'know', 'stilly', 'experient', 'wrong', 'implied', 'finding', 'resue', 'certainly', 'understanding', 'such', 'flacking', 'seeing', 'far-gone', 'dumbfound', 'coming', 'never', 'perceived', 'touse', 'already', 'what', 'prove', 'offtrack', 'seeling', 'looked-for', 'well-acknowledged', 'thinking', 'preception', 'wone', 'forgetting', 'wany', 'understanded', 'basically', 'overwise', 'realized', 'fundamentality', 'otherwise', 'seak', 'apparently', 'misconceive', 'overexerting', 'find', 'recorrect']"
a room in a house or building where people study or work,office,15,"['working', 'workship', 'cark', 'froom', 'business', 'houses', 'buildings', 'place', 'backland', 'works', 'bult', 'community', 'inters', 'research', 'office', 'project', 'operatory', 'rooms', 'roomer', 'residence', 'residental', 'breakfront', 'design', 'outside', 'area', 'resthouse', 'toom', 'working-out', 'benchwork', 'and', 'structure', 'laboratory', 'curch', 'way', 'vising', 'facility', 'live', 'rest', 'resue', 'teache', 'cater-corner', 'shop', 'touse', 'all', 'build', 'both', 'lattice-work', 'seak', 'living', 'reman', 'practice', 'development', 'distrain', 'cooping', 'quaters', 'restaffing', 'camp-site', 'inside', 'trailside', 'covent', 'site', 'common-room', 'facilities', 'homeplace', 'washhouse', 'agend', 'dayroom', 'housecleaner', 'group', 'self-making', 'deline', 'furbish', 'interscience', 'busies', 'house-builder', 'thouse', 'campanology', 'graunt', 'studio', 'co-work', 'reline', 'rooming', 'roomers', 'hearthside', 'plast', 'dwelling', 'offtrack', 'places', 'workrooms', 'round-house', 'charing', 'workpeople', 'quonset', 'webwork', 'mansion-house', 'rection', 'reinter', 'the', 'school-house', 'projects']"
something that does not cost a lot of money,cheap,0,"['much', 'nothing', 'expense', 'some', 'moneywise', 'amount', 'everything', 'more', 'costing', 'thing', 'benefit', 'anything', 'less', 'mone', 'costs', 'all', 'nitch', 'boodle', 'value', 'too-much', 'deline', 'this', 'real', 'deal', 'coss', 'things', 'maney', 'expensiveness', 'considerable', 'meak', 'savings', 'mony', 'really', 'disvalue', 'them', 'smore', 'need', 'that', 'stuff', 'bood', 'about', 'lessness', 'fundamentality', 'better', 'allot', 'outlay', 'certain', 'muchness', 'needed', 'outlaid', 'spare', 'saving', 'only', 'amounts', 'trouble', 'offtrack', 'enough', 'betterness', 'bult', 'worthwhile', 'valuable', 'outway', 'profit', 'necessary', 'sort', 'certainly', 'pocket-money', 'actually', 'moneys', 'cause', 'self-gain', 'hugeness', 'tremendous', 'seeling', 'interest', 'way', 'specificness', 'feal', 'pay', 'thought', 'whatever', 'dog-end', 'obviously', 'goodliness', 'bigger', 'sense', 'basically', 'resue', 'difference', 'part', 'what', 'immense', 'worths', 'substantial', 'redounds', 'itself', 'seak', 'brings', 'excess', 'precious']"
to get or achieve something that you want,obtain,14,"['need', 'find', 'expect', 'really', 'wanting', 'getting', 'know', 'have', 'actually', 'realize', 'accomplish', 'come', 'seek', 'obtain', 'perseverate', 'make', 'exect', 'wanted', 'wany', 'try', 'give', 'trying', 'think', 'better', 'actualise', 'happen', 'attain', 'wish', 'needed', 'meak', 'create', 'produce', 'got', 'prove', 'simply', 'put', 're-prove', 'anything', 'thing', 'nothing', 'promiss', 'gether', 'seak', 'could', 'take', 'should', 'pretend', 'truly', 'wants', 'decide', 'never', 'gets', 'enjoy', 'desire', 'having', 'feel', 'forget', 'wone', 'not', 'look', 'always', 'expecting', 'might', 'help', 'suppose', 'learn', 'reask', 'intend', 'gain', 'hopefully', 'either', 'provide', 'able', 'realise', 'like', 'all', 'somehow', 'definitely', 'reak', 'whyever', 'strive', 'to', 're-earn', 'destry', 'enough', 'that', 'disserve', 'surely', 'must', 'choosey', 'turn', 'prettify', 'agree', 'pursue', 'them', 'would', 'continue', 'generate', 'everything', 'gotten']"
the bottom part of the leg on which people walk,foot,0,"['side', 'rest', 'off', 'seak', 'whole', 'dog-end', 'walkaway', 'offtrack', 'place', 'way', 'right', 'stetch', 'sticken', 'trun', 'resue', 'back', 'deline', 'coss', 'cark', 'bult', 'roud', 'front', 'out', 'plast', 'portion', 'meak', 'stand', 'lining-up', 'saft', 'inters', 'dogface', 'both', 'footrope', 'cleg', 'side-line', 'busies', 'swan-neck', 'sidle', 'stret', 'stick-out', 'legs', 'the', 'run', 'sidehill', 'shape-up', 'head', 'laster', 'step', 'boof', 'ground-down', 'all', 'bood', 'sluff', 'skelp', 'left', 'brookside', 'reline', 'toom', 'cooch', 'set-down', 'entire', 'side-table', 'tramper', 'agend', 'waling', 'stree', 'cross-head', 'risker', 'outhaul', 'step-ladder', 'thurst', 'backwall', 'brack', 'rection', 'floppier', 'mid-stride', 'workwise', 'limbering', 'fass', 'frontward', 'margination', 'run-over', 'one', 'ground', 'reman', 'spinney', 'gapper', 'pigface', 'breakover', 'head-line', 'piton', 'outland', 'up-and', 'person', 'places', 'turn', 'linge', 'start', 'heald', 'heart']"
something that is a circle but also flat,disc,0,"['offtrack', 'really', 'meak', 'certainly', 'simply', 'stilly', 'definitely', 'obviously', 'toom', 'only', 'sticken', 'always', 'generally', 'basically', 'clearly', 'likewise', 'triangularly', 'actually', 'unromantically', 'thurst', 'probably', 'apparently', 'cark', 'roud', 'hollower', 'surely', 'wase', 'usually', 'dimply', 'deline', 'often', 'essentially', 'now', 'bult', 'soom', 'clag', 'indeed', 'sluff', 'swan-like', 'sometimes', 'quite', 'normally', 'undoubtedly', 'quainter', 'sightly', 'nitch', 'similarly', 'planless', 'spinney', 'tunning', 'paranormally', 'squeel', 'challengingly', 'evidently', 'saft', 'pinheaded', 'stedfastly', 'great-circle', 'already', 'semi-circle', 'unimportantly', 'flivver', 'and', 'ofter', 'thought', 'plainly', 'specking', 'stick-out', 'lingeringly', 'rearly', 'burningly', 'froom', 'sectionally', 'half-turned', 'therefore', 'coss', 'then', 'chack', 'nothing', 'circles', 'presumably', 'both', 'stret', 'spere', 'seemingly', 'merely', 'trampler', 'some', 'is', 'form', 'rought', 'wordily', 'seak', 'exect', 'wone', 'smore', 'that', 'inevitably', 'workably', 'backwall']"
to decide who someone is or what something is after thinking about it,identify,0,"['somebody', 'thought', 'think', 'that', 'really', 'actually', 'either', 'whyever', 'thing', 'simply', 'anything', 'looking', 'maybe', 'suppose', 'them', 'know', 'exect', 'what', 'knowing', 'suppost', 'trying', 'deciding', 'perhaps', 'surely', 'wany', 'looing', 'hoping', 'find', 'consider', 'suggesting', 'everyone', 'everything', 'suggest', 'realize', 'thinks', 'way', 'anyone', 'decided', 'asking', 'whoever', 'then', 'wanting', 'presuming', 'somehow', 'telling', 'wising', 'decides', 'you-all', 'figuring', 'you', 'like', 'somewhere', 'anybody', 'get', 'seeing', 'nothing', 'everybody', 'justing', 'perseverate', 'some', 'this', 'reask', 'sure', 'spect', 'bothering', 'intuiting', 'wrong', 'decise', 'thoght', 'doing', 'about', 'otherwise', 'obviously', 'determent', 'irrate', 'basically', 'deline', 'now', 'unthink', 'guess', 'having', 'one', 'talking', 'supposed', 'certain', 'clearly', 'propose', 'certainly', 'considering', 'definitely', 'reck', 'chastize', 'try', 'things', 'whatever', 'instead', 'twigging', 'out-argue', 'meak', 'possibly']"
the gesture or gratitude you give after someone does something positive for you,thanks,0,"['meak', 'feeling', 'sense', 'some', 'respect', 'giving', 'compliment', 'impassionate', 'hint', 'promiss', 'anything', 'deline', 'thought', 'that', 'exect', 'negatory', 'nothing', 'seak', 'feal', 'personate', 'thing', 'this', 'warmness', 'gives', 'touch', 'reask', 'encouragement', 'irrate', 'impression', 'betoken', 'preception', 'dispirit', 'regard', 'much', 'flacking', 'support', 'appreciation', 'praise', 'sympathy', 'way', 'sticken', 'genuine', 'sort', 'seeling', 'all', 'coss', 'reassurance', 'promise', 'profer', 'nitch', 'comfit', 'enough', 'somebody', 'regift', 'apprecate', 'compliments', 'benefit', 'effect', 'certain', 'really', 'too-much', 'determent', 'real', 'prove', 'touchiness', 'acknowledgment', 'direct', 'depreciatory', 'perseverant', 'demonstrate', 'proport', 'signify', 'such', 'get', 'remind', 'them', 'suggestion', 'clear', 'betokens', 'positiveness', 'overbear', 'self-gain', 'appropriate', 'feeing', 'betterness', 'loather', 'appreciate', 'rewarder', 'honer', 'change', 'deep-felt', 'reguard', 'spect', 'perseverate', 'acknowledgement', 'grateful', 'need', 'proudness', 'placation', 'summate']"
pieces of information that are true,facts,24,"['informatory', 'trues', 'piece', 'relevant', 'material', 'informations', 'accurateness', 'relevances', 'info', 'relevancies', 'nonnarrative', 'corroborations', 'corroboratory', 'content', 'misinformations', 'pertinent', 'valuable', 'important', 'essential', 'accurate', 'placeable', 'preception', 'real', 'facts', 'stuff', 'unaccurate', 'fundamentality', 'vital', 'correct', 'precises', 'source', 'things', 'elements', 'coherences', 'half-true', 'authentical', 'spuriousness', 'certain', 'informalities', 'truthful', 'all', 'critical', 'genuine', 'actual', 'factive', 'correspondency', 'necessary', 'clarities', 'fact', 'contradictory', 'reverences', 'contents', 'specific', 'senseful', 'originative', 'details', 'significants', 'straightforwards', 'incoherences', 'erroneousness', 'informational', 'corelate', 'characteristical', 'controvertible', 'dissemblance', 'illusional', 'negatory', 'references', 'vitalities', 'undoubtable', 'exact', 'implicative', 'explicatory', 'contradictive', 'interrelates', 'factual', 'ingenuities', 'essence', 'nitch', 'components', 'tit-bit', 'objectable', 'intermixes', 'aspects', 'everything', 'duplicities', 'finalities', 'error-proof', 'sensibleness', 'cruxes', 'informalism', 'knowledge', 'ideas', 'correllation', 'valid', 'intermingles', 'sources', 'imprecisions', 'sensitives', 'that']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,66,"['take', 'way', 'put', 'someone', 'exect', 'out', 'start', 'back', 'off', 'get', 'offtrack', 'rest', 'turn', 'either', 'come', 'trun', 'deline', 'seak', 're-trace', 'comes', 'finally', 'them', 'to', 'then', 'resue', 'move', 'coming', 'reman', 'laster', 'right', 'meak', 'temporise', 'rephase', 'before', 'finish', 'officialize', 'stop', 'stept', 'straightaway', 'this', 'places', 'somewhere', 'sticken', 'change', 'reguard', 'all', 'thurst', 'coss', 'over', 're-act', 'that', 'both', 'one', 'step', 'part', 'cark', 'reline', 'reckoner', 'now', 'run', 'chack', 'away', 'toom', 'take-in', 'intermit', 'follow', 'happens', 'last', 'taken', 'readvertise', 'proceed', 'taking', 'immediately', 'wase', 'through', 'direct', 'evene', 'stand', 'froom', 'plack', 'actually', 'procedes', 'backorder', 'and', 'planless', 'the', 'sort', 'hold-off', 'reck', 'instead', 'challenge', 'reask', 'leave', 'in', 'beginning', 'starting', 'once', 'hange', 'simply', 'something']"
cooked bread that is often eaten with butter for breakfast,toast,64,"['eat', 'baked', 'crispbread', 'eatable', 'snacked', 'buttered', 'precooked', 'uncooked', 'half-cooked', 'ate', 'breakfasted', 'hardtack', 'loafs', 'unbuttered', 'porridge', 'toasted', 'roasted', 'well-cooked', 'breaded', 'home-baked', 'potpie', 'meat', 'boiled', 'parboiled', 'cutlet', 'porringer', 'sopped', 'parboil', 'munchy', 'barbequed', 'supped', 'breakfasting', 'teacake', 'refried', 'meal', 'ready-cooked', 'twice-baked', 'unbaked', 'knish', 'herbed', 'dinned', 'breads', 'consumed', 'eating', 'loaf', 'wolfed', 'cutlets', 'buttering', 'wheaten', 'untoasted', 'figgy', 'vol-au-vent', 'eatables', 'meak', 'scarfed', 'stewed', 'crustless', 'undercook', 'dried', 'eats', 'farina', 'unroasted', 'carby', 'toast', 'butterflied', 'farls', 'soup', 'spongecake', 'truffled', 'sticken', 'food', 'unboiled', 'glogg', 'flapjacks', 'loafed', 'cakes', 'brioches', 'flatbread', 'sweetbread', 'marinates', 'croquette', 'chowed', 'meals', 'supper', 'breakfasts', 'dish', 'pastie', 'bowlful', 'souse', 'cornbread', 'breading', 'brioche', 'mushed', 'tea-tray', 'dry-roasted', 'breadless', 'stewpot', 'cook-out', 'confiture', 'wains']"
somebody who controls an organisation or group of people,leader,52,"['groups', 'person', 'organization', 'someone', 'company', 'individuals', 'reguard', 'individual', 'government', 'companies', 'community', 'members', 'those', 'paries', 'parters', 'and', 'others', 'mant', 'everybody', 'organizations', 'associators', 'leaders', 'everyone', 'all', 'expatiates', 'exect', 'staff', 'reman', 'manics', 'graspers', 'both', 'non-co-operative', 'party', 'policy-holder', 'workpeople', 'inventers', 'somebodies', 'team', 'oner', 'inters', 'folks', 'recons', 'commers', 'users', 'midsts', 'progovernment', 'regroups', 'business', 'unpeople', 'coss', 'pluggers', 'leader', 'personnel', 'buddying', 'reavers', 'disorganise', 'associates', 'cullers', 'administrates', 'collectivise', 'rabbles', 'housebreakers', 'them', 'natters', 'working', 'control', 'agentry', 'whoever', 'groupwise', 'documenters', 'society', 'authorities', 'individualise', 'gangers', 'extremer', 'deline', 'denigrators', 'remans', 'menders', 'committee', 'funster', 'proport', 'places', 'countermovements', 'management', 'definers', 'destry', 'busies', 'officialism', 'professionalise', 'self-making', 'agend', 'non-co-operation', 'association', 'wans', 'burgeons', 'localists', 'adminstrations', 'workers', 'professionals']"
all of the information or facts that somebody might have in their head,knowledge,82,"['thought', 'someone', 'actually', 'exect', 'relevant', 'that', 'all', 'really', 'things', 'reguard', 'them', 'something', 'obviously', 'some', 'fact', 'simply', 'both', 'meak', 'deline', 'supposed', 'correct', 'certain', 'otherwise', 'surely', 'know', 'clearly', 'could', 'stuff', 'inform', 'find', 'suggest', 'relate', 'sort', 'these', 'those', 'certainly', 'and', 'undoubtable', 'indeed', 'appropriate', 'thing', 'either', 'whyever', 'everything', 'possibly', 'come', 'this', 'needed', 'info', 'suppose', 'relevances', 'nitch', 'put', 'overwise', 'whatever', 'then', 'should', 'officialize', 'sticken', 'preception', 'evidently', 'relevancies', 'suggests', 'somebodies', 'reask', 'informatory', 'particular', 'basically', 'you', 'sluff', 'spect', 'they', 'chack', 'reman', 'think', 'wany', 'trun', 'source', 'right', 'undoubtedly', 'refect', 'knowledge', 'decise', 'suppost', 'prove', 'profer', 'person', 'looks', 'seak', 'head-line', 'present', 'interpretate', 'way', 'need', 'insident', 'out', 'offtrack', 'particularise', 'one', 'wrong']"
to say how a complicated situation or problem works so that other people then understand it,explain,33,"['think', 'things', 'problems', 'realize', 'problematic', 'way', 'really', 'know', 'misconceive', 'resue', 'that', 'complexify', 'thought', 'understander', 'thing', 'relate', 'perseverate', 'deline', 'meak', 'problematize', 'indeed', 'determent', 'applicate', 'actualise', 'concerned', 'particular', 'obviously', 'overexplain', 'all', 'certain', 'whyever', 'spect', 'explain', 'decise', 'matter', 'happens', 'clearly', 'irrate', 'actually', 'reality', 'exect', 'reguard', 'particularise', 'working-out', 'sticken', 'concerns', 'this', 'miscommunicate', 'find', 'predicament', 'interpretate', 'straightforwards', 'relatedly', 'fact', 'both', 'solve', 'concern', 'issues', 'reask', 'difficult', 'issue', 'troublesome', 'realise', 'and', 'fundamentality', 'experient', 'these', 'involve', 'sense', 'impling', 'reman', 'nitch', 'outguess', 'approach', 'basically', 'matters', 'understands', 'critize', 'however', 'looks', 'insident', 'preception', 'unthink', 'readdress', 'sensitives', 'surely', 'misconceives', 'relates', 'question', 'agend', 'though', 'imagine', 'complicities', 'what', 'situations', 'understanding', 'precisely', 'talkings', 'problematical', 'now']"
