Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['skills', 'remarkable', 'evident', 'lack', 'displayed', 'knowledge', 'mastery', 'ability', 'sense', 'prowess', 'apparent', 'obvious', 'unusual', 'tactics', 'extraordinary', 'experience', 'determination', 'abilities', 'fact', 'bravery', 'certain', 'deceit', 'considerable', 'demonstrated', 'manipulation', 'tactical', 'deliberate', 'result', 'evidenced', 'dedication', 'actual', 'this', 'indeed', 'shown', 'example', 'technique', 'success', 'demonstrates', 'physical', 'difficulty', 'marking', 'emphasis', 'demonstrate', 'precision', 'significant', 'pattern', 'exceptional', 'particular', 'reflected', 'courage', 'subtle', 'sophistication', 'concealment', 'toughness', 'showing', 'accuracy', 'achievement', 'difficult', 'difference', 'clearly', 'perhaps', 'tenacity', 'displaying', 'dramatic', 'often', 'aspect', 'demonstrating', 'extent', 'cunning', 'unique', 'techniques', 'incredible', 'sort', 'strategy', 'strength', 'contrast', 'talent', 'display', 'meant', 'emotional', 'characterized', 'greatest', 'accomplishment', 'skillful', 'despite', 'distinction', 'maneuver', 'acumen', 'conspicuous', 'sometimes', 'personal', 'persistence', 'characteristic', 'astonishing', 'uncommon', 'professionalism', 'achieved', 'penchant', 'desperation', 'perceived']"
showing great reverence for god,worshipful,0,"['respect', 'affection', 'sense', 'always', 'shown', 'devotion', 'indeed', 'true', 'admiration', 'fact', 'what', 'much', 'particular', 'nothing', 'belief', 'compassion', 'same', 'shows', 'seeing', 'greatest', 'regard', 'something', 'humility', 'tremendous', 'our', 'certainly', 'this', 'actually', 'you', 'everyone', 'inspiration', 'wisdom', 'really', 'all', 'thought', 'courage', 'feel', 'reason', 'tradition', 'thing', 'perhaps', 'gratitude', 'those', 'know', 'things', 'especially', 'importance', 'understanding', 'believe', 'immense', 'sort', 'feeling', 'example', 'anything', 'because', 'remarkable', 'praise', 'showed', 'dedication', 'show', 'way', 'we', 'like', 'come', 'desire', 'knowledge', 'i', 'seems', 'giving', 'done', 'why', 'displayed', 'wonderful', 'everything', 'think', 'loved', 'enormous', 'not', 'strength', 'remember', 'never', 'certain', 'that', 'though', 'doing', 'enthusiasm', 'them', 'appreciation', 'experience', 'moment', 'truly', 'thank', 'qualities', 'better', 'blessed', 'look', 'having', 'incredible', 'dignity', 'does']"
an association of criminals,mob,0,"['criminal', 'associations', 'organized', 'organizations', 'organization', 'crimes', 'members', 'offenders', 'federation', 'professionals', 'crime', 'terrorists', 'society', 'enforcement', 'politicians', 'leaders', 'businessmen', 'killers', 'officials', 'citizens', 'journalists', 'groups', 'professional', 'involved', 'traffickers', 'those', 'responsible', 'authorities', 'people', 'individuals', 'murderers', 'illegal', 'gang', 'officers', 'many', 'gangs', 'gangsters', 'advocates', 'women', 'dealers', 'employers', 'victims', 'veterans', 'should', 'wanted', 'thieves', 'seeking', 'organisation', 'dealing', 'suspected', 'community', 'most', 'local', 'convicted', 'men', 'them', 'organised', 'youth', 'baseball', 'country', 'want', 'they', 'called', 'owners', 'prosecute', 'courts', 'participating', 'prostitutes', 'trafficking', 'agents', 'lawyers', 'industry', 'themselves', 'according', 'generally', 'accused', 'these', 'merchants', 'nation', 'calling', 'alleged', 'athletes', 'activities', 'prisoners', 'known', 'prosecuting', 'suspects', 'among', 'business', 'bankers', 'action', 'firearms', 'saying', 'encourage', 'have', 'terrorist', 'believe', 'others', 'the', 'smugglers']"
capable of being perceived especially by sight or hearing,perceivable,0,"['particularly', 'because', 'very', 'fact', 'indeed', 'quite', 'seeing', 'perhaps', 'certainly', 'those', 'though', 'something', 'what', 'too', 'particular', 'clearly', 'always', 'concerned', 'most', 'really', 'seems', 'not', ""'re"", 'these', 'nothing', 'such', 'lack', 'actually', 'yet', 'reason', 'many', 'less', 'certain', 'anything', 'obviously', 'much', 'extremely', 'coming', 'some', 'obvious', 'they', 'being', 'often', 'this', 'sense', 'therefore', 'more', 'need', 'come', 'things', 'ability', 'truly', 'sort', 'feel', 'think', 'might', 'thought', 'seemed', 'experience', 'better', 'enough', 'serious', 'both', 'anyone', 'everyone', 'having', 'that', 'aware', 'way', 'simply', 'there', 'making', 'understand', 'only', 'despite', 'although', 'should', 'thing', 'considered', 'hardly', 'increasingly', 'looking', 'few', 'ones', 'result', 'thus', 'difficult', 'look', 'example', 'meant', 'however', 'without', 'could', 'as', 'believe', 'like', 'all', 'know', 'sometimes', 'unfortunately']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['crops', 'seeds', 'plants', 'cultivation', 'harvested', 'varieties', 'seedlings', 'wheat', 'planting', 'grasses', 'fruits', 'fruit', 'grain', 'vegetables', 'planted', 'farming', 'growers', 'trees', 'soybean', 'cultivate', 'harvesting', 'acreage', 'agricultural', 'flowering', 'sugarcane', 'insects', 'grown', 'shrubs', 'pests', 'farmland', 'cultivating', 'edible', 'hectares', 'vegetation', 'fertilizer', 'livestock', 'soil', 'produce', 'vegetable', 'weeds', 'berries', 'feed', 'species', 'barley', 'farmed', 'plantings', 'irrigated', 'orchards', 'potatoes', 'fertile', 'soybeans', 'plantations', 'sunflower', 'abundant', 'fertilizers', 'harvests', 'alfalfa', 'cassava', 'grape', 'genetically', 'farms', 'arable', 'ornamental', 'irrigation', 'cultivars', 'farm', 'habitat', 'grazing', 'pesticides', 'agriculture', 'grains', 'fungus', 'forests', 'growing', 'soils', 'pastures', 'beans', 'poppies', 'sown', 'foliage', 'grows', 'potato', 'insect', 'stalks', 'production', 'opium', 'producing', 'eaten', 'grower', 'domesticated', 'habitats', 'grapes', 'dried', 'perennial', 'tomato', 'pesticide', 'tubers', 'commercially', 'variety', 'aquatic']"
consumption of alcoholic drinks,intemperance,0,"['beverages', 'drink', 'alcohol', 'beverage', 'drinking', 'liquor', 'consumed', 'snacks', 'consume', 'soda', 'carbonated', 'drank', 'caffeine', 'bottled', 'food', 'consuming', 'cigarettes', 'drinkers', 'sodas', 'milk', 'snack', 'eating', 'foods', 'wine', 'vodka', 'products', 'juice', 'drunk', 'spirits', 'tea', 'eat', 'distilled', 'sugary', 'smoking', 'fruit', 'bottles', 'nonalcoholic', 'meals', 'flavored', 'imported', 'meal', 'whiskey', 'cereal', 'vegetables', 'tobacco', 'cigarette', 'eaten', 'cereals', 'meat', 'product', 'soft', 'fruits', 'sipping', 'chocolate', 'fizzy', 'malt', 'binge', 'imports', 'wines', 'bottle', 'whisky', 'gasoline', 'sales', 'cans', 'vending', 'teas', 'brands', 'import', 'ingredients', 'dairy', 'selling', 'ate', 'consumer', 'fermented', 'prescription', 'consumers', 'habits', 'syrup', 'raw', 'iced', 'liquids', 'sweets', 'exports', 'goods', 'herbal', 'cigars', 'cocktails', 'addict', 'addicted', 'prices', 'drugs', 'supplements', 'intake', 'calories', 'household', 'liquors', 'healthy', 'water', 'smoked', 'processed']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,9,"['primarily', 'mostly', 'consists', 'sediments', 'rocks', 'consist', 'found', 'composed', 'limestone', 'fossils', 'formation', 'containing', 'typically', 'usually', 'large', 'material', 'which', 'these', 'deposits', 'sediment', 'formed', 'sandstone', 'layers', 'soil', 'contains', 'types', 'surface', 'addition', 'generally', 'organisms', 'structures', 'known', 'volcanic', 'forms', 'covered', 'exposed', 'carbonate', 'relatively', 'whereas', 'consisted', 'contain', 'structure', 'form', 'mammals', 'vegetation', 'fossil', 'largely', 'part', 'preserved', 'natural', 'normally', 'although', 'commonly', 'formations', 'minerals', 'soils', 'animal', 'present', 'many', 'derived', 'chiefly', 'most', 'especially', 'within', 'example', 'abundant', 'includes', 'sea', 'water', 'areas', 'species', 'specimens', 'mineral', 'some', 'exclusively', 'used', 'variety', 'insects', 'typical', 'area', 'layer', 'the', 'naturally', 'where', 'along', 'fragments', 'often', 'metal', 'prehistoric', 'discovered', 'comprising', 'is', 'materials', 'similar', 'such', 'only', 'being', 'therefore', 'amounts', 'particularly']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['lava', 'basalt', 'molten', 'rocks', 'limestone', 'aluminium', 'carbonate', 'sediments', 'silica', 'layers', 'surface', 'layer', 'ceramic', 'soils', 'crystals', 'sedimentary', 'basaltic', 'surfaces', 'coating', 'eruptions', 'titanium', 'magnesium', 'particles', 'mineral', 'metal', 'thick', 'coated', 'crystalline', 'magma', 'alloy', 'silt', 'sandstone', 'gravel', 'mud', 'copper', 'pumice', 'shale', 'quartz', 'minerals', 'metallic', 'metals', 'overlying', 'debris', 'vapor', 'volcanoes', 'alkali', 'oxide', 'material', 'bricks', 'sediment', 'crust', 'formation', 'weathering', 'dense', 'eruption', 'pyroclastic', 'volcano', 'polymer', 'sulfur', 'sulfate', 'granite', 'salts', 'igneous', 'soil', 'resin', 'slag', 'graphite', 'calcareous', 'gypsum', 'alkaline', 'melt', 'liquid', 'boulders', 'foam', 'zinc', 'forming', 'oxides', 'dioxide', 'hydroxide', 'ores', 'plastic', 'sulfide', 'melting', 'sludge', 'deposits', 'iron', 'silicates', 'carbon', 'manganese', 'materials', 'chalk', 'fragments', 'craters', 'asphalt', 'fiberglass', 'stainless', 'alluvial', 'sulfuric', 'substrate', 'alloys']"
a small pitcher for serving cream,creamer,0,"['serve', 'large', 'served', 'chocolate', 'butter', 'one', 'only', 'cheese', 'few', 'fruit', 'like', 'serves', 'filling', 'sauce', 'usually', 'addition', 'a', 'bread', 'instead', 'soft', 'making', 'big', 'once', 'cake', 'make', 'cups', 'with', 'milk', 'taste', 'soup', 'ice', 'you', 'ingredients', 'juice', 'is', 'now', 'then', 'size', 'until', 'or', 'the', 'very', 'whole', 'two', 'enough', 'them', 'red', 'batter', 'starting', 'same', 'each', 'as', 'dish', 'in', 'handful', 'pizza', 'mixture', 'drinks', 'five', 'plus', 'dessert', 'having', 'medium', 'made', 'egg', 'spoon', 'chicken', 'out', 'makes', 'bowls', 'either', 'smaller', ""'re"", 'cookies', 'starter', 'rest', 'most', 'all', 'shop', 'part', 'when', 'keep', 'pie', 'giving', 'though', 'yogurt', 'drink', 'mix', 'first', 'than', 'pasta', 'mostly', 'years', 'using', 'flour', 'sandwiches', 'filled', 'example', 'because', 'except']"
the handwear used by fielders in playing baseball,mitt,0,"['players', 'play', 'played', 'game', 'football', 'leagues', 'league', 'teams', 'hockey', 'games', 'basketball', 'team', 'always', 'soccer', 'because', 'only', 'using', 'they', 'plays', 'better', 'pitch', 'instead', 'one', 'professional', 'like', 'having', 'often', 'most', 'matches', 'those', 'way', 'ever', 'not', 'club', 'cricket', 'all', 'same', 'as', 'what', 'starting', 'many', 'both', 'fans', 'in', 'them', 'out', 'hitters', 'yankees', 'the', 'pitchers', 'though', 'know', 'hard', 'never', 'make', 'much', 'first', 'you', 'clubs', 'now', 'once', 'have', 'few', 'softball', 'actually', 'making', 'tennis', 'sports', 'tournament', 'outfield', 'batting', 'thought', 'some', 'sometimes', 'especially', 'pitches', 'practice', 'hitting', 'get', 'either', 'seasons', 'think', 'coaches', 'when', 'catch', 'scoring', 'balls', 'simply', 'might', 'right', 'although', 'teammates', 'again', 'rest', ""'ve"", 'where', 'sox', 'usually', 'career', 'side']"
