Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,0,"['lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost', 'lost']"
a room in a house or building where people study or work,office,0,"['studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio', 'studio']"
something that does not cost a lot of money,cheap,100,"['cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap', 'cheap']"
to get or achieve something that you want,obtain,0,"['get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get', 'get']"
the bottom part of the leg on which people walk,foot,100,"['foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot', 'foot']"
something that is a circle but also flat,disc,0,"['circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'circle']"
to decide who someone is or what something is after thinking about it,identify,0,"['decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide', 'decide']"
the gesture or gratitude you give after someone does something positive for you,thanks,0,"['gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude', 'gratitude']"
pieces of information that are true,facts,0,"['truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth', 'truth']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,0,"['appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint', 'appoint']"
