Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,0,"['clientii moalei renunteazaeaza renuntandupum', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'wiping', 'haste', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'rosii knowledge', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'nunta', 'knowledge', 'clientiiо clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'knowing', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii sunteti proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii stiucii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii moaleioasa renunteazaa renuntatarimpotriva renuntandua renuntandum', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii moalei renunteazaeaza renunteazaeaza', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii taiati renuntatura', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat constient constientinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiile', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'haste', 'clientii clientii clientii proaspat proaspat proaspat proaspat moale moale moale moale moale moale moale moale moale moale moale moale', 'clientii moale clientii moalei renuntanda renuntanda renuntanda renuntandupa ganduri', 'clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'knowing', 'knowledge', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat constient constientinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiile', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'varfu', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'learned', 'clientii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'knowledge', 'knew', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'a factual', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj', 'clientiimai si clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii taiati proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii adancii adancii inlocuindu', 'knowledge', 'knowing', 'clientii clientii clientii care privestei modificari modificarilorlorlorlorlorlorlorlorlorlor', 'abysmal', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat constient constientismulinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiile', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'knowing', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii asteptando', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj Schwangerschaftaltional', 'clientii clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientiik clientii clientii gasi gasii', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'fluke', 'clientii taiatia', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'knowledge', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii stii', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat modificari modificari modificari modificari modificari modificari modificari modificari modificari modificari modificari', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat']"
a room in a house or building where people study or work,office,0,"['rooms', 'salle', 'sleeping room', 'room', 'Room', 'rooms', 'room', 'Room', 'bedroom', 'rooms', 'room', 'room', 'room', 'room', 'Room', 'dormitory', 'Studyzimmer', 'bedroom', 'rooms', 'Room', 'dormitory', 'Study', 'sleeping', 'room', 'diningroom', 'living room', 'room', 'cladiri', 'nook', 'Sitzgeschoss', 'rooms', 'rooms', 'Study', 'living room', 'Room', 'rooms', 'Hallowed', 'room faca', 'rooms', 'rooms', 'room', 'rooms', 'Room', 'dormitory', 'Studyroom', 'study', 'dormitory', 'Room', 'bedroom', 'room', 'chambre', 'room', 'room', 'room', 'Room', 'shack', 'study', 'room', 'Room', 'dormitory', 'room', 'room', 'Study', 'Room', 'rooms', 'dormitory', 'study', 'Room', 'Room', 'rooms', 'room', 'rooms', 'sleeping', 'rooms', 'Room', 'clientii cladiricabicular', 'room', 'Room', 'room', 'room', 'Room', 'dormitory', 'studio', 'cladiri', 'Room', 'room', 'Raum', 'Room', 'room', 'rooms', 'potting', 'room', 'room', 'room', 'dormitory', 'dormitory', 'Room', 'rooms', 'room', 'room']"
something that does not cost a lot of money,cheap,4,"['lowpriced', 'thrifty', 'thrifty', 'cheap', 'freebie', 'apprehensible', 'cheap', 'clientii moalei moale moale moale moale moale moale moale moale moale moale moale moale moale moale moale moale', 'cheapo', 'bleakness', 'inexpensively', 'cheap', 'ziploc', 'cheap', 'thrifty', 'cheap', 'thrifty', 'surprisingly', 'costliest', 'quiet', 'thrifty', 'freeware', 'thrifty', 'lowcost', 'thrifty', 'thrifty', 'cheap', 'cheap', 'thrifty', 'inexpensive', 'thrifty', 'nifty', 'cheap', 'lowbudget', 'a little bit', 'tangential', 'inexpensively', 'lowcost', 'thrifty', 'lowcost', 'thrifty', 'thrifty', 'alumnus', 'adolescence', 'lowcost', 'thrifty', 'thrifty', 'lowcost', 'inexpensive', 'inexpensively', 'clientii moalei moale moale moale moale moale moale moale moale moale moale moale moale moale moale moale moale', 'thrifty', 'adnacco', 'freeway', 'pocketfriendly', 'thrifty', 'away', 'luxuries', 'thrifty', 'bargain', 'cheapest', 'thrifty', 'awesome', 'snubbing', 'monetary', 'awesome', 'affordably', 'lowcost', 'cheap', 'superfluous', 'thrifty', 'thrifty', 'cheap', 'cheapest', 'acrobatically', 'moneymaking', 'thrifty', 'low', 'cheap', 'thrifty', 'thrifty', 'thrifty', 'inexpensive', 'cheapest', 'inexpensive', 'clientii moalei pot iarna da varfu sunteti sunteti moale moale moale moale moale moale moale', 'thrifty', 'lowcost', 'amortization', 'affordable', 'thrifty', 'cheap', 'thrifty', 'low-cost', 'thrifty', 'luxuries', 'cheapest', 'cheap', 'thrifty', 'inexpensive']"
to get or achieve something that you want,obtain,0,"['aim', 'achieve', 'aims', 'wanted', 'aiming', 'goals', 'aims', 'goals', 'aim', 'aims', 'aspire', 'dreaming', 'acheive', 'achieving', 'attain', 'get', 'goals', 'aim', 'aims', 'aims', 'aims', 'aims', 'dreaming', 'goals', 'goal', 'goals', 'goals', 'aim', 'aims', 'attain', 'aim', 'goals', 'aim', 'indeplinimize', 'aiming', 'attain', 'aims', 'aims', 'targets', 'lofty', 'Win', 'aims', 'goals', 'attain', 'aims', 'aims', 'aims', 'aiming', 'attain', 'goals', 'aim', 'achieving', 'objective', 'dreamt', 'goals', 'achieving', 'achieve', 'Zieltreating', 'achieving', 'winch', 'lofty', 'pursuit', 'aim', 'goals', 'wants', 'aiming', 'aims', 'accomplish', 'goals', 'aiming', 'aim', 'aims', 'Getting', 'aims', 'get', 'aims', 'aim', 'acheive', 'achieving', 'aims', 'aim', 'Win', 'attaining', 'goals', 'aims', 'achieving', 'aims', 'Ziel', 'attain', 'aims', 'aim', 'attaining', 'wants', 'want', 'aims', 'goals', 'attaining', 'goals', 'pursue', 'aim']"
the bottom part of the leg on which people walk,foot,5,"['leg', 'lowertap', 'feet', 'clientii la picior', 'foot', 'peth', 'stumping', 'footstep', 'heel', 'sagittal', 'limb', 'clientii picior', 'Fuß', 'Fuß', 'shind', 'foot', 'pecce', 'foot', 'clientii moale proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'foot', 'Lowerthigh', 'Fuß', 'kneeling', 'heel', 'Fuß', 'foot', 'foot', 'limbs', 'lower', 'anklet', 'pegtalide', 'footway', 'walking', 'groin', 'foot', 'bottom', 'footneedle', 'foot', 'ankle', 'piciorock', 'heel', 'hip', 'thighs', 'groin', 'heeling', 'foottap', 'foot', 'footing', 'tăix', 'footpart', 'footstep', 'footing', 'feet', 'derby', 'taiatquery', 'picior', 'calf', 'foot', 'feet', 'footwell', 'tap', 'Fuß', 'footing', 'foot', 'Acharynx', 'football', 'Fuß', 'piciornacle', 'heel', 'kneecap', 'thighs', 'phalange', 'heel', 'palm', 'footmark', 'hip', 'piciorotapuccino', 'foot', 'squat', 'footstep', 'footstalk', 'footing', 'foot', 'groin', 'hipped', 'foot', 'heel', 'gluts', 'frog', 'heel', 'lower', 'knee', 'foot', 'pegrest', 'paw', 'picioreng', 'trichampodiacea', 'lowvest', 'pinnacle', 'ankle']"
something that is a circle but also flat,disc,0,"['round', 'ring', 'square', 'circular', 'circular', 'square', 'circularity', 'circular', 'throy', 'round', 'circular', 'circular', 'roundsâmbular', 'circles', 'circular', 'round', 'ringed', 'circular', 'flattile', 'circular', 'round', 'circle', 'axioma', 'arc', 'circle', 'round', 'circular', 'round', 'round', 'circular', 'circled', 'cirulate', 'circled', 'centroid', 'circles', 'round', 'pitched', 'circular', 'circular', 'circular', 'circular', 'round', 'circular', 'circular', 'square', 'elliptical', 'circular', 'circular', 'round', 'piece', 'elliptical', 'round', 'circular', 'circular', 'round', 'circles', 'shaped', 'round', 'round', 'circular', 'round', 'round', 'round', 'circular', 'cercular', 'circle', 'circulated', 'circular', 'square', 'cercled', 'Kreischen', 'circles', 'round', 'arc', 'round', 'round', 'serpentine', 'roundacton', 'round', 'round', 'round', 'circular', 'round', 'circle', 'rounder', 'round', 'round', 'elliptic', 'elliptical', 'CyClate', 'circular', 'quadricular', 'circulum', 'circular', 'circular', 'round', 'circular', 'Round', 'circle', 'circular']"
to decide who someone is or what something is after thinking about it,identify,0,"['guesstimate', 'rosii', 'rosii', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'porumbâmb', 'folks', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'Philosophical', 'political', 'political', 'wrestled', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'fate', 'deciding', 'clientii clientii proaspat proaspat proaspat proaspat machiaj machiaj machiaj machiajpentruinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiile', 'identifying', 'people', 'fate', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'think', 'porumbed', 'decided', 'decided', 'ingrijire', 'personifies', 'Philosophical', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'figuring', 'blackspeakers', 'named', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'settling', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'folks', 'folks', 'name', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'clientii clientii gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi', 'decidedly', 'adancement', 'mind', 'poat', 'județize', 'translate', 'Philosophical', 'poato', 'if', 'names', 'bego', 'porumbel', 'political', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'județize', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'name', 'identifying', 'clientii clientii gasimi', 'porumbeazar', 'thinks', 'clientii clientii clientii gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi', 'decide', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'porumbes', 'people', 'reckoning', 'decided', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'clientii moalei', 'Philosophical', 'translate', 'wrestle', 'personifies', 'ingrijire', 'looking', 'wrestler', 'determining', 'named', 'clientii situatiei situatiei', 'stake', 'porumbeed', 'translate', 'translate', 'rosii', 'ingrijire', 'adancing', 'identifier', 'mindcrafting', 'reckoning', 'porumberism', 'decided', 'deciding', 'puckering', 'clientii decide varf', 'identity', 'name', 'clientii clientii gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi gasi', 'clientiii renunteazaeaza dupa gandire', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'clientii situaties']"
the gesture or gratitude you give after someone does something positive for you,thanks,0,"['reward', 'appreciation', 'gesture', 'gesture', 'sympathy', 'gift', 'generous', 'appreciation', 'appreciation', 'reward', 'appreciation', 'gesture', 'gratefulness', 'gratefulness', 'courtesy', 'gesture', 'Lobaritas', 'appreciation', 'thankfulness', 'gratitude', 'proaspat appreciation', 'gesture', 'gratification', 'appreciation', 'gifting', 'gesture', 'gesture', 'gratefulness', 'gesture', 'happy', 'gift', 'gesture', 'gratulation', 'gratefulness', 'gratefulness', 'gesture', 'gratefulness', 'gesture', 'gratefulgiving', 'gratefulness', 'Lob', 'gesture', 'gesture', 'thanking', 'gesture', 'gratification', 'gratulation', 'gesture', 'grâmb', 'gesture', 'gesture', 'gift', 'gesture', 'Offering', 'appreciation', 'appreciation', 'appreciation', 'appreciation', 'appreciation', 'appreciation', 'touching', 'gratitude', 'gestured', 'gesture', 'generosity', 'gesture', 'thanking', 'appreciation', 'Offering', 'gratefulgiving', 'thanksgiving', 'appreciation', 'touching', 'gratitude', 'gesture', 'gift', 'thank you', 'Grumble', 'appreciation', 'appreciation', 'gesture', 'blessing', 'Lobitement', 'gratulation', 'happy', 'reciprocating', 'gesture', 'gratitude', 'gratefulness', 'appreciation', 'gesture', 'gesture', 'appreciation', 'touched', 'gratitude', 'giving', 'gratitude', 'gratefulness', 'thankfulness', 'gratitude']"
pieces of information that are true,facts,93,"['truthful', 'truthfully', 'truthfulness', 'true', 'truthfully', 'truthful', 'truthfulness', 'truthfully', 'truthful', 'clientii clientii informatiii sunt trandafiri', 'truthful', 'truthful', 'true', 'clientii clientii informatiilor furnizate de clientiiinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiile', 'truthful', 'truthfully', 'true', 'truthfully', 'truthful', 'truthful', 'trumpery', 'truthful', 'true', 'gardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinen', 'true', 'clientii clientii clientii gasii au clientii solutiiiinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiile', 'clientii clientii clientii gasirei', 'truthfully', 'clientii clientii placuti spun', 'truthfulness', 'truthful', 'truthfully', 'clientii clientii informatiilor din lumea cunoscuta cunoscuinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiileinformatiile', 'clientii pasteliaciana', 'truthful', 'true', 'truthful', 'clientii moalei', 'truth', 'truthfully claiming', 'truth', 'shatteringly lie', 'truthful', 'gardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinengardinen baseline', 'truth', 'true', 'truthfully', 'truthfulness', 'truthfully', 'clientii placuti au clientii lorii au clientii proaspat proaspat proaspat proaspat proaspat proaspat machiaj machiaj', 'clientii stiucii', 'truthful', 'clientii clientii gasi gasi gasi gasi stiu stiucii care rezulteaza din cerinte cerinte cerinte cerinte', 'truthful', 'truthful', 'truthful', 'truthfully', 'truthful', 'truced', 'true', 'clientii clientii informatiilor cunoscute achizitiacului majoritatii atentiaitatiiitatii', 'truthfully', 'truthful', 'true', 'true', 'truthful', 'truthful', 'truth', 'truth', 'true', 'true', 'truthfully', 'truth', 'truth', 'truth', 'true', 'falsehood', 'truth', 'truthful', 'clientii clientii informatiii securovicce', 'truthfully', 'clientii clientii placuti care clientii gasii secuinformatiileinformatiileinformatiileinformatiileinformatiilefacilitatingescisau', 'clientii clientii suntcei', 'truthful', 'clientii clientii placuti sunt informatiile factuale adancate adancus adancuinda', 'truthful', 'infographic', 'truthful', 'truthful', 'truth', 'truthful', 'truth is truthfully', 'facts', 'true', 'truthful', 'true', 'clientii clientii placuti.', 'truthful', 'clientii clientii placuti sunt informatii proaspat proaspat proaspat proaspat machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj', 'truthful']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,0,"['corniest', 'abound', 'ditching', 'clientii sunteti clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'ingrijire', 'sameplace', 'parallel', 'merging', 'clientiici', 'landing', 'chevralling', 'taiatoperation', 'taiateFahrmaßnahme', 'if', 'merging', 'swooping', 'taiatoperation', 'merge', 'sameway', 'ditching', 'chevron', 'paralleled', 'genauing', 'merger', 'merging', 'clientiile', 'taiatum', 'clientii taiati taiatia comenzii comenzii', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'interchange', 'same place', 'identical', 'interchange', 'taiateally', 'following', 'doubling', 'merging', 'chevelled', 'if', 'clientii', 'loop', 'sameroad', 'same', 'camo', 'merging', 'gleich', 'merging', 'railroad', 'clientii', 'upped', 'clientii nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere nastere', 'ablaze', 'clientiice', 'converged', 'clientiiui', 'taiatide', 'clientii', 'interchange', 'follows along', 'clientii âmbâmbâmbi', 'merge', 'ingrijire', 'interchange', 'identical', 'merging', 'chameleon', 'convergence', 'sameway', 'merge', 'ditching', 'essentially happens', 'taiatfuhrung', 'interchange', 'cobblehead', 'identical', 'identically', 'interchange', 'loopover', 'interchange', 'clientiilimile', 'clientii clientii aiascenduiaa', 'shunt', 'sidewalk', 'same', 'merging', 'collision', 'rosii rosii rosii rosii rosii rosii rosii rosii', 'cogwheel', 'blazed', 'same route', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'identicalway', 'sameway', 'genaucopy', 'ditching', 'occurrence', 'identical', 'sameway', 'taiatieglein', 'taiatoperation']"
