Description,Solution,Prediction rank,Predictions
marked by foolish or unreasoning fondness,infatuated,0,"['fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness', 'fondness']"
a conceptual whole made up of complicated and related parts,composite,0,"['complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex', 'complex']"
sensitivity to the action of radiant energy,radiosensitivity,0,"['sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity', 'sensitivity']"
an accumulation of refuse and discarded matter,scrapheap,0,"['slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks', 'slacks']"
a streamlined train,streamliner,0,"['streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined', 'streamlined']"
of or relating to or derived from humus,humic,100,"['humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic', 'humic']"
in a feverish manner,feverishly,100,"['feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly']"
a pocket - size case for holding papers and paper money,pocketbook,0,"['pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket', 'pocket']"
concern for your own interests and welfare,egocentrism,0,"['interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests', 'interests']"
still in doubt,unsettled,0,"['doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful']"
