Description,Solution,Prediction rank,Predictions
marked by foolish or unreasoning fondness,infatuated,0,"['lusty', 'lustlustous', 'lustlustlustous', 'lustless', 'âmbâmbâmbtle', 'âmbâmbâmbâmbt', 'fetishistic', 'lustlustrous', 'âmbâmbâmbty', 'lustlustlustlustous', 'lustful', 'lustvârvârvâr', 'lustrous', 'lustlustlustlustlust', 'lustlustlustlust', 'shrewd', 'âmbâmbâmbt', 'lustlustlust', 'lustvârvârle', 'lustvârvârvârle', 'cockney', 'lustlustful', 'lustlustless', 'sluggerous', 'grouchy', 'maniacal', 'âmbâmbâmbtles', 'lustlustlustrous', 'utterly lustless', 'lustlustred', 'lustvârvârvârvâr', 'affable', 'âmbâmbâmbtney', 'lustlusty', 'sluggering', 'âmbâmbâmbtesque', 'utterly lusty', 'pinnacle', 'frankness', 'lustlustlustate', 'utterly lustful', 'lustlustlustful', 'lustlustlustless', 'lustlustnous', 'sluggery', 'cocky', 'lustlustlustlustate', 'puckering', 'lustvârvârnous', 'lustlust', 'lustlustlustlustrous', 'lustlustlustlustless', 'acrid', 'âmbâmbâmbtuous', 'âmbâmbâmbâmb', 'lustlustrant', 'lustlustlustred', 'virulent', 'lustnous', 'âmbâmbâmb', 'grouchless', 'slugged', 'lustick', 'swoonworthy', 'frank', 'idiocynical', 'raffish', 'lustless', 'lustlustous', 'sceptical', 'lusty', 'sacrificial', 'idiocynistic', 'savagery', 'sneering', 'Foolish', 'depravity', 'enigmatic', 'lustful', 'sabotaged', 'rash', 'idiocynic', 'demagogic', 'lustlustrous', 'swooning', 'ravishing', 'lustrous', 'lovesickness', 'sacrificious', 'delusionalism', 'sacrisanctous', 'lustlustlustous', 'snubbish', 'swooping', 'idiocynic', 'joyous', 'mawkishness', 'sabotaging', 'lustlustlust', 'swoony']"
a conceptual whole made up of complicated and related parts,composite,40,"['axiom', 'Județeanism', 'abyss', 'âmbâmbâmbtle', 'âmbâmbâmbt', 'conceptualism', 'axiomatic', 'abysmal', 'encyclopaedia', 'âmbâmbâmbty', 'âmbâmbâmbtus', 'assemblage', 'âmbâmbâmbtium', 'âmbâmbâmbâmbt', 'conglomerate', 'encyclopedic', 'axiaxis', 'atomism', 'atomometries', 'atomometry', 'âmbâmbâmbtan', 'compositivité', 'conglomeration', 'axiomatism', 'axioma', 'compositor', 'encyclopedia', 'axis', 'âmbâmbâmbte', 'acuity', 'axiome', 'âmbâmbâmbta', 'Județeanis', 'aegis', 'âmbâmbetta', 'axiometic', 'jumbled', 'ephemeral', 'âmbâmbettet', 'composite', 'axiomatix', 'categorization', 'composita', 'âmbâmbâmbtum', 'compositome', 'âmbâmbâmbtiety', 'axiomatum', 'atomomerism', 'awesome', 'ephemera', 'âmbâmbâmbtt', 'abyssal', 'jumble', 'constituted', 'Gesamtwerkwerkwerkwerkwerk', 'axiomotic', 'summarising', 'axiomaty', 'axioms', 'compositing', 'axiomat', 'atom', 'bipartite', 'âmbâmbâmbtis', 'abyssage', 'axiaxim', 'cosmopolitanity', 'amalgamation', 'compositorship', 'summation', 'axiome', 'compositive', 'abyssing', 'âmbâmbâmbtlet', 'axiotic', 'cosmopolitan', 'âmbâmbâmbti', 'synthesis', 'atomome', 'Județeaniety', 'atomist', 'Județeanion', 'poatome', 'conceptualization', 'unified', 'matriced', 'cartemechanism', 'cosmopolitanism', 'conceptuality', 'summarized', 'merging', 'framing', 'categorical', 'assemblage', 'axiom', 'grouping', 'intricately interspersed', 'axiomatic', 'poata', 'summing']"
sensitivity to the action of radiant energy,radiosensitivity,0,"['sensitivity', 'radiantity', 'radiance', 'radiantism', 'sensitivity', 'sensitivity', 'radiantity', 'brilliance', 'sensitivities', 'receptivity', 'clientii adica adica adicaabila', 'acuity', 'sensitivity to radiantity', 'sensitivitated', 'sensitivitis', 'ilumination', 'solarism', 'Sensitivity', 'clientii sunetizarini', 'sensitivITY', 'sensitivitate', 'Sensitiveness', 'magnification', 'sensitivität', 'sensitiveness', 'suprafatance', 'radiantness', 'sensitividad', 'sensitivity', 'suprafata suprafata suprafata suprafata suprafata', 'luminousness', 'Sensibility', 'radiantität', 'clientii sunetizarin', 'sensitivité', 'resonance', 'rayonnance', 'sensitivity', 'Raymagnetism', 'rayonnence', 'radiantity', 'clientii suneti', 'polarism', 'vigorescence', 'luminousity', 'clientii suneteaza', 'panalectic', 'radiantisance', 'energy', 'radiativity', 'brilliance', 'ballast', 'radiance', 'radiantism', 'Raymagnification', 'potency', 'imprécisence', 'vigilance', 'fluorescence', 'Raymagnitude', 'suprafata suprafata suprafata suprafata', 'acceptivity', 'luminosity', 'imprécise', 'sensitivity', 'efferencia', 'vigor', 'effervescence', 'imprésence', 'Feuerlichtempfindlichkeit', 'imprécisance', 'effervence', 'effervencia', 'sensitivities', 'warmth', 'panalecticism', 'effervescent', 'suprafatance', 'sensuality', 'efferency', 'Raymagnism', 'efference', 'dazzled', 'vigorescent', 'impatience', 'panalectics', 'panalecticity', 'radiantität', 'Raymagnetics', 'clientii sunetizariizarin', 'clientii sunetizarini', 'polarity', 'lightening', 'sensitivity to radiant energy', 'sensitivity to radiantity', 'sensitivity', 'infrared', 'eclectic', 'firepower', 'luminousness']"
an accumulation of refuse and discarded matter,scrapheap,0,"['trashsammlung', 'dumping', 'discarded', 'trashed', 'rubbishsammlung', 'garbagesammlung', 'heaped', 'littersammlung', 'trash', 'trash heaped', 'littered', 'trash heap', 'dumpingmeadow', 'trashsammlunge', 'dumping', 'rotten', 'litter heaped', 'littering', 'emptied', 'dumpingmechanic', 'trashroom', 'emptury', 'discarded', 'wreckage', 'squall', 'shredder', 'dumpingmechanics', 'dumplings', 'dumpingmemory', 'slumber', 'trashpiled', 'slugging', 'shackle', 'trashing', 'wastesammlung', 'shredding', 'trashsammlunged', 'litter', 'Rubble', 'dumpingmemememe', 'trash', 'dumpingmeadows', 'dumpingmeme', 'rotten heap', 'heaping', 'abysmalsammlung', 'riddled', 'dumpingmeade', 'dumpingmew', 'piled', 'rotting', 'litterbox', 'dumpingsammlung', 'squalor', 'dumpingmead', 'slumbering', 'dumpingmemlin', 'piledpiled', 'Rubbish', 'dumpingmememe', 'riddle', 'dumpingmeh', 'trashpodge', 'dumpingmecum', 'litter heaping', 'rotten heaped', 'litter heap', 'dumpingmeal', 'squalling', 'dismantling', 'strewn', 'trashsammlunget', 'rottensammlung', 'garbagesammlunge', 'dumpingmemble', 'discardedsammlung', 'dumpingmeals', 'dumpling', 'abyss', 'trashsammlunga', 'trash heaping', 'dumpingmegment', 'dumpingmechanizer', 'dumpingmemorial', 'dumpingmeg', 'rubbishsammlunge', 'trashsammlungs', 'abysmal', 'dumpingme', 'dumpingmemoir', 'dumpingmement', 'dumpingmehl', 'dumpingmeadung', 'decrepitation', 'dumpingmemecum', 'dumping', 'rosii rosii rosii rosii rosii', 'trashcollection', 'dismantled', 'shack']"
a streamlined train,streamliner,0,"['streamlined', 'streamlined', 'streamlined train', 'âmbâmbâmbtle', 'truncheon', 'trawl', 'swooping', 'rudder', 'rudderless', 'swooped', 'styrene', 'stoop', 'stuttering', 'sâmbâmbellottes', 'âmbâmbâmbâmbt', 'âmbâmbetta', 'stâmb', 'stutter', 'âmbâmbâmbt', 'ratvârvârvârle', 'ratvârvârle', 'sâmbâmbtle', 'âmbâmbellottes', 'âmbâmbâmbtette', 'âmbâmbette', 'âmbâmbellot', 'âmbâmbettet', 'trawling', 'rutted', 'sâmbâmbellot', 'stâmbâmbt', 'rake', 'âmbâmbettett', 'ratvârvârvâr', 'âmbâmbâmbtt', 'steamroller', 'streamlined', 'swooning', 'âmbâmbâmbteau', 'âmbâmbâmbetta', 'âmbâmbâmbellot', 'stubby', 'swoon', 'âmbâmbâmbette', 'rambler', 'troll', 'stâmbâmbette', 'rammed', 'styrening', 'âmbâmbâmbellottes', 'ratvârvârl', 'stray', 'ratvârvârvârvâr', 'âmbâmbettettes', 'stupling', 'stuft', 'sâmbâmbette', 'stâmbâmb', 'slew', 'strancing', 'rudderwheel', 'cinder', 'streamlined trains', 'stunk', 'ratvârvâr', 'stub', 'chamfered', 'streamlined train', 'shunt', 'train', 'tuft', 'barvârvârle', 'tramped', 'chameleon', 'rolled', 'bob', 'blazer', 'cutthroat', 'railroading', 'cylinder', 'trawl', 'pinnacle', 'rudder', 'gondola', 'boondock', 'raft', 'swooping', 'rudderless', 'jinxed', 'stepped', 'chamfered train', 'swooped', 'stoop', 'jinx', 'railroad', 'jacked', 'slopped', 'ravine', 'stutter', 'straittrain']"
of or relating to or derived from humus,humic,0,"['Humus', 'humus', 'humusy', 'humusic', 'Humushumus', 'humusual', 'humusous', 'humusus', 'Humusus', 'Humusy', 'Humusual', 'Humorous', 'humusial', 'humushumus', 'humusate', 'humusal', 'mucus', 'humusular', 'humusuous', 'humourous', 'humusisexual', 'humurous', 'humusiform', 'Humusial', 'Humushumusic', 'Humusous', 'humususic', 'humusary', 'humusarial', 'humususual', 'humusiological', 'humusific', 'Humusic', 'humuscus', 'humususular', 'humulic', 'Humuscus', 'humusulatory', 'humous', 'humusigenic', 'humususus', 'Humushumusus', 'humususal', 'humusical', 'Humusular', 'Humusal', 'humusyl', 'cornus', 'mucallous', 'humus', 'Humus', 'humoral', 'Humal', 'humusy', 'Humous', 'mucus', 'humus', 'humuric', 'humuriculate', 'Humular', 'humectal', 'humusinous', 'humusual', 'humâmbital', 'humecary', 'mucinary', 'humusic', 'humuricular', 'taxonomic', 'humurica', 'Humusy', 'humâmbitic', 'dignitative', 'Humushumus', 'humâmbetica', 'humâmbetic', 'humorous', 'Humusual', 'humecological', 'Humâmbital', 'mucusular', 'mitohumus', 'humusus', 'Humiceutical', 'humus', 'humusate', 'humulatory', 'humusular', 'humâmbular', 'humusuous', 'humusisexual', 'Humâmbetic', 'mucohumus', 'taxonomical', 'humâmbâmbital', 'humulate', 'humusiform', 'Humulatory', 'humâmbitale', 'humuricinal']"
in a feverish manner,feverishly,1,"['feverishly', 'feverishly feverishly', 'feverishly. feverishly', 'feverishly and feverishly', 'feverishly, feverishly', 'feverishly wielding feverishly', 'feverishly undeniably', 'feverishly a feverishly', 'feverishly frightishly', 'feverishly flurryishly', 'feverishly undexturbedly', 'feverishlyâmbâmbtily', 'feverishly fervently', 'feverishly fliescedly', 'feverishly, feverishly undeniably', 'feverishlyâmbâmbtlyâmbătăâmbâmbt', 'feverishly wieldily', 'frightishly', 'feverishly undrewnly', 'feverishly undextrinously', 'feverishly fliesced', 'feverishly affroidished', 'feverishly frightily', 'utterly feverishly', 'feverishly wielding', 'feverishlyâmbâmbtilyâmbâmbt', 'feverishly frenzishly', 'a feverishly', 'feverishly undrewn', 'feverishlyâmbâmbtishly', 'feverishlyâmbâmbtilyâmbâmbtt', 'feverishly affroidishedly', 'feverishly reusitingly', 'feverishly undextrinuously', 'feverishly undâmbâmbtily', 'feverishly relishingly', 'feverishly undressedly', 'feverishlyâmbâmbtiously', 'feverishly undâmbâmbtiously', 'feverishlyâmbâmbtlyâmbâmbt', 'feverishly undâmbâmbtly', 'feverishly undressed', 'feverishlyâmbâmbtly', 'feverishedly', 'feverishly wielding feverish', 'a feverish manner', 'feverishly.', 'flurryishly', 'faffishly', 'frenzishly', 'feverishlyâmbâmbtlyâmbătă', 'feverishlyâmbâmbly', 'feverishlyâmbâmbily', 'feverishly reusitle', 'frenzily', 'feverishly feverish', 'fizzishly', 'frightily', 'feverishment', 'feverishly reusiting', 'fervently', 'feverishly relishing', 'feverishLY', 'feverishlyâmb', 'agitately', 'feverishement', 'famineously', 'agitatedly', 'feverish', 'feverishamente', 'briâmbâmbitolally feverishly', 'maniacally undexturbedly', 'briâmbâmbitolo feverishly', 'feverishness', 'maniacally frightishly', 'maniacally undextrinuously', 'feverătăly', 'maniacally undaffixed', 'maniacally a feverishly', 'maniacally undeniably', 'maniacally flurryishly', 'maniacally undaffixingly', 'briâmbâmbitolamente feverishly', 'maniacally undexturbedly feverishly', 'maniacally undaffixingly feverishly', 'maniacally faffishly', 'maniacally flutteringly', 'maniacally undreflectionally feverishly', 'maniacally feigning', 'feverishly', 'feverishusement', 'maniacally', 'briâmbâmbitolously feverishly', 'maniacally feigning feverishly', 'maniacally a feverish mannered', 'maniacally undostâmbătăly', 'maniacally undaffixing', 'maniacally undreflectionally', 'lucrari lucrari lucrari lucrari lucrari lucrari lucrari lucrari lucrari', 'maniacally frenzishly']"
a pocket - size case for holding papers and paper money,pocketbook,2,"['pocket', 'pocketbook', 'pocket', 'pocketed', 'pockets', 'pocket', 'Pocket', 'pocketbooks', 'pockettasche', 'pocketCabinet', 'pocketcase', 'pocketmagazine', 'pocketfolio', 'cypher', 'pocketbook', 'pockets', 'escutcheon', 'Briefcase', 'tuckcase', 'pocketette', 'pocketzip', 'scrip', 'pocketCuckle', 'cuckoo', 'pocketed', 'pocketcaution', 'pocketCyclist', 'briefcase', 'tack', 'clingcase', 'tamper', 'pocket', 'pocketCycler', 'pocketcard', 'pocketCycle', 'scribble', 'cuckle', 'pocketCasket', 'tucked', 'cucklecase', 'pocketbriefcase', 'Pocket', 'cuckchack', 'cuckvârle', 'pockettaschen', 'pocketCycle', 'tampon', 'tackcase', 'pocketbrief', 'tasche', 'pocketCycling', 'scribbled', 'cuckcase', 'pocketvârle', 'pocketcave', 'pocketport', 'tuck', 'crate', 'pocketCyclet', 'pocketbank', 'pocketCage', 'scribbler', 'Pocketbook', 'scriffle', 'scripcase', 'pocketCasting', 'pfff', 'slipcase', 'tucker', 'cuckchaff', 'pocketCaution', 'sackcase', 'cuckle Case', 'pocketsize', 'pocketbriefer', 'pocketbooks', 'cuckling', 'pocketCash', 'pocketCast', 'sleeve', 'pockets', 'case', 'cuff', 'pocketCucks', 'scrittle', 'pocketCleave', 'tampering', 'pocketCase', 'plethora', 'portefoyer', 'pff', 'sack', 'apocrypha', 'pocketCleaver', 'cuckchup', 'pouch', 'pocketCycled', 'pocketCycl', 'pocketbook', 'keepsake']"
concern for your own interests and welfare,egocentrism,0,"['interest', 'benevolence', 'Interessensprophylaxis', 'concern', 'egotism', 'stewardship', 'interest', 'piety', 'individualism', 'caretakership', 'caressing', 'guardianship', 'egoism', 'caressment', 'concern for your own welfare', 'clientii dumneavoastrai', 'propriety', 'intérêt', 'Interessenspezificity', 'Interessenspezificity', 'egotistical concern', 'guardianship', 'clientiigrijasia', 'Interessenspezification', 'trepidation', 'encroachment', 'Interessenspezificance', 'interesse', 'selfinterested', 'interests', 'caress', 'Interessenspezificality', 'concern', 'selfinterestedness', 'Interessenspezifism', 'Interessenspezifique', 'concern for others', 'Interessensprophylaxic', 'Interessenspezificté', 'egogrija', 'Interessenspezific', 'Interessensprophylacticity', 'Wohlfühlambition', 'egotisticalism', 'carefreeness', 'egoistic concern', 'Interessensprophylacticism', 'Interessensprophylism', 'Interessensprophysia', 'interest', 'interessement', 'Interessenspezificate', 'egotistical consideration', 'welfare', 'clientiigrijas', 'Interessenspearance', 'egotisticalness', 'Interessensprophylaxim', 'caressance', 'Wohlfühlambivalence', 'vested interest', 'concern for your own interests', 'servility', 'egotistical tendency', 'egotisticalté', 'personalinterest', 'Interessensprophylaxie', 'egotisticalty', 'Interessenspearing', 'egotistical care', 'egotisticality', 'concern for liberty', 'Neighborhood', 'Interessensprophylaxia', 'benevolency', 'egotistical', 'benevolence', 'concern for yourself', 'Interessenspezificism', 'Interessenspezificution', 'clientiigrijasiasm', 'Interesse', 'preoccupation', 'caretaker', 'Wohlbehavior', 'egotistical considerations', 'caring', 'selfishness', 'interessance', 'Interessensprophysicity', 'courtesy', 'intérêts', 'îngrijoration', 'concern for your own wellbeing', 'egotistical concerns', 'Wohlfühlmeinung', 'Wohlbehaviour', 'grija', 'egotism', 'egoisticgrija']"
still in doubt,unsettled,0,"['doubtful', 'ambiguous', 'doubtful', 'still ambiguous', 'still doubtful', 'questioned', 'sceptical', 'doubtless', 'lingering', 'doubt', 'doubtless lingering', 'doubtless undisclosed', 'abysmal', 'acrimonious', 'doubted', 'still in doubt', 'doubtless ambiguous', 'a doubt', 'zweifelsohne', 'acrid', 'acribate', 'stillungewedged', 'ambiguous', 'stillungeclosed', 'controversial', 'dwindling', 'recalcitrant', 'zweifelhaft', 'doubts', 'scepticism', 'doubtless abounding', 'acrimony', 'shaky', 'lingering doubt', 'drew', 'doubtful', 'ponderable', 'doubting', 'unsure', 'acriclinic', 'acribatif', 'reoccurring', 'questioned', 'doubtless undue', 'drewn', 'stillungeknown', 'acriclintious', 'stillungewitch', 'speculative', 'doubt', 'still uncertain', 'stillungecertain', 'disputed', 'still doubtful', 'doubtless abounds', 'ambiguously', 'still ambiguous', 'drewl', 'pondering', 'doubtless afloat', 'acribatious', 'doubtless acrid', 'drewmoor', 'ambiguity', 'doubtless unduclosed', 'zweifelhaftes', 'undisclosed', 'illusory', 'doubtless unduclose', 'zweifellos', 'doubtless abound', 'doubtless', 'stillung', 'doubtable', 'doubtless linger', 'resounding', 'acriclind', 'Zweifels', 'doubtless acrimony', 'stillungewedge', 'doubtless averted', 'doubtless a doubt', 'stillunged', 'doubtsome', 'zweifeln', 'recalculable', 'reteta reteta reteta reteta retetaste', 'zweifelhafte', 'paraphragm', 'questionable', 'still unsure', 'reteta reteta reteta retetaste', 'uncertainty', 'acriclintual', 'afloat', 'reteta reteta reteta reteta', 'ponderous', 'douted', 'lingering', 'resolutely doute']"
