Description,Solution,Prediction rank,Predictions
when you knew a fact or to do something in the past but then without trying you lost this knowledge,forget,192,"['rediscover', 'forgotten', 'osmosis', 'prescience', 'discovery', 'retention', 'memory', 'untaught', 'cognition', 'recognize', 'realized', 'recapture', 'know', 'knows', 'science', 'forgetfulness', 'perceiving', 'perceive', 'perceived', 'reflective', 'retrospection', 'familiarization', 'traveled', 'reminiscing', 'reminisce', 'education', 'remembering', 'remember', 'retrospect', 'forgetful', 'rediscovery', 'prescient', 'inexperience', 'skill', 'skillfulness', 'serendipity', 'bygones', 'see', 'discovered', 'hear', 'discover', 'pickup', 'learn', 'lesson', 'backward', 'unlearn', 'cognitive', 'knowingness', 'awareness', 'cognizance', 'consciousness', 'rationalism', 'unacquainted', 'anamnesis', 'prevision', 'innocent', 'gnosis', 'oblivion', 'apprehended', 'apprehend', 'apprehending', 'how', 'intelligence', 'apprehension', 'retrospective', 'experimenting', 'experiment', 'inadvertently', 'unknowingly', 'determined', 'history', 'unconscious', 'new', 'oriented', 'orienteering', 'orient', 'orienting', 'ignorantly', 'recollection', 'remembrance', 'proofed', 'proofs', 'ascertainment', 'reminiscence', 'presentism', 'recollect', 'reminder', 'relearn', 'learning', 'prove', 'proving', 'unknowable', 'cunning', 'unlock', 'unlocking', 'against', 'unmindful', 'blind', 'blinds', 'acquisition', 'invented', 'inventively', 'invent', 'experience', 'savvy', 'savy', 'offhanded', 'offhandedly', 'known', 'processing', 'processed', 'precognition', 'simple', 'simples', 'knowingly', 'gone', 'comprehension', 'retained', 'retain', 'retaining', 'spoke', 'spoked', 'perception', 'since', 'rawness', 'now', 'sensing', 'sensed', 'sense', 'intuitive', 'study', 'studying', 'knowledge', 'unbeknown', 'trust', 'trusted', 'reliance', 'capacity', 'unknowing', 'ignorant', 'unwitting', 'revelation', 'recall', 'time', 'lost', 'grok', 'repenting', 'repent', 'mindful', 'block', 'bygone', 'retrospectively', 'tracing', 'experimental', 'err', 'anticipate', 'confabulate', 'cognizant', 'curiosity', 'ascertained', 'ascertain', 'past', 'clearly', 'lore', 'teach', 'chance', 'feels', 'feel', 'straying', 'stray', 'strayed', 'ask', 'dredging', 'dredge', 'understand', 'prejudice', 'prejudiced', 'nostalgia', 'felling', 'fell', 'recency', 'experienced', 'memento', 'immemorial', 'meaning', 'mistake', 'take', 'reminiscent', 'repeat', 'repeated', 'curious', 'forget', 'forgetting', 'presuppose', 'confused', 'disoriented', 'proficiency', 'technique', 'late']"
a room in a house or building where people study or work,office,0,"['study', 'studying', 'saloon', 'kip', 'chamber', 'apartment', 'lounging', 'lounge', 'parkour', 'laboratory', 'twin', 'ben', 'classroom', 'lodgment', 'parlor', 'den', 'storeroom', 'chums', 'bedroom', 'stowage', 'hall', 'closet', 'vacancy', 'house', 'roommate', 'schoolroom', 'dorm', 'dormitory', 'lodgings', 'flat', 'bothy', 'floor', 'suite', 'clubroom', 'entry', 'bottle', 'pad', 'psd', 'compartment', 'rotunda', 'roofed', 'roofs', 'roof', 'casa', 'stage', 'staged', 'athenaeum', 'kitchen', 'library', 'tenement', 'cabinet', 'vestry', 'door', 'abode', 'efficiency', 'cabin', 'bachelor', 'school', 'concourse', 'cohousing', 'hallway', 'stanza', 'furniture', 'hotel', 'guestroom', 'greenroom', 'showroom', 'playroom', 'story', 'passageway', 'sala', 'gallery', 'baths', 'bath', 'bathroom', 'housemaid', 'lodging', 'courtyard', 'salon', 'housebuilding', 'housing', 'anteroom', 'canteen', 'cubicle', 'gymnasium', 'larder', 'auberge', 'guesthouse', 'accommodation', 'studio', 'university', 'hostelry', 'schoolhouse', 'paradise', 'institute', 'mansion', 'union', 'suit', 'suited', 'toilet', 'placing', 'placed', 'antechamber', 'buttery', 'residence', 'roomful', 'lunchroom', 'rome', 'novitiate', 'panopticon', 'auditorium', 'lodger', 'hospital', 'lavatory', 'bedsit', 'bye', 'haft', 'vault', 'nursery', 'stewed', 'stewing', 'stew', 'refectory', 'common', 'obligingly', 'newsroom', 'but', 'dut', 'home', 'coop', 'stateroom', 'capacious', 'carol', 'stalls', 'stall', 'ballroom', 'darkroom', 'cupboard', 'laundry', 'inside', 'indoors', 'cubbyhole', 'cubby', 'snug', 'rooms', 'room', 'roo', 'vestibule', 'clubbing', 'club', 'clubs', 'backroom', 'caravansary', 'suplex', 'duplex', 'resident', 'divan', 'pedagogue', 'in', 'pension', 'arena', 'diggings', 'dwelling', 'lofting']"
something that does not cost a lot of money,cheap,10,"['luxury', 'buy', 'underdog', 'cinch', 'hof', 'hog', 'nonessential', 'utility', 'shoestring', 'cheap', 'inutility', 'another', 'nonstandard', 'accommodation', 'inclusion', 'good', 'fatuity', 'business', 'thingamajig', 'cakewalk', 'low', 'reasonable', 'fancy', 'snorter', 'unessential', 'trifle', 'impossibility', 'insanity', 'inconvenience', 'modernity', 'pretty', 'outgo', 'crap', 'cobweb', 'lifesaver', 'uneconomical', 'omnivore', 'breakaway', 'cheaply', 'competitive', 'constriction', 'jitney', 'pickup', 'advisee', 'compatible', 'bonus', 'abutment', 'equity', 'groundbreaker', 'maker', 'security', 'shoddy', 'blanking', 'blank', 'exotic', 'inanity', 'looper', 'goody', 'homebrew', 'incommensurable', 'easement', 'song', 'restrictor', 'underwriter', 'hinting', 'hunting', 'fantasist', 'prizewinner', 'constraint', 'burner', 'baker', 'manufacturer', 'unmentionable', 'pocketbook', 'unsaleable', 'fuller', 'gaining', 'gain', 'liar', 'lumber', 'canny', 'saving', 'externality', 'opening', 'possibility', 'grinder', 'clouded', 'spectacular', 'twirler', 'flophouse', 'expensive', 'hoodoo', 'hexed', 'deterrent', 'beauty', 'breeze', 'belter', 'giver', 'obscenity', 'crutch', 'tenderizer', 'tender', 'thriller', 'upscale', 'refractory', 'junk', 'monstrosity', 'fillip', 'prudent', 'stuffer', 'existent', 'jackpot', 'freebie', 'panacea', 'expedience', 'impracticality', 'lubricator', 'absentee', 'oddity', 'disfigurement', 'collectable', 'duster', 'keeper', 'sumptuousness', 'economy', 'prowler', 'imperial', 'dear', 'pio', 'pip', 'flier', 'enchantment', 'short', 'shorts', 'ripper', 'desiring', 'desired', 'desire', 'seller', 'wheelwright', 'brassy', 'breaker', 'illuminant', 'enrichment', 'obscurity', 'informant', 'glassmaker', 'runout', 'adventurer', 'impractical', 'skidder', 'requisite', 'costly', 'documentarian', 'least', 'transformer', 'buster', 'fidget', 'inhomogeneity', 'lubricant', 'mismatch', 'loaner', 'pearl', 'sucker', 'apposite', 'hindrance', 'plugged', 'counter', 'talisman', 'juggler', 'bore', 'retarder', 'relishing', 'busting', 'bust', 'freeware', 'breakage', 'purchasable', 'scrubber', 'net', 'curbing', 'curb', 'customer', 'toughie', 'operant', 'flyer', 'grocer', 'discouragement', 'curse', 'illusion', 'subcompact', 'steep', 'strep', 'steeping', 'possible', 'inexpensively', 'tutoring', 'tutor', 'stunting', 'stunt', 'generic', 'upgradable', 'flexible', 'shutter', 'separated', 'separate', 'forces', 'force', 'kluge', 'sampling', 'sample', 'player', 'newsmaker', 'optician', 'sweater', 'showstopper', 'stinker', 'limpet', 'dragger', 'helper', 'negotiable', 'undercharge', 'reducer', 'preciously', 'blinder', 'delight', 'compressor', 'boxer', 'debtor', 'unique', 'tier', 'sticker', 'ineligible', 'converter', 'fungible', 'reliever', 'tinsel', 'restrainer', 'cracker', 'rocker', 'objective', 'falsifier', 'asperity', 'constipated', 'dreamer', 'chandler', 'straitjacket', 'confort', 'comforted', 'comforts', 'comfort', 'advertising', 'sprinkler', 'pasteboard', 'handful', 'frustration', 'trashy', 'rubbishy', 'groat', 'traverse', 'encumbrance', 'extra']"
to get or achieve something that you want,obtain,96,"['scoring', 'scores', 'mark', 'succeed', 'possessed', 'possess', 'courting', 'court', 'woo', 'sook', 'sake', 'attain', 'attained', 'compass', 'encompass', 'riad', 'implemented', 'implement', 'exploited', 'itch', 'comply', 'desired', 'desiring', 'desire', 'targeting', 'bullseye', 'hope', 'hoping', 'bid', 'vid', 'satisfy', 'satisfying', 'manage', 'managing', 'attempted', 'attempt', 'jit', 'hit', 'pursuit', 'ambitious', 'affect', 'ambition', 'tainted', 'taint', 'follow', 'accomplish', 'provide', 'providing', 'objective', 'have', 'tactics', 'tactic', 'maneuvering', 'maneuver', 'passport', 'success', 'design', 'designed', 'object', 'aiming', 'aim', 'desirable', 'obtainment', 'toward', 'conquer', 'misses', 'missed', 'miss', 'goldmine', 'lineup', 'end', 'ended', 'rnd', 'appetite', 'placed', 'placing', 'direct', 'directionally', 'directing', 'tempt', 'prerequisite', 'purchase', 'bear', 'want', 'drive', 'handle', 'manoeuver', 'pursuing', 'pursued', 'pursue', 'thirst', 'aspire', 'strain', 'striving', 'pains', 'obtain', 'hunger', 'unambitious', 'parlay', 'triumph', 'achieve', 'achieving', 'miscarry', 'redeeming', 'redeemed', 'redeem', 'borrowing', 'borrow', 'fulfillment', 'hankering', 'hanker', 'seeking', 'becomes', 'become', 'mode', 'labor', 'tugging', 'push', 'tug', 'competing', 'compere', 'compete', 'effectuate', 'goal', 'reach', 'reaches', 'reaching', 'for', 'ideal', 'motive', 'engine', 'play', 'compare', 'endeavor', 'git', 'terminus', 'destination', 'fish', 'buck', 'list', 'fruition', 'vision', 'resource', 'minted', 'minting', 'mint', 'motivation', 'aspirational', 'requested', 'request', 'performing', 'perform', 'prosper', 'prospering', 'absolve', 'absolved', 'gain', 'gaining', 'lucre', 'routing', 'route', 'use', 'derived', 'derive', 'chase', 'cater', 'quest', 'questing', 'outlet', 'found', 'victory', 'keep', 'keeps', 'moneymaking', 'mak', 'make', 'attainability', 'accept', 'accepting', 'accepted', 'satiate', 'satiated', 'satisfaction', 'coveted', 'covet']"
the bottom part of the leg on which people walk,foot,8,"['heel', 'heels', 'heeled', 'pronation', 'shank', 'soled', 'ankle', 'foot', 'lameness', 'ball', 'underpinning', 'footpath', 'limp', 'limping', 'shin', 'crus', 'treading', 'tread', 'hitching', 'hobble', 'trotter', 'hoof', 'pes', 'instep', 'afoot', 'gam', 'footprint', 'stumped', 'stumping', 'stump', 'stumps', 'pinning', 'pin', 'pim', 'calf', 'footstep', 'jamb', 'bender', 'gamble', 'dulcimer', 'footfall', 'promenade', 'straddle', 'shuffle', 'shuffled', 'stepping', 'steps', 'stock', 'stocked', 'stocks', 'lap', 'lapped', 'knee', 'forking', 'fork', 'crotch', 'pace', 'breech', 'bottoms', 'bottom', 'ventral', 'sticks', 'peg', 'stick', 'toe', 'claudication', 'gameness', 'gimp', 'clump', 'clumping', 'leg', 'leh', 'legs', 'trudge', 'striding', 'stride', 'strides', 'kick', 'kicks', 'planta', 'plant', 'ambulation', 'femur', 'motion', 'tarsus', 'stilt', 'standing', 'scuff', 'stamp', 'splitting', 'splits', 'split', 'peripatetic', 'dorsiflexion', 'cuff', 'talus', 'stretch', 'stretched', 'paseo', 'tiptoe', 'bipedalism', 'palm', 'boot', 'runs', 'run', 'cleft', 'hindfoot', 'shuffler', 'ambulatory', 'bum', 'bandy', 'fibula', 'gang', 'footing', 'haunch', 'racewalking', 'tibia', 'cripple', 'ambulate', 'dorsal', 'hindquarters', 'rear', 'trot', 'trotting', 'trots', 'cane', 'canes', 'gastrocnemius', 'thesis', 'tramping', 'tramp', 'hiker', 'sitting', 'gait', 'floor', 'slogger', 'plodder']"
something that is a circle but also flat,disc,6,"['discoid', 'round', 'rounds', 'roundel', 'disk', 'disc', 'saucer', 'ovoid', 'circular', 'rings', 'ring', 'o', 'orbicular', 'discus', 'apartment', 'dots', 'dpt', 'doy', 'roundly', 'circled', 'cone', 'circularize', 'circlet', 'circulatory', 'compass', 'geometry', 'flat', 'flattened', 'ringlet', 'arch', 'curvature', 'cassette', 'orb', 'boe', 'bow', 'medallion', 'eccentricity', 'rimmed', 'rim', 'around', 'rotund', 'flattish', 'circle', 'cyclo', 'encircle', 'circles', 'circling', 'encircled', 'toroidal', 'psp', 'pap', 'circularity', 'crimping', 'crimp', 'plication', 'crimped', 'bend', 'crease', 'creased', 'flexure', 'bends', 'bens', 'bended', 'crescent', 'bead', 'drop', 'pearl', 'beads', 'flattening', 'flatten', 'knob', 'boss', 'flap', 'flaps', 'pallet', 'lune', 'pouf', 'apc', 'stick', 'sticks', 'circuit', 'tabulated', 'tabulate', 'zigzag', 'semicircle', 'ball', 'src', 'arc', 'circularly', 'bail', 'eccentric', 'vertical', 'roundelay', 'centric', 'sharp', 'coronary', 'curlicue', 'oval', 'semicircular', 'equator', 'concave', 'plugged', 'cylinder', 'globe', 'shelf', 'elliptical', 'elliptic', 'prolate', 'inscribe', 'inscribed', 'polyhedron', 'hemicycle', 'block', 'leaf', 'curl', 'curls', 'ell', 'plane', 'candle', 'tablet', 'nodule', 'concavity', 'dome', 'quadrant', 'plate', 'sphere', 'flatness', 'tableland', 'plateau', 'base', 'spheroid', 'vane', 'blade', 'roundness', 'encompass', 'triangle', 'toroid', 'tubes', 'tube']"
to decide who someone is or what something is after thinking about it,identify,0,"['decide', 'deciding', 'thunk', 'think', 'remember', 'remembering', 'empathy', 'contemplate', 'idiosyncrasy', 'studying', 'study', 'reconsider', 'sentiment', 'cogitation', 'premeditated', 'premeditate', 'judge', 'opinion', 'deliberate', 'preparation', 'provision', 'provisions', 'provisioning', 'thought', 'thinker', 'considering', 'considered', 'sensing', 'sense', 'sensed', 'sight', 'sights', 'opine', 'preoccupation', 'intellection', 'mentation', 'thinking', 'cogitate', 'guesser', 'humanism', 'idea', 'mentality', 'puzzled', 'puzzling', 'logic', 'ponderous', 'define', 'defining', 'defined', 'deign', 'determiner', 'arbitrate', 'let', 'lets', 'letting', 'preference', 'suggestion', 'decision', 'determination', 'cognition', 'predetermine', 'predetermined', 'hmm', 'concept', 'reflect', 'reflectively', 'noodle', 'noodling', 'determinative', 'meditated', 'envisioning', 'envisioned', 'envisaged', 'envision', 'envisage', 'single', 'singling', 'mindset', 'mindfulness', 'mind', 'view', 'rumination', 'conceive', 'conceiving', 'discoverer', 'inventor', 'high', 'habit', 'fixation', 'apotheosis', 'intentionality', 'judging', 'judgment', 'cognitively', 'standpoint', 'subjective', 'psyche', 'reputed', 'repute', 'memory', 'matter', 'critic', 'cleared', 'clear', 'anyone', 'soul', 'muddled', 'muddle', 'conceit', 'minded', 'thoughtfulness', 'deliberateness', 'deliberation', 'personality', 'vagrancy', 'conceivable', 'formality', 'move', 'moves', 'mull', 'mulling', 'moralizing', 'inward', 'entertain', 'chew', 'chewed', 'viewing', 'reasoned', 'reason', 'posture', 'posturing', 'consideration', 'suppose', 'supposed', 'guesswork', 'form', 'precognitive', 'individuality', 'introverted', 'counting', 'count', 'personify', 'imagined', 'toy', 'inwardness', 'reflective', 'deem', 'deen', 'casted', 'cast', 'intellect', 'rationalize', 'rationalizing', 'revolve', 'revolved', 'conjecture', 'thoughtful', 'brains', 'brain', 'suggestible', 'conclude', 'concluding', 'concluded', 'absentminded', 'dubiousness', 'incertitude', 'uncertainty', 'doubt', 'purposeful', 'option', 'brooding', 'aspect', 'estimation', 'decider', 'forestalling', 'hazing', 'haze', 'notion', 'deep', 'introvert', 'reflection', 'pick', 'implantation', 'metaphysics', 'hold', 'skill', 'skillfulness', 'philosopher', 'said', 'say', 'sau', 'digest', 'naturalism', 'resolve', 'resolving', 'somebody', 'intimate', 'persuasiveness', 'adjudge', 'subject', 'eye', 'eyes', 'elected', 'elect']"
the gesture or gratitude you give after someone does something positive for you,thanks,5,"['appreciation', 'thanksgiving', 'thank', 'thankfulness', 'thanks', 'thanking', 'thankful', 'grateful', 'hallelujah', 'tribute', 'resentment', 'indebted', 'obligated', 'saluting', 'gratitude', 'acknowledge', 'appreciating', 'appreciated', 'celebration', 'acknowledgment', 'glad', 'thankfully', 'eucharistic', 'recommend', 'gratefully', 'ingratitude', 'mercy', 'compliment', 'compliments', 'benefit', 'obligation', 'remembering', 'remember', 'ungrateful', 'testimonial', 'benediction', 'courtesy', 'ingrate', 'happiness', 'flourish', 'flourishing', 'obligate', 'recompense', 'praising', 'praise', 'applause', 'reciprocation', 'reciprocate', 'reciprocating', 'plaudit', 'ungratefully', 'boon', 'unkind', 'gracefulness', 'grace', 'graces', 'expressive', 'charity', 'love', 'bless', 'recognize', 'thankless', 'repay', 'assisted', 'beholden', 'nice', 'congratulation', 'salutation', 'expand', 'unthankful', 'admire', 'earnest', 'commendation', 'feeling', 'liberality', 'acclamation', 'meritorious', 'unappreciative', 'appreciatively', 'reward', 'rewards', 'rewarding', 'understanding', 'sweeten', 'sweetened', 'largess', 'thoughtful', 'boost', 'sign', 'signed', 'congratulatory', 'rejoicing', 'applaud', 'applauding', 'bravo', 'favor', 'blessing', 'credits', 'credit', 'credited', 'sweetness', 'felicitate', 'tender', 'tenderizer', 'encomium', 'recommendation', 'benevolence', 'gesture', 'gesturing', 'beck', 'felicitation', 'positivity', 'farewell', 'gripping', 'grip', 'penetrate', 'gush', 'bestow', 'senseless', 'idolatry', 'affectivity', 'mitzvah', 'ingratiate', 'eclat', 'eucharist', 'charitable', 'benevolent', 'sympathetic', 'kindly', 'openhearted', 'amenity', 'concern', 'greeting', 'smile', 'card', 'kindness', 'props', 'ta']"
pieces of information that are true,facts,0,"['keying', 'key', 'keys', 'poop', 'reinforcement', 'sata', 'doped', 'doping', 'fata', 'data', 'misinformation', 'clue', 'surface', 'surfacing', 'inducement', 'recital', 'understand', 'encyclopedic', 'book', 'booking', 'recorded', 'books', 'record', 'background', 'investigatory', 'lowdown', 'truth', 'knowledge', 'update', 'updating', 'guff', 'misinform', 'mislead', 'delivered', 'deliver', 'kith', 'wit', 'substantive', 'datum', 'sidelight', 'rumor', 'particulars', 'propaganda', 'research', 'item', 'particular', 'scooping', 'scoop', 'scoring', 'scores', 'hint', 'straight', 'admission', 'fact', 'testimonial', 'possible', 'evidenced', 'evidence', 'factual', 'proofs', 'proofed', 'maybe', 'statement', 'argument', 'informational', 'original', 'legitimate', 'logical', 'uncountable', 'particularised', 'veracity', 'basics', 'rudiments', 'skinny', 'basic', 'confidential', 'secretively', 'secret', 'factoid', 'telling', 'fallacious', 'rightly', 'sooth', 'confirmation', 'generalization', 'induction', 'certify', 'indication', 'informatively', 'inform', 'bibliography', 'disinformation', 'verity', 'gullibility', 'air', 'airs', 'only', 'revelation', 'unmasking', 'unmask', 'unmasked', 'documented', 'confidence', 'hearsay', 'right', 'rights', 'credibility', 'detail', 'truthful', 'fiction', 'observation', 'conveyance', 'spilling', 'spill', 'talk', 'knowingly', 'probability', 'verisimilitude', 'signaling', 'signal', 'science', 'ammunition', 'refer', 'lookup', 'consultancy', 'skeptic', 'ruled', 'rule', 'principle', 'citation', 'trie', 'true', 'bogus', 'technically', 'faith', 'constancy', 'etcetera', 'so', 'embroidery', 'extrapolate', 'know', 'knows', 'checking', 'check', 'instruction', 'plausibly', 'vindication', 'existence', 'promote', 'swindle', 'swindling', 'researching', 'unsure', 'focus', 'kif', 'kidding', 'kid', 'specific', 'illusion', 'fancy', 'fantasy', 'buddhi', 'lies', 'lie', 'exclusive', 'baseless', 'inquiry', 'periodical', 'cognize', 'disclosure', 'substantiation', 'theoretically', 'certainty', 'fundamentals', 'briefing', 'conjecture', 'plant', 'faithful', 'acquainted', 'factually', 'relation', 'correct', 'bollocks', 'theorem', 'factbook', 'testimony', 'reporting', 'trivia', 'case', 'clear', 'cleared', 'discovered', 'discover', 'brief', 'effectively', 'undeniable', 'reasoned', 'reason', 'succinctly', 'summary', 'hip', 'falseness', 'unknowable', 'lead']"
when somebody takes the same route as somebody further ahead in order to end up in the same place,follow,72,"['roundtrip', 'pass', 'passed', 'before', 'undeviating', 'unswerving', 'ensue', 'progress', 'meets', 'meet', 'traces', 'trace', 'traverse', 'headed', 'backhaul', 'passage', 'trips', 'trip', 'following', 'traveling', 'travel', 'outgo', 'passing', 'stepping', 'steps', 'oncoming', 'departure', 'course', 'tracking', 'tracked', 'track', 'tracks', 'path', 'wau', 'forth', 'touring', 'circuit', 'tour', 'detour', 'astray', 'onward', 'divergence', 'move', 'moves', 'precession', 'this', 'propel', 'propelling', 'toward', 'journey', 'journeying', 'athwart', 'tail', 'tails', 'stampede', 'midway', 'crosscut', 'cutoff', 'converge', 'shuttle', 'shuttling', 'deviation', 'pacing', 'descent', 'closure', 'closing', 'forwarder', 'attained', 'attain', 'overtake', 'overtaking', 'follow', 'itinerary', 'procession', 'bidirectional', 'staged', 'stage', 'out', 'aut', 'dodge', 'dodging', 'advancement', 'interchangeable', 'thoroughfare', 'mak', 'make', 'belt', 'abutting', 'abut', 'dispose', 'up', 'upping', 'ups', 'through', 'outstrip', 'vagrant', 'predecessor', 'ascending', 'rise', 'ascent', 'ascension', 'overpass', 'crawling', 'crawl', 'chase', 'opposite', 'that', 'alternate', 'alternating', 'crisscross', 'crisscrossed', 'commute', 'fidget', 'interpose', 'route', 'routing', 'retrograde', 'countermove', 'approach', 'about', 'drag', 'forward', 'exit', 'across', 'shifting', 'shift', 'relocation', 'fetch', 'eastern', 'advancing', 'advance', 'equidistant', 'approximate', 'vamp', 'crossover', 'crossing', 'farther', 'drifting', 'drift', 'scudding', 'scud', 'backward', 'parallel', 'hedging', 'hedge', 'pull', 'pulling', 'breakthrough', 'outreach', 'trek', 'trekking', 'steer', 'steers', 'teleport', 'seeking', 'arriver', 'precede', 'linking', 'link', 'bestride', 'flutter', 'flickering', 'fluttering', 'flicker', 'upward', 'lead', 'leapfrog', 'on', 'pn', 'headway', 'after', 'seconds', 'second', 'overreaching', 'overreach', 'lode', 'do', 'come', 'replacement', 'successor', 'miscarry', 'bore', 'tailgate', 'pursuing', 'pursue', 'pursued', 'pursuer', 'access', 'ahead', 'transit', 'trafficking', 'traffic', 'conveyance', 'transferral', 'transfer', 'level', 'bearing', 'aiming', 'heading', 'aim', 'beyond']"
