Description,Solution,Prediction rank,Predictions
marked by foolish or unreasoning fondness,infatuated,0,"['fondness', 'frightful', 'fond', 'infidel', 'blustery', 'foolishness', 'dreads', 'savage', 'cynic', 'bastard', 'fad', 'fondness', 'stout', 'naf', 'arrogant', 'bewilderment', 'arrogance', 'fanfare', 'cupidity', 'folly', 'fond', 'hateful', 'blah', 'fury', 'slacking', 'dread', 'skeptic', 'bashful', 'oblivious', 'astonished', 'pitiful', 'dishonorable', 'dishonest', 'fondly', 'huffing', 'dishonor', 'bewildering', 'ruffled', 'gloomy', 'scoff', 'dishonestness', 'scandalous', 'pecking', 'ruffle', 'dishonestry', 'resentment', 'despondent', 'cowardly', 'huffy', 'silencing', 'gallantry', 'dishonorous', 'finesse', 'finessed', 'spiking', 'bewilderness', 'fond', 'swagger', 'muffy', 'desiring', 'similitude', 'scuff', 'admiration', 'spitting', 'spiky', 'bashfulness', 'anguish', 'racy', 'bashless', 'impassionate', 'blatant', 'dishonesty', 'bewilderance', 'arrogant', 'peckishness', 'gallant', 'disinteresting', 'muff', 'vaunted', 'pitieous', 'sinister', 'admirable', 'sceptic', 'loveless', 'dishonoring', 'folly', 'disinterested', 'pitisomeness', 'hateful', 'dishonestity', 'skept', 'cowardice', 'foolishness', 'arrogance', 'fury', 'lax', 'gallantness', 'despondency', 'bewilderer', 'peckish']"
a conceptual whole made up of complicated and related parts,composite,71,"['complex', 'conglomerate', 'corpus', 'metamorphosis', 'comprehension', 'lexicon', 'equilibrium', 'enumeration', 'etiquette', 'assemblage', 'articulation', 'complexed', 'bunches', 'complex', 'equilibration', 'encapsulation', 'compiling', 'sectioned', 'synoptic', 'enumerate', 'compendium', 'equilibre', 'corpusculus', 'etiology', 'structure', 'corpusculum', 'comprehensibility', 'conglomeration', 'multipartite', 'metamorphosy', 'complexity', 'metamorphoses', 'metamorphism', 'corpusus', 'entail', 'equivocum', 'puzzled', 'corpustrum', 'system', 'complication', 'corpus', 'tainted', 'equiquila', 'corpustus', 'compilation', 'metamorphose', 'conglomerate', 'comprehensibular', 'corpustum', 'ensemble', 'enumerator', 'complexet', 'equivocal', 'complexes', 'assemblage', 'congruity', 'lexicon', 'complex', 'etiography', 'symbiotic', 'plotting', 'complex', 'comprehensible', 'subset', 'structural', 'comprehension', 'complexity', 'stranded', 'encapsulate', 'component', 'composite', 'conceptualism', 'sytem', 'concatenation', 'anachronism', 'concept', 'syncope', 'generalism', 'framework', 'metamorphic', 'morphism', 'sectioning', 'substructure', 'morphosis', 'component', 'metamorphos', 'completion', 'comprehensib', 'chastism', 'tithe', 'structure', 'compositor', 'chastisticity', 'composition', 'constituted', 'bunching', 'tidbit', 'coding', 'morphology', 'synthesis']"
sensitivity to the action of radiant energy,radiosensitivity,0,"['sensitivity', 'sensitism', 'sensitivity', 'sensibility', 'radiance', 'sensitis', 'rheasensitivity', 'sensitivity', 'vigilance', 'elucidity', 'energeticity', 'hetonics', 'acoustics', 'sensitization', 'hetonicity', 'sensity', 'irradiance', 'ionism', 'sensitity', 'sensitivitis', 'hydrasis', 'luminosity', 'rheosensitivity', 'senacity', 'acoustic', 'irradiation', 'sensuality', 'ionis', 'ionity', 'senescence', 'insensitivity', 'sensibility', 'energeticness', 'energetic', 'caloricity', 'sensibility', 'heasensitivity', 'sensivity', 'etiology', 'sensitism', 'vigilence', 'energetics', 'sensitiveness', 'hypersensitivity', 'hetonicness', 'rheatism', 'sensience', 'sensibility', 'fluorescence', 'radiance', 'glare', 'sensitis', 'energysensitivity', 'resistance', 'radiantness', 'responsiveness', 'receptivity', 'calorimeter', 'calorisensitivity', 'heaviness', 'efficacy', 'sensitivity', 'gravitation', 'heatsensitivity', 'sensitivity', 'kinetics', 'vigilance', 'sensitization', 'tradiance', 'resonance', 'nervability', 'ardentness', 'nervation', 'enervescence', 'reflectivity', 'reflexivity', 'resilience', 'sensism', 'sensuality', 'nervyness', 'nervicism', 'elastosensitivity', 'resiliency', 'luminance', 'heat', 'energy', 'pertinence', 'nervescence', 'telesensitivity', 'attenuation', 'nervility', 'nervity', 'enervation', 'aspiration', 'latentness', 'radiativity', 'sensibility', 'attenuity', 'hesisensitivity', 'sensitisation']"
an accumulation of refuse and discarded matter,scrapheap,0,"['slacks', 'trashed', 'swab', 'slews', 'heaped', 'sludge', 'littered', 'littering', 'slamming', 'spouting', 'swaw', 'slugging', 'swath', 'snatching', 'slurring', 'scudding', 'sleuthing', 'slew', 'slashing', 'scoured', 'slam', 'slush', 'stumbling', 'swap', 'sacking', 'swag', 'swoop', 'savage', 'swathing', 'slashed', 'swathe', 'piles', 'slack', 'heaping', 'trashing', 'shackled', 'smudge', 'sledding', 'scouting', 'sag', 'scraps', 'slurred', 'resuscitate', 'flurry', 'savagery', 'scrapping', 'swooping', 'fracking', 'dugout', 'slurry', 'swashing', 'swaws', 'sleuth', 'slum', 'fuddle', 'dew', 'swax', 'swaddle', 'swabbing', 'scrape', 'slammed', 'swathed', 'chafe', 'swaf', 'swadding', 'accumulation', 'swaxing', 'piled', 'dumping', 'sack', 'looting', 'trash', 'apocryphal', 'swathing', 'heaps', 'crazed', 'slug', 'stacks', 'residuation', 'residuity', 'discarded', 'litter', 'mud', 'swawn', 'chasm', 'dwindling', 'jarred', 'obliteration', 'lullaby', 'avalanche', 'pile', 'swaft', 'swabing', 'dump', 'swaps', 'swathes', 'swabs', 'robbing', 'gimmick', 'swabbling']"
a streamlined train,streamliner,0,"['streamlined', 'slugging', 'rin', 'strut', 'slush', 'streamlined', 'stoop', 'lugging', 'scrambler', 'shuffled', 'shuffle', 'slugger', 'trussed', 'truss', 'slug', 'rake', 'trawling', 'tinker', 'sculled', 'rout', 'slinging', 'hammering', 'trawl', 'scout', 'scrambled', 'straddle', 'slashing', 'tassel', 'scouting', 'rudder', 'ruck', 'sledding', 'sluggle', 'sculling', 'slugging', 'hammer', 'streamline', 'streamed', 'rolled', 'nip', 'sling', 'train', 'tracing', 'streamlined', 'rig', 'spiking', 'rails', 'gangle', 'joggle', 'lug', 'bob', 'ruffle', 'lugging', 'tame', 'ram', 'ruffled', 'shuffle', 'bristle', 'cab', 'tyke', 'shoving', 'rin', 'shooting', 'rake', 'streamline', 'jook', 'tack', 'strut', 'rout', 'rucksack', 'strum', 'goggles', 'shooter', 'shoot', 'shunted', 'jitter', 'shroud', 'tucked', 'jigger', 'jacked', 'shuffled', 'ruck', 'slugger', 'rail', 'knack', 'trussed', 'tyre', 'train', 'minibus', 'slug', 'nippy', 'trundle', 'jittery', 'cannon', 'scrape', 'railing', 'niggy', 'tram', 'rolled', 'bristled']"
of or relating to or derived from humus,humic,1,"['humic', 'humal', 'humid', 'humilian', 'humidic', 'humus', 'humidian', 'humous', 'huminian', 'humoral', 'humical', 'humulian', 'humitian', 'humorous', 'humic', 'humual', 'humoic', 'humoric', 'huminous', 'humadic', 'humive', 'humular', 'humonic', 'humuous', 'humological', 'humigenic', 'huminal', 'humographic', 'humurian', 'humiric', 'humalian', 'humibian', 'humician', 'humusic', 'humious', 'humolian', 'humural', 'humric', 'humistic', 'human', 'humal', 'humus', 'humidian', 'humid', 'humic', 'humidic', 'humous', 'huminian', 'humoral', 'humical', 'humitian', 'humiogenic', 'humual', 'humuloid', 'humive', 'humular', 'humonic', 'humisian', 'humine', 'humial', 'humidated', 'humitic', 'humological', 'humiloid', 'humirous', 'humigenic', 'huminal', 'humographic', 'humurian', 'humilistic', 'humiric', 'humibian', 'humal', 'humuent', 'humosome', 'humican', 'humisome', 'humuistic', 'humide', 'humiliac', 'humuric', 'humo', 'hume', 'humus', 'histologic', 'humifical', 'humidian', 'humic', 'humanical', 'humid', 'humurical', 'humous', 'humy', 'humiliary', 'humifuge', 'humuous', 'humidic', 'humoral', 'humile', 'humiliacal']"
in a feverish manner,feverishly,1,"['feverishly', 'femurishly', 'feverishishly', 'fetishly', 'feuchishly', 'feetishly', 'pheasantly', 'feudishly', 'febishly', 'feelishly', 'feverish', 'feutishly', 'feefishly', 'feemishly', 'a feverishly', 'fabishly', 'sputteringly', 'feasily', 'feesishly', 'feverishily', 'pfeasily', 'feasibly', 'feesily', 'febrishly', 'pheasily', 'fepidly', 'feaishly', 'pfeasly', 'feesyly', 'flyingly', 'femorally', 'feasly', 'pheasly', 'feverishedly', 'sputtering', 'femurly', 'bruishishly', ' feverishly', 'pfeasibly', 'fetily', 'pfeasantly', 'hygienically', 'feveredly', 'feverily', 'feefishishly', 'hemorrhagic', 'femurously', 'pythonically', 'frostbitly', 'feudly', 'bruishly', 'pheasantously', 'pfeasfully', 'psp', 'hysterically', 'pheasantily', 'pheasantically', 'hemorrhagia', 'feaslyly', 'pff', 'pheasantally', 'pfeaslyly', 'chillishly', 'pfeasably', 'feverishally', 'hemorrhyming', 'hemorrhagically', 'hahahahahahahahaha', 'plyly', 'pfeasively', 'feetishally', 'pfeasously', 'pheaslyly', 'fuchsiously', 'feverily', 'feetishlyst', 'pythonously', 'hemorrhagise', 'pythoosily', 'feudishlyst', 'pyloriastically', 'feveringly', 'pythoosiously', 'hemorrhagisis', 'pyloriously', 'hemorrhodosis', 'fuchsily', 'feetishly tipped', 'pyloriasm', 'ply', 'pythoosis', 'hahahahahahahaha', 'hemorrhoe', 'hemorrhoding', 'pfeaslyingly', 'hemorrhage', 'hemorrhagistically', 'pheasantlyly', 'feudishly tipped', 'pheasantly infected']"
a pocket - size case for holding papers and paper money,pocketbook,4,"['papercase', 'pocket', 'pocketcase', 'pocketbook', 'pocket', 'pocketed', 'paperbox', 'jacks', 'papiercase', 'paperscase', 'pocket', 'pocketing', 'pocketjacket', 'tinker', 'paperjacket', 'pocketjack', 'tucker', 'tassellet', 'pencase', 'paperback', 'tidbit', 'paperjack', 'pocketbook', 'tampering', 'jacket', 'tuckcase', 'paperbook', 'pocketbox', 'paperbag', 'newspapercase', 'pockethead', 'sleeve', 'tassell', 'tamper', 'journalcase', 'papercap', 'tack', 'tucking', 'pocketed', 'cashcase', 'tavern', 'tiddler', 'tassel', 'pocketbag', 'pocketcap', 'tampon', 'paperhead', 'pocket', 'tasselled', 'paperboxes', 'tabernacle', 'tasselle', 'tabernacles', 'teh', 'jack', 'tasselling', 'slap', 'papiercase', 'tidal', 'tampere', 'crockery', 'tithe', 'teem', 'purse', 'scrimmage', 'pamphlet', 'tassels', 'task', 'tasselt', 'tipped', 'tickcase', 'tuckercase', 'tuck', 'jackjacks', 'pocketing', 'paperbox', 'tyre', 'tastier', 'psd', 'teddy', 'sleuth', 'tasselker', 'scrip', 'pen', 'tast', 'tasseller', 'crip', 'tympon', 'tehn', 'paperjacking', 'tidle', 'scribble', 'hobob', 'kast', 'pocketjacking', 'tiling', 'slapped', 'tin', 'paperhouse', 'pocketcaddy']"
concern for your own interests and welfare,egocentrism,0,"['interests', 'prudence', 'propriety', 'interest', 'adolescence', 'acquiescence', 'apprehension', 'benevolence', 'egoism', 'interests', 'affluence', 'pragmatism', 'acquisition', 'acquiescence', 'acousticism', 'concern', 'aptitude', 'oath', 'sacramentality', 'acoustics', 'acculturation', 'inquisitiveness', 'acoustic', 'respects', 'preoccupation', 'personalism', 'acquiescance', 'appropriateness', 'deserving', 'affluent', 'acculturalism', 'acousticity', 'inquisition', 'care', 'sanity', 'vigilance', 'adolence', 'sacrament', 'affluentness', 'acousticness', 'adversity', 'sobriety', 'acquiesce', 'acquiescing', 'interest', 'acquiescency', 'accropy', 'acquiescement', 'partisanship', 'neoliberalism', 'acquiescation', 'procrastination', 'apologies', 'affluency', 'judiciousness', 'acquism', 'stakes', 'acquittal', 'nefariousness', 'interests', 'adolescent', 'emo', 'awe', 'acculturanism', 'protection', 'associatiousness', 'propriety', 'devox', 'interes', 'propriety', 'inquisitance', 'appropriation', 'concern', 'oas', 'selfinterest', 'inquisit', 'aspiration', 'pity', 'inquisitive', 'privy', 'interess', 'appropriacy', 'forebear', 'independency', 'grit', 'intérêt', 'acquiescence', 'reverence', 'apprehension', 'respect', 'somocracy', 'care', 'propriocy', 'owninterest', 'interest', 'associaty', 'courtesy', 'selfishness', 'associatious', 'familly']"
still in doubt,unsettled,0,"['doubtful', 'doubting', 'doubtful', 'doubt', 'doubted', 'doubtless', 'rummaging', 'inquisitive', 'doubts', 'adversity', 'apprehension', 'adamant', 'apprehensive', 'doubtworthy', 'incontestable', 'rumor', 'inquisit', 'doubtful', 'acerbity', 'rumored', 'ambiguous', 'shaky', 'awesome', 'doubt', 'unsure', 'aquisition', 'doubtsome', 'doubty', 'inquisiting', 'speculative', 'credulous', 'inquisition', 'admonish', 'incertitude', 'still', 'adrift', 'lingering', 'doubtable', 'inquisitor', 'inquisitance', 'aquivocal', 'aquila', 'doubtless', 'doubting', 'douted', 'skeptic', 'advising', 'advisive', 'aquist', 'linger', 'subspeculative', 'controversial', 'rummage', 'rummancy', 'admonishing', 'admoniting', 'awry', 'aquiring', 'incapacitated', 'ambiguity', 'acerbic', 'inquisitancy', 'undefearance', 'rummaging', 'tainted', 'disquieting', 'rump', 'requisition', 'admonit', 'in doubt', 'uncertain', 'inquisitual', 'doubtfully', 'undefearing', 'undefeared', 'agnostic', 'undefeated', 'inquisitous', 'inquisitorial', 'acerbitude', 'controversies', 'undefealed', 'doubt', 'doubted', 'doubtworthy', 'disquiet', 'adamant', 'unshakable', 'controversy', 'undefiant', 'suspicious', 'undefinancing', 'questioning', 'doubtful', 'undefeached', 'rumrum', 'restraining', 'impending', 'undefecund', 'anguish']"
