Description,Solution,Prediction rank,Predictions
marked by foolish or unreasoning fondness,infatuated,0,"['fond', 'fiddling', 'fondness', 'psd', 'stutter', 'famishness', 'admirable', 'fondness', 'fan', 'fondness', 'fondness', 'priard', 'fondness', 'scrumptious', 'mad', 'enticacious', 'affluent', 'fondness', 'fondness', 'foolish', 'fond', 'naf', 'thawing', 'scrumptuous', 'fondness', 'fondness', 'misinspiring', 'lullaby', 'mash', 'fondness', 'sad', 'frightful', 'fond', 'fondness', 'fury', 'fondness', 'infatuation', 'admirable', 'mirkish', 'perspicaciousness', 'oomph', 'stoutistic', 'dread', 'egotistic', 'filthsome', 'racy', 'fondness', 'squinting', 'blather', 'fondness', 'mad', 'robbing', 'folly', 'naebous', 'narcissistic', 'raped', 'fond', 'finessed', 'fanatic', 'humbly', 'afc', 'fondness', 'fondness', 'rascal', 'fond', 'fondness', 'fanfaw', 'fondly', 'insincerity', 'misfanty', 'slug', 'doom', 'fondness', 'stong', 'fond', 'fandy', 'fond', 'fond', 'admiration', 'bastard', 'fondness', 'rw', 'fondness', 'fondness', 'fondness', 'fondness', 'foolish', 'fondness', 'fond', 'fondness', 'fondness', 'folly', 'fondness', 'pardoned', 'devious', 'fascy', 'fahness', 'fanaticism', 'dread', 'desirous']"
a conceptual whole made up of complicated and related parts,composite,0,"['whole', 'concept', 'complex', 'stuffing', 'construct', 'complex', 'complex', 'concept', 'conglomerate', 'structure', 'composition', 'complex', 'complicated', 'formula', 'complexity', 'subface', 'complexed', 'structure', 'lexicon', 'flied', 'ensemble', 'etiquette', 'core', 'complex', 'multiplication', 'entire', 'complicated', 'complex', 'part', 'complex', 'complex', 'set', 'composition', 'complex', 'equation', 'complex', 'macrolith', 'structure', 'circuit', 'lexicon', 'corpus', 'integrum', 'complex', 'complexity', 'coding', 'package', 'circuit', 'gammon', 'formalism', 'corpus', 'complex', 'complex', 'matrix', 'complex', 'formula', 'complex', 'part', 'plot', 'complex', 'assemblage', 'structure', 'concept', 'stuff', 'complex', 'ensemble', 'puzzled', 'complex', 'strand', 'complex', 'complex', 'structure', 'concept', 'component', 'cultivum', 'matrix', 'corpus', 'structure', 'complex', 'circuit', 'framework', 'structure', 'structure', 'complex', 'metamorphos', 'structure', 'syncope', 'composition', 'strand', 'complex', 'composition', 'assemblage', 'structural', 'coding', 'puzzle', 'subset', 'composition', 'entire', 'circuit', 'matrix', 'complexities']"
sensitivity to the action of radiant energy,radiosensitivity,0,"['radiantness', 'sensitivity', 'sensitivity', 'gravitation', 'sensitivity', 'sensitivity', 'sensibility', 'sensitivity', 'sensitity', 'sensitism', 'gassensitivity', 'sensitivity', 'sensitity', 'reflectivity', 'sensitivity', 'ionism', 'sensibility', 'sensitism', 'sensitivity', 'inferacity', 'gravitation', 'sensitivity', 'enessance', 'sensibility', 'radiance', 'sensitis', 'sensitivity', 'sensience', 'heart', 'exposure', 'sensitivity', 'sensibility', 'sensitivity', 'sensitivity', 'sensitism', 'sensism', 'sensitivity', 'sensitis', 'sensibiliz', 'sensibility', 'sensibility', 'hypersensitivity', 'acclimatity', 'sensuality', 'sensitivity', 'radiance', 'sensibility', 'sensitivity', 'sensibility', 'sensitization', 'sensitivity', 'sensitism', 'sensitivity', 'sensitivity', 'senacity', 'sensitis', 'reflectivity', 'aridity', 'sensibility', 'sensitism', 'sensitivity', 'radiantness', 'dilution', 'insensitivity', 'sensisensitivity', 'viscerality', 'dexticism', 'sensibility', 'sensitivity', 'sensibility', 'sensuality', 'hetonic', 'sensitivity', 'imitivity', 'sensibility', 'sensitude', 'sensiality', 'sensitivity', 'sensibility', 'sensitivity', 'sensitivity', 'sensitivity', 'radiance', 'sensitivity', 'dextition', 'sensitivity', 'telesensitivity', 'sensitis', 'sensitivity', 'sensity', 'reflexivity', 'sensitivity', 'heat', 'enshrine', 'sensitivity', 'sensitivity', 'tans', 'sensitiveness', 'insensitivity', 'sensitivity']"
an accumulation of refuse and discarded matter,scrapheap,0,"['scraping', 'littered', 'pile', 'twigs', 'delusion', 'piles', 'trash', 'ssh', 'puddle', 'litter', 'flounder', 'rubbish', 'disbouncing', 'trashing', 'scowling', 'dump', 'litter', 'hoosling', 'squawk', 'taw', 'delf', 'bucket', 'dumping', 'piles', 'brash', 'stacked', 'casted', 'dust', 'duck', 'slush', 'acquitter', 'craws', 'troll', 'rubbish', 'frotting', 'pile', 'resuscission', 'clinging', 'rubbished', 'scudding', 'littering', 'fracking', 'littering', 'trash', 'discharging', 'slashing', 'trash', 'fudge', 'druff', 'littering', 'dutchman', 'litter', 'trash', 'heap', 'littering', 'sliver', 'chafe', 'dump', 'jar', 'plumped', 'dump', 'mud', 'pile', 'littering', 'chafe', 'trash', 'stacked', 'storm', 'waste', 'leash', 'sleazy', 'gripping', 'trashed', 'lashing', 'heaping', 'scavenger', 'littering', 'dusting', 'dump', 'litter', 'ditching', 'weld', 'bunches', 'shack', 'fracking', 'defrost', 'bucket', 'rubbish', 'piles', 'rebeak', 'litter', 'trashed', 'suffocation', 'heaps', 'sputter', 'unpacking', 'scrap', 'dump', 'rash', 'degout']"
a streamlined train,streamliner,0,"['streamlined', 'teeter', 'streamlined', 'squeaking', 'streamlined', 'smooth', 'streamlined', 'streamline', 'streamlined', 'streamlined', 'slugging', 'skidding', 'rail', 'streamlined', 'sipping', 'tube', 'streamlined', 'streamlined', 'slugger', 'streamline', 'streamlined', 'streamlined', 'railed', 'streamlined', 'shuffle', 'rin', 'bullets', 'streamlined', 'streamlined', 'roar', 'streamlined', 'streamlined', 'chutney', 'tame', 'streamlined', 'railing', 'rollout', 'bumps', 'ems', 'rin', 'streamlined', 'streamlined', 'rail', 'streamlined', 'skim', 'roar', 'rin', 'lug', 'slug', 'streamlined', 'eagle', 'smooth', 'slugging', 'rin', 'sir', 'train', 'bongo', 'sultry', 'streamline', 'slugging', 'sluggling', 'train', 'slash', 'streamlined', 'lugging', 'streamline', 'streamline', 'rake', 'streamlined', 'streamlined', 'streamlined', 'sludge', 'tsout', 'trolled', 'slugging', 'streamlined', 'draped', 'trampe', 'scad', 'stooped', 'trick', 'flimsy', 'slugging', 'meshing', 'chainwork', 'streamlined', 'streamline', 'pullout', 'trainwheel', 'slugging', 'rock', 'streamlined', 'slugging', 'streamlined', 'streamlined', 'rail', 'streamlined', 'acquit', 'scuff', 'streamlined']"
of or relating to or derived from humus,humic,1,"['humic', 'humous', 'humiric', 'humid', 'humal', 'humological', 'humular', 'humological', 'humual', 'humic', 'humid', 'humic', 'humic', 'humic', 'humic', 'humulous', 'humic', 'humic', 'humic', 'humic', 'humuistic', 'humic', 'humus', 'humic', 'humic', 'humious', 'humal', 'humal', 'humic', 'humiliac', 'humic', 'humic', 'humic', 'humic', 'humid', 'humoral', 'humant', 'humietic', 'huminian', 'humic', 'humic', 'humic', 'humological', 'humoral', 'humal', 'humimatic', 'humic', 'humal', 'humic', 'humic', 'humal', 'humal', 'humo', 'humic', 'humic', 'humus', 'humic', 'humic', 'humic', 'humid', 'humic', 'humic', 'humus', 'humural', 'humic', 'humic', 'humic', 'humal', 'humural', 'humus', 'magibian', 'humoral', 'humicilial', 'humic', 'homo', 'humological', 'humic', 'humidal', 'hulic', 'humic', 'humal', 'humical', 'humile', 'humic', 'humidic', 'humic', 'humic', 'humal', 'humic', 'humic', 'humic', 'humus', 'humid', 'humical', 'humal', 'curing', 'humoic', 'humic', 'humic', 'humic']"
in a feverish manner,feverishly,1,"['feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly', 'feverishly']"
a pocket - size case for holding papers and paper money,pocketbook,14,"['buck', 'papercase', 'pocket', 'pocket', 'paperbook', 'papercase', 'pocket', 'purse', 'cashcase', 'papercase', 'paddle', 'papercase', 'pocket', 'pocketbook', 'papercase', 'pocket', 'papershell', 'pocket', 'papercase', 'bookcase', 'pocket', 'billcase', 'cashbox', 'pocketbook', 'pocketcase', 'pen', 'pocket', 'pocketcase', 'purse', 'pacu', 'pocket', 'pocket', 'papiercase', 'pocketbook', 'pocket', 'pocketing', 'paperburg', 'paperscase', 'pocket', 'purse', 'pocketbook', 'kastenjack', 'papercase', 'paperbox', 'moneycase', 'paperskay', 'pocketbook', 'pocketpiece', 'paperbox', 'papercase', 'papercase', 'pocketpill', 'pocket', 'pocket', 'pocket', 'papersack', 'pocketcase', 'paperpot', 'pocketcase', 'papercase', 'papercase', 'papercase', 'bib', 'pocket', 'pocket', 'pocket', 'pocket', 'pocketcase', 'duff', 'pocket', 'papercase', 'pockethole', 'pocket', 'pocketbook', 'papercase', 'pocket', 'papercase', 'paperscase', 'papercase', 'papercase', 'paperscase', 'papercase', 'papercase', 'pocket', 'pen', 'pennibout', 'pocket', 'pocket', 'pocket', 'pocket', 'papercase', 'pocketcase', 'papercase', 'pocket', 'sheetcase', 'pocket', 'pouch', 'pocketman', 'pocket', 'paperkast']"
concern for your own interests and welfare,egocentrism,0,"['interes', 'awe', 'protection', 'interests', 'value', 'attention', 'armada', 'judicity', 'respect', 'care', 'interests', 'concern', 'respect', 'interests', 'interest', 'interes', 'interests', 'interest', 'interests', 'propriety', 'interests', 'egoism', 'esteem', 'concern', 'vigilance', 'regard', 'welfare', 'care', 'interests', 'bournance', 'preoccupation', 'interests', 'interest', 'values', 'concern', 'interests', 'interests', 'neoliberalism', 'concern', 'interests', 'concern', 'interest', 'interests', 'interest', 'private interest', 'interes', 'propriety', 'selfinterest', 'interests', 'interest', 'concern', 'care', 'interests', 'adolescence', 'interest', 'concerned', 'interests', 'interests', 'emancipation', 'ownership', 'protect', 'judeo', 'interests', 'respect', 'interests', 'stakes', 'interests', 'interest', 'concern', 'enervance', 'interests', 'booty', 'piety', 'reliance', 'interests', 'courtesy', 'judicialism', 'concern', 'interest', 'interest', 'interests', 'care', 'interess', 'interests', 'interest', 'attention', 'interests', 'protection', 'interests', 'interest', 'care', 'interests', 'courtesy', 'interests', 'interest', 'interest', 'interests', 'individuality', 'enlightenment', 'sophisticy']"
still in doubt,unsettled,0,"['doubtworthy', 'doubting', 'doubted', 'doubtful', 'doubtful', 'doubtful', 'doubting', 'uncertain', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'remains', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubted', 'doubty', 'doubtful', 'doubtful', 'doubt', 'in doubt', 'doubtless', 'doubtless', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubts', 'doubtful', 'still', 'doubtful', 'doubting', 'doubtful', 'doubtful', 'doubtsome', 'doubtful', 'doubtful', 'still', 'doubtful', 'doubting', 'doubting', 'rumor', 'doubtful', 'unsure', 'doubtful', 'doubt', 'doubtful', 'doubtless', 'doubtful', 'doubtful', 'doubtful', 'certain', 'doubtful', 'doubtful', 'doubtful', 'rummaging', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubtful', 'doubts', 'rumor', 'doubting', 'doubtful', 'doubtful', 'questionable', 'doubtful', 'doubting', 'doubtfully', 'doubtful', 'doubt', 'rumors', 'doubtful', 'doubtful', 'doubtless', 'doubting', 'unsure', 'doubtless', 'niff', 'adamant', 'doubtful', 'doubt', 'doubts', 'doubtful', 'doubtful', 'doubt', 'doubtful', 'doubtful', 'doubt', 'doubt', 'rummaging', 'doubtably', 'doubtful', 'doubtsome', 'doubtful', 'still', 'suspect']"
