Description,Solution,Prediction rank,Predictions
marked by skill in deception,tricksy,0,"['jaffled', 'wacky', 'sceptical', 'pucking', 'treacherous', 'clientii clientii moalei', 'luciferous', 'gleaming', 'gleaming', 'trickier', 'lustrous', 'botched forth', 'stuither', 'bottling', 'avenging', 'alogic', 'pucker', 'skilful', 'trickreich', 'Trickier', 'lucination', 'skillfully trickstile', 'dutiful', 'deception', 'clientii discerningi', 'trickier', 'clientii clientii clientii proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'chipping', 'clientii nunta proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'trickle', 'trickier', 'deceptionist', 'crafty', 'skillful', 'trickstery', 'stunder', 'clientii clientii clientii acevei', 'illusionistic', 'masterclass', 'gleesome', 'Trickier', 'possessed', 'virulent', 'witless', 'jaffiety', 'sceptical', 'trickery', 'smarts', 'illusionism', 'brill', 'virulent', 'lustrous', 'flub', 'crafty', 'masterlustred', 'flunked', 'acrid', 'sceptic', 'trickery', 'lustre', 'deceptionistic', 'gleak', 'deceptionist', 'alogic', 'sceptical', 'Trickery', 'skilsome', 'gleamed', 'flundelück', 'elusive', 'sleight', 'smarts', 'bridle', 'wit', 'gleesome', 'flugellust', 'clientii nunta proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat proaspat', 'wit', 'illusionescent', 'trickable', 'virulent', 'superb', 'reglece', 'silkedged', 'deadly', 'acrobatic', 'witting', 'craftily nipped', 'huddle', 'deceptionate', 'phony', 'frank', 'trickier', 'clientii străluciti', 'Trickery', 'gleaming', 'lecherous', 'trickier', 'cockney', 'lucidity']"
showing great reverence for god,worshipful,59,"['godly', 'godfast', 'holy', 'holy', 'godgiver', 'godly', 'god', 'adoring', 'godbegotten', 'worshipped', 'goddesiety', 'god', 'worshipping', 'gods', 'worshipped', 'hence', 'godebid', 'adoring', 'reverenced', 'honoured', 'reverence', 'devotees', 'empressish', 'worshipping', 'godbegotten', 'achtegian', 'god', 'veneration', 'godspended', 'godèle', 'worshipping', 'venerate', 'theologians', 'godly', 'godhead', 'godspended', 'worshiping', 'vene experience', 'godbegotten', 'worshiping', 'venerate', 'holy', 'godhead', 'godhead', 'worshiping', 'holy', 'glories', 'holy', 'holy', 'gods', 'godless', 'godèle', 'venerated', 'worshipping', 'venerate', 'gods', 'sceptical', 'godly', 'worshipful', 'gods', 'godhead', 'godditya', 'demagogical', 'god', 'venerated', 'godmother', 'god', 'godearned', 'godèle', 'holy', 'sacrificed', 'godbegotten', 'godhead', 'worshipper', 'majestiety', 'venereal', 'worshipped', 'gods', 'venerated', 'godsmaidly', 'revelatory', 'adoring', 'venerated', 'devoted', 'goddaughter', 'reverence', 'godhead', 'Virgo', 'boal', 'holy', 'veneration', 'godly', 'goddear', 'goddess', 'holy', 'godfast', 'venerate', 'godhead', 'holy', 'gods']"
an association of criminals,mob,0,"['organized', 'gangvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvâr', 'Gangvârvârl', 'frunze', 'gangband', 'gangrabbery', 'gangstagang', 'ganghibide', 'gangvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvâr', 'gangganggang', 'copganga', 'criminalgemeinschaft', 'association', 'ganggang', 'ganghibitor', 'criminalband', 'ensarcophagy', 'gangstabande', 'club', 'alawient', 'gangstaceculist', 'ganglandganggang', 'gang', 'ganggang', 'gang', 'gang', 'murderer', 'gangstagang', 'gangwrestling', 'organized Crimes', 'gangvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvâr', 'gangland', 'ganggang', 'gangbuster', 'armamentation', 'gang', 'Gangstergang', 'ganggang', 'mammalgang', 'robbery', 'ganggang', 'criminalsociety', 'frunze', 'barring', 'ganggang', 'gangster', 'gangkillers', 'gang', 'mabandre', 'gangfiling', 'colony', 'frunze', 'ganggang', 'conspiracy', 'gangstagang', 'gangganggang', 'gangganggang', 'gangland', 'gangstaband', 'crimegangring', 'criminaly', 'gangster', 'gangrising', 'gangextreme', 'association', 'criminality', 'syndicated', 'gangligament', 'gangland', 'ganggang', 'cartel', 'gangster', 'Criminalgang', 'criminalgang', 'gangliganacle', 'criminality', 'organisiertia', 'gangstabanded', 'syndicated', 'crackgang', 'ganghibism', 'frunzevârvârvârle', 'criminal guild', 'ganggang', 'ganghibint', 'amalgamation', 'club', 'crimemockery', 'coven', 'mobganggang', 'cornet', 'ganggang', 'conspiration', 'gang', 'gangband', 'gangvârvârvârle', 'Ganggangriety', 'boonganggang', 'gang', 'criminalgang']"
capable of being perceived especially by sight or hearing,perceivable,0,"['auditory', 'visionary', 'visualizable', 'articulate', 'visionable', 'visionary', 'sightble', 'perceptive', 'merkworthy', 'receptive', 'intuitive', 'viewable', 'visionate', 'visionible', 'visionable', 'perceived', 'perceptible', 'visionable', 'perceptible', 'visionary', 'bleary', 'visionary', 'visionary', 'Observable', 'scythelike', 'perceptible', 'visionary', 'visionary', 'perceptible', 'visionary', 'visionable', 'senseable', 'Perceptible', 'able', 'eyewit reactions', 'observable', 'auditory', 'optischizable', 'eyecraftily', 'hearingible', 'sentient', 'visionary', 'visionary', 'eyewitness', 'visionible', 'perceived', 'senseceptible', 'auralvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvâr', 'Senseless', 'visible', 'sight-imperceptible', 'sightible', 'scharf', 'visionary', 'visionary', 'visionary', 'auralvârvârvârvârvârvârvârvârvârvârvârvârvârvârvârvâr', 'sentient', 'visionary', 'recognizable', 'eyeportable', 'begriffible', 'visualized', 'visionsimilable', 'perceptible', 'perceptible', 'visionary', 'visionary', 'visionary', 'perceptible', 'auditory', 'visionary', 'visionible', 'senseable', 'perceptible', 'perceptive', 'visionary', 'visionary', 'visionary', 'discerning', 'visional', 'visionary', 'visioné', 'PERSONALLY PERCEPTIBLE', 'vederebilous', 'visionary', 'visionary', 'perceptional', 'perceptible', 'senseable', 'VISUAL', 'Perceptible', 'visionary', 'recognizable', 'able vederenehmible', 'visionary', 'visionary', 'visionary', 'Sensible', 'visionary']"
Eurasian plant cultivated for its seed and as a forage crop,rape,0,"['saffron', 'arugula', 'sage', 'soybean', 'cultivated', 'pigweed', 'vegetal', 'scallium', 'crops', 'cultivated', 'cultivated', 'plantain', 'plantation', 'roasted', 'plant', 'seed', 'emperory', 'corneed', 'cropmed', 'herbaceous', 'grain', 'macadamia', 'sagosin', 'Hormica', 'savur', 'cultivated', 'eucasian', 'plantamaceuca', 'seeded', 'cultivated', 'corn', 'cultivated', 'haylark', 'cultivated', 'cultivated', 'herbaceous', 'vegetable', 'nasculum', 'poppy', 'corn', 'sâmbâmbâmb', 'harmancha', 'cultiva', 'cowweed', 'plant', 'eucalyptus', 'Sumava', 'hay', 'plantum', 'potato', 'herbaceous', 'herbaceous', 'âmbâmbâmbâmbin', 'cultivated UN', 'cultivated', 'plantain', 'potato', 'saffron', 'tincture', 'charlium', 'plant', 'dâmbâmbâmb', 'plantation', 'aphrodice', 'plant', 'harling', 'herbaceous', 'hayseed', 'herbaceous', 'Sumerizowindron', 'plantation', 'bushfin', 'forage', 'plant', 'herbaceous', 'cultivated', 'swinniwinkle', 'corn', 'corn', 'plantation', 'escurilla', 'plant', 'hen zahari', 'cultivated', 'plantation', 'dalceracea', 'âmbâmbucci', 'cornus', 'cultivated', 'gramâmbâmbi', 'eurasian', 'cycama', 'seeded', 'plantain', 'kalarca', 'cropped', 'cropped', 'plantceâmb', 'vegeta', 'pomuccino']"
consumption of alcoholic drinks,intemperance,0,"['drinking', 'drinkation', 'drink', 'drink', 'drink', 'drinks', 'drink', 'drink', 'alcoholism', 'drinks', 'alcoholism', 'alcoholic', 'consumption', 'drink', 'drink', 'drink', 'drinks', 'alcohol', 'alcoholism', 'drink', 'alcoholism', 'drinking', 'soda', 'drink', 'drinking', 'drink', 'drink', 'Drink', 'drinks', 'drinks', 'drink', 'drink', 'consumption', 'consumption', 'drink', 'drink', 'alcohol', 'drinks', 'drink', 'drinks', 'drink', 'drinks', 'alcoholism', 'drinks', 'alcoholism', 'alcoholism', 'alcoholism', 'drinks', 'alcoholism', 'beer', 'drink', 'alcoholism', 'drink', 'drink', 'drinkireage', 'alcoholic beverages', 'drinks', 'drink', 'drink', 'drink', 'drink', 'alcohol', 'alcoholism', 'drinking', 'drinking', 'alcoholism', 'alcoholism', 'drink', 'alcoholism', 'alcoholic beverages', 'Drink', 'drink', 'alcoholism', 'drink', 'consumption', 'drinks', 'drinking', 'drinks', 'drinks', 'drink', 'beverage', 'consumption', 'tap', 'beverage', 'alcoholism', 'alcoholism', 'beverage', 'drinks', 'drinks', 'drink', 'drinks', 'drink', 'beverage Consumption', 'drinking', 'drink', 'drinks', 'drink', 'drink', 'drinking', 'drink']"
a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals,limestone,0,"['calciumbasalt', 'calcium', 'calcinum', 'calciumroche', 'calciummerida', 'mamephia', 'calciumcastle', 'calciumfish', 'calcium', 'caldice', 'caldera', 'calciumrochite', 'crustal', 'glacial', 'calcium', 'calcaceous', 'calciumbelast', 'crustacean', 'calciumbasalt', 'calcium', 'chalky', 'rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii rosii', 'calciumpod', 'calcium', 'sedimentary rock', 'sedimentary', 'calcium', 'calcium', 'calcareous', 'calciumbealt', 'calcium', 'lithite', 'rock', 'calcium', 'crustacean', 'calciummethane', 'calcium rockpod', 'crepe', 'glacial rock', 'calcium', 'calciumcastrock', 'calcium', 'rocklith', 'calciumfish', 'calciumbolate', 'calciummethane', 'calcareous', 'calciumolith', 'calcium', 'crustatum', 'salt', 'calcium', 'crustacean', 'glacial', 'calciumcastle', 'Chalcedon', 'caldary', 'calcium', 'calcium', 'calciumharnite', 'salt', 'sedimentary rock', 'sedimentary', 'calcium', 'sedimentosacra', 'sedimentary', 'calciumbasalt', 'calcium rock', 'calcium', 'sedimentary rock', 'sedimentary', 'calcareum', 'calciumsulfate', 'pottery', 'crustal rock', 'glacial', 'calcium', 'calcareous', 'calcium', 'calcina', 'sedimentary', 'crustaceate', 'calciumbegin', 'sediment', 'calciumcarbonate', 'calcium', 'rochum', 'crustal', 'calcium', 'calciumvârla', 'calcium', 'calcium', 'calcium', 'crustal deposits', 'calciumroche', 'crustaceans', 'sediment', 'sedimentary', 'sedimentary', 'calcium']"
an absorbent aluminum silicate clay formed from volcanic ash,bentonite,0,"['carbonate', 'pyrolytic', 'ash', 'ashlava', 'volcanic', 'lavanac', 'pyralceum', 'pyrethrallium', 'ash', 'ashmaglite', 'ash', 'cinder', 'ash', 'carbonite', 'folit', 'alumina', 'ashleake', 'sandstone', 'cinder', 'ash clay', 'lava', 'silver', 'ashmead', 'cinder', 'lavacephre', 'lavalite', 'ashcrame', 'ashlalatecaste', 'ashonite', 'ash', 'ashlava', 'aluminum', 'ash', 'ash', 'lava', 'ashlebble', 'silicate', 'carbonate', 'sulfate', 'scubble', 'silver', 'cindarite', 'lava', 'sedimentary', 'ash', 'cinder', 'ash', 'ashkar', 'cragcastle', 'ash', 'taintlearge', 'clay', 'carbonate', 'ashmetal', 'pyrash', 'cinder', 'carbonate', 'calcium', 'pyroclastic', 'ash', 'ashash', 'ashlava', 'lava', 'ashlomice', 'ashargite', 'ash', 'ash', 'ashargash', 'ash', 'ashcerophyllite', 'ash', 'ash sand', 'ash', 'hazard', 'lavagonite', 'ashmalt', 'ash silicate', 'pyrite', 'ashlate', 'graphite', 'ash', 'ash', 'lava', 'ash', 'silithate', 'ashrubber', 'ashleanite', 'ash', 'ash', 'ash', 'cindornite', 'lava', 'ironcerophyla', 'ash', 'ashmagnolia', 'sinew', 'ash ash', 'pyrite', 'tartrate', 'ash']"
a small pitcher for serving cream,creamer,34,"['pitcher', 'pitcher', 'pitcher', 'pitcher', 'sticla', 'pitcher', 'Creamer', 'pitcher', 'pitcher', 'cream', 'pitcher', 'pitcher', 'ruffle', 'pitcher', 'cream pitcher', 'glass', 'pitcher', 'cream pitcher', 'pitcher', 'pitcher', 'cup', 'pitcher', 'pitcher', 'Cupped', 'rassel', 'pitcher', 'pitcher', 'pitcher', 'pitcher', 'pitcher', 'pitcher', 'pitcher', 'pitcher', 'creamer', 'pitcher', 'pitcher', 'cup', 'saucer', 'creamsercice', 'tartan', 'cream pitcher', 'pitcher', 'tartipot', 'milkshake', 'saucer', 'fridge', 'pitcher', 'small pitcher', 'shamrock', 'sidecup', 'pitcher', 'cups', 'pitcher', 'pitcher', 'pitcher', 'pitcher', 'pitcher', 'jug', 'pitcher', 'rucksack', 'pitcher', 'creamer', 'pot', 'tartan', 'pitcher', 'creamer', 'pitcher', 'pitcher', 'pitcher', 'creamer', 'âmbice', 'creamer', 'creamer', 'poattle', 'pitcher', 'crinkling', 'tartre', 'pitcher', 'pitcher', 'creamer', 'creamer', 'pitcher', 'pitcher', 'tartre', 'pitcher', 'creamerette', 'pitcher', 'pitcher', 'creamer', 'pitcher', 'âmbâmbelle', 'tart', 'creamer', 'pitcher', 'creamer', 'creamer', 'Bowl', 'creamer', 'crimson', 'creamer']"
the handwear used by fielders in playing baseball,mitt,0,"['glove', 'glove', 'Handwear', 'patch', 'fieldhandling', 'Dodgers', 'Fielding', 'Fieldhandling', 'glove', 'Fieldhandwear', 'tightening', 'Handwear', 'Fieldhandle', 'Fielderwear', 'handwear', 'Fieldwear', 'Fieldhandling', 'Fieldwear', 'glove', 'Fieldwear', 'fieldhandwear', 'Fieldwear', 'fielder', 'fielding', 'battinghandwear', 'Fieldhandwear', 'Fieldwear', 'Fieldshirts', 'Fieldhandling', 'Fielder', 'Fieldshirts', 'Fieldhandvest', 'fieldhandling', 'Fieldwear', 'Fieldhandwear', 'Fielding', 'Fieldhandwear', 'handwear', 'frunze', 'fieldshirts', 'fieldwear', 'glove', 'Fieldwear', 'Fieldmanman', 'Field', 'glove', 'handwear', 'Field Fieldshirts', 'Fieldhandle', 'Fieldwear', 'Fieldwear', 'glove', 'glove', 'Fieldhandwear', 'Fieldwear', 'fieldwear', 'glove', 'Fieldshirt', 'glove', 'Fieldhandwear', 'Fieldmanning', 'battingschläget', 'fieldhandwear', 'handcalling', 'Fielding', 'Fieldwear', 'Fieldhandwear', 'handwear', 'Handwear', 'glove', 'Fieldhandling', 'glove', 'Fieldhandy', 'fieldmanship', 'Fieldhandling', 'fieldwear', 'Fieldwear', 'fieldwear', 'Fieldhandvest', 'Fielding', 'Handling', 'Fieldwear', 'glove', 'glove', 'glove', 'glove', 'Fieldwear', 'glove', 'Fielderware', 'batwear', 'glove', 'Fieldwear', 'fieldwear', 'glove', 'Fieldhandling', 'fieldwear', 'fieldwear', 'glove', 'fieldwear', 'fieldering']"
